GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0050896	response to stimulus	6373	69	36.5	5.3e-09	2.756e-06	P	AT1G02130, AT1G21410, AT1G35140, AT1G45616, AT1G47128, AT1G47890, AT1G53070, AT1G60710, AT1G71390, AT1G71400, AT1G77000, AT2G15080, AT2G16430, AT2G25440, AT2G26070, AT2G27190, AT2G28840, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G41040, AT2G44910, AT2G47800, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G15356, AT3G16530, AT3G17590, AT3G17820, AT3G18524, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G62700, AT4G08950, AT4G09010, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT5G02270, AT5G03350, AT5G09440, AT5G22110, AT5G25910, AT5G27060, AT5G35630, AT5G38210, AT5G38280, AT5G40170, AT5G43060, AT5G47200, AT5G47370	AT1G02130, AT1G21410, AT1G35140, AT1G45616, AT1G47128, AT1G47890, AT1G53070, AT1G60710, AT1G71390, AT1G71400, AT1G77000, AT2G15080, AT2G16430, AT2G25440, AT2G26070, AT2G27190, AT2G28840, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G41040, AT2G44910, AT2G47800, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G15356, AT3G16530, AT3G17590, AT3G17820, AT3G18524, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G62700, AT4G08950, AT4G09010, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT5G02270, AT5G03350, AT5G09440, AT5G22110, AT5G25910, AT5G27060, AT5G35630, AT5G38210, AT5G38280, AT5G40170, AT5G43060, AT5G47200, AT5G47370
GO:1901607	alpha-amino acid biosynthetic process	223	12	1.28	6.6e-09	3.146e-06	P	AT1G48470, AT1G66200, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G35640, AT5G16570, AT5G35630, AT5G37600	AT1G48470, AT1G66200, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G35640, AT5G16570, AT5G35630, AT5G37600
GO:0050789	regulation of biological process	5923	65	33.92	1.2e-08	5.280e-06	P	AT1G01210, AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT1G77000, AT2G15080, AT2G25440, AT2G26070, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G44910, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G12290, AT3G15356, AT3G17590, AT3G18524, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G60390, AT3G62910, AT3G63030, AT4G04350, AT4G07950, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G22745, AT5G06710, AT5G09760, AT5G13480, AT5G18580, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370, AT5G64640	AT1G01210, AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT1G77000, AT2G15080, AT2G25440, AT2G26070, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G44910, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G12290, AT3G15356, AT3G17590, AT3G18524, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G60390, AT3G62910, AT3G63030, AT4G04350, AT4G07950, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G22745, AT5G06710, AT5G09760, AT5G13480, AT5G18580, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370, AT5G64640
GO:0008652	cellular amino acid biosynthetic process	243	12	1.39	1.7e-08	6.946e-06	P	AT1G48470, AT1G66200, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G35640, AT5G16570, AT5G35630, AT5G37600	AT1G48470, AT1G66200, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G35640, AT5G16570, AT5G35630, AT5G37600
GO:0050794	regulation of cellular process	5237	59	29.99	3.7e-08	1.359e-05	P	AT1G01210, AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G25440, AT2G26070, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G44910, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G12290, AT3G15356, AT3G17590, AT3G18524, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G60390, AT3G63030, AT4G04350, AT4G07950, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G22745, AT5G06710, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370	AT1G01210, AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G25440, AT2G26070, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G44910, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G12290, AT3G15356, AT3G17590, AT3G18524, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G60390, AT3G63030, AT4G04350, AT4G07950, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G22745, AT5G06710, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370
GO:0009084	glutamine family amino acid biosynthetic process	34	6	0.19	3.8e-08	1.359e-05	P	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G35630, AT5G37600	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G35630, AT5G37600
GO:1901605	alpha-amino acid metabolic process	352	13	2.02	1.3e-07	4.374e-05	P	AT1G48470, AT1G66200, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G35640, AT5G16570, AT5G35630, AT5G37600, AT5G55810	AT1G48470, AT1G66200, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G35640, AT5G16570, AT5G35630, AT5G37600, AT5G55810
GO:0006541	glutamine metabolic process	47	6	0.27	2.8e-07	8.898e-05	P	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G35630, AT5G37600	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G35630, AT5G37600
GO:0065007	biological regulation	6714	66	38.45	7.4e-07	2.202e-04	P	AT1G01210, AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G68730, AT1G71390, AT1G71400, AT1G77000, AT2G15080, AT2G25440, AT2G26070, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G44910, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G12290, AT3G15356, AT3G17590, AT3G18524, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G60390, AT3G62910, AT3G63030, AT4G04350, AT4G07950, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G22745, AT5G06710, AT5G09760, AT5G13480, AT5G18580, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370, AT5G64640	AT1G01210, AT1G02130, AT1G21410, AT1G45616, AT1G47890, AT1G68730, AT1G71390, AT1G71400, AT1G77000, AT2G15080, AT2G25440, AT2G26070, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G44910, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G12290, AT3G15356, AT3G17590, AT3G18524, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G60390, AT3G62910, AT3G63030, AT4G04350, AT4G07950, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G22745, AT5G06710, AT5G09760, AT5G13480, AT5G18580, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370, AT5G64640
GO:0006520	cellular amino acid metabolic process	482	14	2.76	7.7e-07	2.202e-04	P	AT1G48470, AT1G66200, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G04350, AT4G35640, AT5G16570, AT5G35630, AT5G37600, AT5G55810	AT1G48470, AT1G66200, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G04350, AT4G35640, AT5G16570, AT5G35630, AT5G37600, AT5G55810
GO:0044699	single-organism process	11098	93	63.55	8.8e-07	2.397e-04	P	AT1G02130, AT1G05030, AT1G10810, AT1G18970, AT1G18980, AT1G21410, AT1G45616, AT1G47890, AT1G48470, AT1G60680, AT1G60690, AT1G60710, AT1G60730, AT1G60750, AT1G66200, AT1G68730, AT1G71390, AT1G71400, AT1G74820, AT1G77000, AT2G15080, AT2G16430, AT2G17640, AT2G25440, AT2G26070, AT2G27190, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G47800, AT3G05360, AT3G05370, AT3G05510, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G12290, AT3G15356, AT3G17590, AT3G17820, AT3G18524, AT3G22740, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G25900, AT3G28890, AT3G51520, AT3G57060, AT3G62700, AT3G62910, AT3G63030, AT3G63250, AT4G04350, AT4G09010, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G22745, AT4G29890, AT4G35640, AT4G37810, AT5G13480, AT5G16570, AT5G18580, AT5G22110, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G35630, AT5G37600, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370, AT5G55810, AT5G55920	AT1G02130, AT1G05030, AT1G10810, AT1G18970, AT1G18980, AT1G21410, AT1G45616, AT1G47890, AT1G48470, AT1G60680, AT1G60690, AT1G60710, AT1G60730, AT1G60750, AT1G66200, AT1G68730, AT1G71390, AT1G71400, AT1G74820, AT1G77000, AT2G15080, AT2G16430, AT2G17640, AT2G25440, AT2G26070, AT2G27190, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G47800, AT3G05360, AT3G05370, AT3G05510, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G12290, AT3G15356, AT3G17590, AT3G17820, AT3G18524, AT3G22740, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G25900, AT3G28890, AT3G51520, AT3G57060, AT3G62700, AT3G62910, AT3G63030, AT3G63250, AT4G04350, AT4G09010, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G22745, AT4G29890, AT4G35640, AT4G37810, AT5G13480, AT5G16570, AT5G18580, AT5G22110, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G35630, AT5G37600, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370, AT5G55810, AT5G55920
