site1_chrom	site1_start	site1_end	site1_name	site1_score	site1_strand	site2_chrom	site2_start	site2_end	site2_name	site2_score	site2_strand	site_distance	site_orientation	feature	feat_strand	feat_start	feat_end	query_name	distance	feat_anchor	feat_ovl_peak	peak_ovl_feat	relative_location	transcript_id	gene_id
chr8	15989621	15989628	C9_MYBrelated_7	9.68376	+	chr8	15989678	15989686	C3_bHLH_18	11.07316	-	50	convergent	transcript	+	15987430	15993410	query_1	2194	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr4	13722909	13722915	C4_TCP_43	8.27338	-	chr4	13722938	13722944	C11_ND_1-C13_ND_1-C4_ND_3	8.29437	+	23	divergent	transcript	+	13722716	13723416	query_1	196	start	1.0	0.008	PeakInsideFeature	Mp4g12360.1	Mp4g12360
chr4	13722924	13722930	C4_TCP_43	8.27338	-	chr4	13722938	13722944	C11_ND_1-C13_ND_1-C4_ND_3	8.29437	+	8	divergent	transcript	+	13722716	13723416	query_1	211	start	1.0	0.008	PeakInsideFeature	Mp4g12360.1	Mp4g12360
chr3	18620966	18620973	C1_Trihelix_12	9.68376	+	chr3	18620991	18620998	C9_WRKY_7	9.64178	-	18	convergent	transcript	+	18620675	18624536	query_1	294	start	1.0	0.001	PeakInsideFeature	Mp3g18290.1	Mp3g18290
chr8	15989557	15989563	C2_C2C2gata_11-C4_C2C2gata_12-C6_C2C2gata_10-C9_C2C2gata_9	8.27338	-	chr8	15989625	15989633	C3_AP2EREBP_123	11.07316	-	62	TF2-TF1	transcript	+	15987430	15993410	query_1	2130	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989543	15989549	C5_C2H2_80-C6_C2H2_77	8.27338	-	chr8	15989557	15989563	C2_C2C2gata_11-C4_C2C2gata_12-C6_C2C2gata_10-C9_C2C2gata_9	8.27338	-	8	TF2-TF1	transcript	+	15987430	15993410	query_1	2116	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989694	15989701	C2_MYB_24	9.66277	-	chr8	15989730	15989737	C2_E2FDP_13-C6_E2FDP_16	9.70476	+	29	divergent	transcript	+	15987430	15993410	query_1	2267	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989625	15989633	C3_AP2EREBP_123	11.07316	-	chr8	15989730	15989737	C2_E2FDP_13-C6_E2FDP_16	9.70476	+	97	divergent	transcript	+	15987430	15993410	query_1	2199	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989693	15989700	C6_NAC_40	9.68376	-	chr8	15989730	15989737	C2_E2FDP_13-C6_E2FDP_16	9.70476	+	30	divergent	transcript	+	15987430	15993410	query_1	2266	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr5	12170390	12170397	C2_EIL_6-C6_EIL_6	9.66277	+	chr5	12170408	12170415	C4_LOBAS2_16	9.64178	-	11	convergent	transcript	+	12169793	12170734	query_1	600	start	1.0	0.007	PeakInsideFeature	Mp5g10890.1	Mp5g10890
chr8	15989694	15989701	C2_MYB_24	9.66277	-	chr8	15989728	15989735	C2_TCP_26-C3_TCP_19	9.70476	-	27	TF2-TF1	transcript	+	15987430	15993410	query_1	2267	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989625	15989633	C3_AP2EREBP_123	11.07316	-	chr8	15989694	15989701	C2_MYB_24	9.66277	-	61	TF2-TF1	transcript	+	15987430	15993410	query_1	2199	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989694	15989701	C2_MYB_24	9.66277	-	chr8	15989729	15989736	C3_LOBAS2_18	9.70476	+	28	divergent	transcript	+	15987430	15993410	query_1	2267	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989621	15989628	C9_MYBrelated_7	9.68376	+	chr8	15989694	15989701	C2_MYB_24	9.66277	-	66	convergent	transcript	+	15987430	15993410	query_1	2194	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989625	15989633	C3_AP2EREBP_123	11.07316	-	chr8	15989728	15989735	C2_TCP_26-C3_TCP_19	9.70476	-	95	TF2-TF1	transcript	+	15987430	15993410	query_1	2199	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989693	15989700	C6_NAC_40	9.68376	-	chr8	15989728	15989735	C2_TCP_26-C3_TCP_19	9.70476	-	28	TF2-TF1	transcript	+	15987430	15993410	query_1	2266	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989621	15989628	C9_MYBrelated_7	9.68376	+	chr8	15989728	15989735	C2_TCP_26-C3_TCP_19	9.70476	-	100	convergent	transcript	+	15987430	15993410	query_1	2194	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989552	15989558	C2_bHLH_20-C5_bHLH_21	8.27338	-	chr8	15989625	15989633	C3_AP2EREBP_123	11.07316	-	67	TF2-TF1	transcript	+	15987430	15993410	query_1	2125	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989543	15989549	C5_C2H2_80-C6_C2H2_77	8.27338	-	chr8	15989552	15989558	C2_bHLH_20-C5_bHLH_21	8.27338	-	3	TF2-TF1	transcript	+	15987430	15993410	query_1	2116	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989552	15989558	C2_bHLH_20-C5_bHLH_21	8.27338	-	chr8	15989621	15989628	C9_MYBrelated_7	9.68376	+	63	divergent	transcript	+	15987430	15993410	query_1	2125	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989543	15989549	C5_C2H2_80-C6_C2H2_77	8.27338	-	chr8	15989625	15989633	C3_AP2EREBP_123	11.07316	-	76	TF2-TF1	transcript	+	15987430	15993410	query_1	2116	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989693	15989700	C6_NAC_40	9.68376	-	chr8	15989729	15989736	C3_LOBAS2_18	9.70476	+	29	divergent	transcript	+	15987430	15993410	query_1	2266	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr5	7480129	7480135	C4_AP2EREBP_111	8.25239	-	chr5	7480139	7480145	C4_BBRBPC_12-C5_BBRBPC_7-C6_BBRBPC_11	8.27338	-	4	TF2-TF1	transcript	-	7478524	7479609	query_1	523	start	0.0	0.0	Upstream	Mp5g07050.1	Mp5g07050
chr8	15989543	15989549	C5_C2H2_80-C6_C2H2_77	8.27338	-	chr8	15989621	15989628	C9_MYBrelated_7	9.68376	+	72	divergent	transcript	+	15987430	15993410	query_1	2116	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr8	15989621	15989628	C9_MYBrelated_7	9.68376	+	chr8	15989693	15989700	C6_NAC_40	9.68376	-	65	convergent	transcript	+	15987430	15993410	query_1	2194	start	1.0	0.001	PeakInsideFeature	Mp8g14310.1	Mp8g14310
chr3	898673	898679	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	chr3	898760	898766	C6_TCP_40	8.27338	-	81	TF2-TF1	transcript	+	898757	901080	query_1	81	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898724	898730	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	chr3	898760	898766	C6_TCP_40	8.27338	-	30	TF2-TF1	transcript	+	898757	901080	query_1	30	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898735	898741	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	chr3	898760	898766	C6_TCP_40	8.27338	-	19	TF2-TF1	transcript	+	898757	901080	query_1	19	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	7694062	7694068	C6_TCP_40	8.27338	+	chr3	7694089	7694095	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	21	convergent	transcript	+	7694139	7695234	query_1	74	start	0.0	0.0	Upstream	Mp3g07990.1	Mp3g07990
chr3	7694062	7694068	C6_TCP_40	8.27338	+	chr3	7694131	7694137	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	63	convergent	transcript	+	7694139	7695234	query_1	74	start	0.0	0.0	Upstream	Mp3g07990.1	Mp3g07990
chr2	6186523	6186530	C10_NAC_48	9.68376	+	chr2	6186603	6186610	C10_AP2EREBP_171-C5_AP2EREBP_200	9.68376	+	73	TF1-TF2	transcript	-	6185948	6188704	query_1	2178	start	1.0	0.002	PeakInsideFeature	Mp2g05950.1	Mp2g05950
chr2	6186603	6186610	C10_AP2EREBP_171-C5_AP2EREBP_200	9.68376	+	chr2	6186702	6186710	C3_FAR1_21	11.07316	+	92	TF1-TF2	transcript	-	6185948	6188704	query_1	2098	start	1.0	0.002	PeakInsideFeature	Mp2g05950.1	Mp2g05950
chr3	898734	898742	C10_BBRBPC_14-C3_BBRBPC_9-C5_BBRBPC_11	11.07316	+	chr3	898760	898766	C6_TCP_40	8.27338	-	18	convergent	transcript	+	898757	901080	query_1	19	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	7694062	7694068	C6_TCP_40	8.27338	+	chr3	7694088	7694096	C10_BBRBPC_14-C3_BBRBPC_9-C5_BBRBPC_11	11.07316	+	20	TF1-TF2	transcript	+	7694139	7695234	query_1	74	start	0.0	0.0	Upstream	Mp3g07990.1	Mp3g07990
chr3	898733	898741	C10_BBRBPC_4-C3_BBRBPC_2-C5_BBRBPC_3	11.07316	-	chr3	898833	898841	C3_BBRBPC_14	11.07316	-	92	TF2-TF1	transcript	+	898757	901080	query_1	20	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898723	898731	C3_MYB_7	11.05216	+	chr3	898733	898741	C10_BBRBPC_4-C3_BBRBPC_2-C5_BBRBPC_3	11.07316	-	2	convergent	transcript	+	898757	901080	query_1	30	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr2	6186938	6186945	C10_TCP_18-C2_TCP_17-C3_TCP_10-C6_TCP_22	9.68376	-	chr2	6186946	6186953	C6_C2H2_24	9.66277	+	1	divergent	transcript	-	6185948	6188704	query_1	1763	start	1.0	0.002	PeakInsideFeature	Mp2g05950.1	Mp2g05950
chr7	2586268	2586274	C10_bZIP_2-C2_bZIP_2-C3_bZIP_2-C6_bZIP_2-C9_bZIP_1	8.29437	+	chr7	2586340	2586346	C6_CAMTA_8	8.29437	-	66	convergent	transcript	-	2581292	2588456	query_1	2185	start	1.0	0.0008	PeakInsideFeature	Mp7g01940.1	Mp7g01940
chr7	2586340	2586346	C6_CAMTA_8	8.29437	-	chr7	2586379	2586385	C2_bHLH_20-C5_bHLH_21	8.27338	-	33	TF2-TF1	transcript	-	2581292	2588456	query_1	2113	start	1.0	0.0008	PeakInsideFeature	Mp7g01940.1	Mp7g01940
chr3	898732	898741	C3_C2H2_43	12.46255	-	chr3	898833	898841	C3_BBRBPC_14	11.07316	-	92	TF2-TF1	transcript	+	898757	901080	query_1	21	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898725	898734	C3_C2H2_5	12.46255	-	chr3	898833	898841	C3_BBRBPC_14	11.07316	-	99	TF2-TF1	transcript	+	898757	901080	query_1	28	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898723	898731	C3_MYB_7	11.05216	+	chr3	898732	898741	C3_C2H2_43	12.46255	-	1	convergent	transcript	+	898757	901080	query_1	30	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr2	12082589	12082597	C3_MYB_26	11.05216	+	chr2	12082621	12082628	C5_AP2EREBP_55	9.68376	-	24	convergent	transcript	+	12080526	12085172	query_1	2067	start	1.0	0.001	PeakInsideFeature	Mp2g11860.1	Mp2g11860
chr3	898673	898680	C1_C2H2_16-C2_C2H2_66-C4_C2H2_56-C5_C2H2_84-C6_C2H2_81	9.70476	-	chr3	898760	898766	C6_TCP_40	8.27338	-	80	TF2-TF1	transcript	+	898757	901080	query_1	81	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898735	898742	C1_C2H2_16-C2_C2H2_66-C4_C2H2_56-C5_C2H2_84-C6_C2H2_81	9.70476	-	chr3	898760	898766	C6_TCP_40	8.27338	-	18	TF2-TF1	transcript	+	898757	901080	query_1	19	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	7694062	7694068	C6_TCP_40	8.27338	+	chr3	7694089	7694096	C1_C2H2_16-C2_C2H2_66-C4_C2H2_56-C5_C2H2_84-C6_C2H2_81	9.70476	-	21	convergent	transcript	+	7694139	7695234	query_1	74	start	0.0	0.0	Upstream	Mp3g07990.1	Mp3g07990
chr3	898673	898680	C1_C2H2_16-C2_C2H2_66-C4_C2H2_56-C5_C2H2_84-C6_C2H2_81	9.70476	-	chr3	898725	898734	C3_C2H2_5	12.46255	-	45	TF2-TF1	transcript	+	898757	901080	query_1	81	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898725	898734	C3_C2H2_5	12.46255	-	chr3	898735	898742	C1_C2H2_16-C2_C2H2_66-C4_C2H2_56-C5_C2H2_84-C6_C2H2_81	9.70476	-	1	TF2-TF1	transcript	+	898757	901080	query_1	28	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898673	898680	C1_C2H2_16-C2_C2H2_66-C4_C2H2_56-C5_C2H2_84-C6_C2H2_81	9.70476	-	chr3	898723	898731	C3_MYB_7	11.05216	+	43	divergent	transcript	+	898757	901080	query_1	81	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898723	898731	C3_MYB_7	11.05216	+	chr3	898735	898742	C1_C2H2_16-C2_C2H2_66-C4_C2H2_56-C5_C2H2_84-C6_C2H2_81	9.70476	-	4	convergent	transcript	+	898757	901080	query_1	30	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898673	898679	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	chr3	898735	898742	C1_C2H2_16-C2_C2H2_66-C4_C2H2_56-C5_C2H2_84-C6_C2H2_81	9.70476	-	56	TF2-TF1	transcript	+	898757	901080	query_1	81	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898673	898680	C1_C2H2_16-C2_C2H2_66-C4_C2H2_56-C5_C2H2_84-C6_C2H2_81	9.70476	-	chr3	898724	898730	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	44	TF2-TF1	transcript	+	898757	901080	query_1	81	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898673	898680	C1_C2H2_16-C2_C2H2_66-C4_C2H2_56-C5_C2H2_84-C6_C2H2_81	9.70476	-	chr3	898735	898741	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	55	TF2-TF1	transcript	+	898757	901080	query_1	81	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898724	898730	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	chr3	898735	898742	C1_C2H2_16-C2_C2H2_66-C4_C2H2_56-C5_C2H2_84-C6_C2H2_81	9.70476	-	5	TF2-TF1	transcript	+	898757	901080	query_1	30	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	7694089	7694096	C1_C2H2_16-C2_C2H2_66-C4_C2H2_56-C5_C2H2_84-C6_C2H2_81	9.70476	-	chr3	7694131	7694137	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	35	TF2-TF1	transcript	+	7694139	7695234	query_1	47	start	0.0	0.0	Upstream	Mp3g07990.1	Mp3g07990
chr2	6186513	6186519	C10_MYB_16-C4_MYB_20-C5_MYB_17	8.27338	-	chr2	6186603	6186610	C10_AP2EREBP_171-C5_AP2EREBP_200	9.68376	+	84	divergent	transcript	+	6184333	6187867	query_1	2183	start	1.0	0.001	PeakInsideFeature	Mp2g05940.1	Mp2g05940
chr3	898673	898679	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	chr3	898734	898742	C10_BBRBPC_14-C3_BBRBPC_9-C5_BBRBPC_11	11.07316	+	55	divergent	transcript	+	898757	901080	query_1	81	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898724	898730	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	chr3	898734	898742	C10_BBRBPC_14-C3_BBRBPC_9-C5_BBRBPC_11	11.07316	+	4	divergent	transcript	+	898757	901080	query_1	30	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	7694088	7694096	C10_BBRBPC_14-C3_BBRBPC_9-C5_BBRBPC_11	11.07316	+	chr3	7694131	7694137	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	35	convergent	transcript	+	7694139	7695234	query_1	47	start	0.0	0.0	Upstream	Mp3g07990.1	Mp3g07990
chr3	898734	898742	C10_BBRBPC_14-C3_BBRBPC_9-C5_BBRBPC_11	11.07316	+	chr3	898833	898841	C3_BBRBPC_14	11.07316	-	91	convergent	transcript	+	898757	901080	query_1	19	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898723	898731	C3_MYB_7	11.05216	+	chr3	898734	898742	C10_BBRBPC_14-C3_BBRBPC_9-C5_BBRBPC_11	11.07316	+	3	TF1-TF2	transcript	+	898757	901080	query_1	30	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898725	898733	C10_C2H2_5-C3_C2H2_3-C5_C2H2_5-C6_C2H2_7	11.07316	-	chr3	898733	898741	C10_BBRBPC_4-C3_BBRBPC_2-C5_BBRBPC_3	11.07316	-	0	TF2-TF1	transcript	+	898757	901080	query_1	28	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898733	898741	C10_BBRBPC_4-C3_BBRBPC_2-C5_BBRBPC_3	11.07316	-	chr3	898760	898766	C6_TCP_40	8.27338	-	19	TF2-TF1	transcript	+	898757	901080	query_1	20	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898733	898741	C10_BBRBPC_4-C3_BBRBPC_2-C5_BBRBPC_3	11.07316	-	chr3	898771	898778	C6_bHLH_57	9.70476	+	30	divergent	transcript	+	898757	901080	query_1	20	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr1	23135328	23135336	C2_AP2EREBP_114	11.07316	-	chr1	23135414	23135421	C10_C2C2gata_18-C3_C2C2gata_8-C5_C2C2gata_30	9.68376	+	78	divergent	transcript	-	23134156	23138527	query_1	3195	start	1.0	0.001	PeakInsideFeature	Mp1g22530.2	Mp1g22530
chr3	16335583	16335591	C2_AP2EREBP_114	11.07316	+	chr3	16335658	16335665	C10_C2C2gata_18-C3_C2C2gata_8-C5_C2C2gata_30	9.68376	-	67	convergent	transcript	-	16333487	16337459	query_1	1872	start	1.0	0.002	PeakInsideFeature	Mp3g16660.1	Mp3g16660
chr2	25456228	25456236	C10_C2H2_10-C13_C2H2_4-C4_C2H2_7-C5_C2H2_9-C6_C2H2_10	11.05216	+	chr2	25456257	25456264	C6_CAMTA_12	9.66277	-	21	convergent	transcript	-	25454317	25460924	query_1	4692	start	1.0	0.001	PeakInsideFeature	Mp2g23410.1	Mp2g23410
chr3	898725	898733	C10_C2H2_5-C3_C2H2_3-C5_C2H2_5-C6_C2H2_7	11.07316	-	chr3	898833	898841	C3_BBRBPC_14	11.07316	-	100	TF2-TF1	transcript	+	898757	901080	query_1	28	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr2	6186513	6186519	C10_MYB_16-C4_MYB_20-C5_MYB_17	8.27338	-	chr2	6186523	6186530	C10_NAC_48	9.68376	+	4	divergent	transcript	+	6184333	6187867	query_1	2183	start	1.0	0.001	PeakInsideFeature	Mp2g05940.1	Mp2g05940
chr2	6186466	6186472	C1_AP2EREBP_24-C2_AP2EREBP_82	8.27338	+	chr2	6186523	6186530	C10_NAC_48	9.68376	+	51	TF1-TF2	transcript	+	6184333	6187867	query_1	2136	start	1.0	0.001	PeakInsideFeature	Mp2g05940.1	Mp2g05940
chr2	6186523	6186530	C10_NAC_48	9.68376	+	chr2	6186609	6186616	C3_AP2EREBP_46	9.70476	+	79	TF1-TF2	transcript	-	6185948	6188704	query_1	2178	start	1.0	0.002	PeakInsideFeature	Mp2g05950.1	Mp2g05950
chr2	6186486	6186493	C6_HSF_1	9.64178	+	chr2	6186523	6186530	C10_NAC_48	9.68376	+	30	TF1-TF2	transcript	+	6184333	6187867	query_1	2156	start	1.0	0.001	PeakInsideFeature	Mp2g05940.1	Mp2g05940
chr2	6186523	6186530	C10_NAC_48	9.68376	+	chr2	6186535	6186542	C6_HSF_1	9.64178	+	5	TF1-TF2	transcript	-	6185948	6188704	query_1	2178	start	1.0	0.002	PeakInsideFeature	Mp2g05950.1	Mp2g05950
chr2	6186938	6186945	C10_TCP_18-C2_TCP_17-C3_TCP_10-C6_TCP_22	9.68376	-	chr2	6186946	6186952	C6_C2H2_19	8.27338	+	1	divergent	transcript	-	6185948	6188704	query_1	1763	start	1.0	0.002	PeakInsideFeature	Mp2g05950.1	Mp2g05950
chrV	1869417	1869423	C11_C2H2_3-C2_C2H2_8-C6_C2H2_12-C9_C2H2_4	8.27338	+	chrV	1869487	1869493	C10_Trihelix_5-C2_Trihelix_4-C3_Trihelix_6-C4_Trihelix_4-C5_Trihelix_4-C6_Trihelix_5-C9_Trihelix_4	8.31536	-	64	convergent	transcript	+	1869658	1872389	query_1	238	start	0.0	0.0	Upstream	MpVg00390.2	MpVg00390
chr3	898673	898679	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	chr3	898771	898778	C6_bHLH_57	9.70476	+	92	divergent	transcript	+	898757	901080	query_1	81	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898724	898730	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	chr3	898771	898778	C6_bHLH_57	9.70476	+	41	divergent	transcript	+	898757	901080	query_1	30	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr3	898735	898741	C1_MYB_7-C10_MYB_37-C11_MYB_4-C13_MYB_16-C2_MYB_43-C3_MYB_23-C4_MYB_35-C5_MYB_51-C6_MYB_47	8.31536	-	chr3	898771	898778	C6_bHLH_57	9.70476	+	30	divergent	transcript	+	898757	901080	query_1	19	start	0.0	0.0	Upstream	Mp3g00710.1	Mp3g00710
chr2	12082589	12082597	C3_MYB_26	11.05216	+	chr2	12082643	12082651	C3_AP2EREBP_155	11.05216	-	46	convergent	transcript	+	12080526	12085172	query_1	2067	start	1.0	0.001	PeakInsideFeature	Mp2g11860.1	Mp2g11860
chr2	12082621	12082628	C5_AP2EREBP_55	9.68376	-	chr2	12082643	12082651	C3_AP2EREBP_155	11.05216	-	15	TF2-TF1	transcript	+	12080526	12085172	query_1	2098	start	1.0	0.001	PeakInsideFeature	Mp2g11860.1	Mp2g11860
