peak	cluster
chr1.20336389.20336672	C6
chr1.20363031.20363257	C6
chr1.20363668.20364144	C6
chr1.20426813.20427361	C10
chr1.20435807.20435898	C3
chr1.20493102.20493346	C13
chr1.20533041.20533197	C1
chr1.20584805.20584922	C12
chr1.20703757.20704053	C1
chr1.20745675.20745837	C5
chr1.20771086.20771319	C3
chr1.20789766.20791397	C6
chr1.20802800.20803132	C4
chr1.20863164.20863706	C1
chr1.20864005.20864224	C1
chr1.20894230.20894387	C6
chr1.20905732.20905839	C6
chr1.20906334.20906531	C6
chr1.20916307.20916657	C1
chr1.20933014.20933184	C1
chr1.20967503.20967602	C3
chr1.21005811.21006265	C6
chr1.21086743.21086847	C3
chr1.21098104.21098368	C11
chr1.21111729.21111891	C6
chr1.21177593.21177949	C6
chr1.21199984.21200097	C3
chr1.21269739.21270162	C8
chr1.21279161.21279394	C14
chr1.21283024.21283239	C2
chr1.21291257.21291674	C2
chr1.21291786.21292042	C2
chr1.21323757.21324507	C6
chr1.21340821.21340948	C6
chr1.21373532.21373888	C6
chr1.21419311.21419416	C6
chr1.21419946.21420178	C6
chr1.21469545.21469938	C6
chr1.21470065.21470167	C6
chr1.21496172.21496383	C6
chr1.21575422.21575723	C5
chr1.21633161.21633383	C14
chr1.21696131.21696255	C6
chr1.21728182.21728290	C2
chr1.21746377.21746607	C13
chr1.21810311.21810484	C5
chr1.21864413.21864562	C3
chr1.21926313.21926533	C5
chr1.21927963.21928093	C1
chr1.21967013.21967300	C3
chr1.21973599.21973688	C2
chr1.21975163.21975397	C3
chr1.22004038.22004333	C3
chr1.22090197.22090367	C2
chr1.22090942.22091310	C10
chr1.22103763.22103846	C1
chr1.22117085.22117249	C2
chr1.22117417.22118550	C2
chr1.22214256.22214466	C2
chr1.22247087.22247287	C6
chr1.22247415.22247589	C6
chr1.22302302.22302762	C6
chr1.22303117.22303223	C6
chr1.22304022.22304326	C5
chr1.22338863.22338932	C1
chr1.22359386.22359781	C3
chr1.22372967.22373150	C3
chr1.22374601.22375009	C3
chr1.22380211.22380441	C3
chr1.22453457.22453608	C14
chr1.22547463.22547723	C7
chr1.22600174.22600463	C3
chr1.22629701.22629919	C2
chr1.22684272.22684634	C14
chr1.22834807.22834996	C3
chr1.22843397.22843976	C4
chr1.22845477.22845548	C3
chr1.22864217.22864329	C4
chr1.22944144.22944666	C3
chr1.22985749.22985882	C3
chr1.23024062.23024132	C1
chr1.23062390.23062976	C10
chr1.23134941.23135589	C7
chr1.23160944.23161083	C1
chr1.23194695.23194792	C6
chr1.23220131.23220242	C3
chr1.23241684.23241846	C3
chr1.23396757.23396939	C3
chr1.23401085.23401572	C3
chr1.23404620.23404987	C7
chr1.23501746.23501882	C3
chr1.23535182.23535691	C10
chr1.23641918.23642141	C1
chr1.23729891.23730041	C6
chr1.23733671.23733916	C12
chr1.23778093.23778177	C2
chr1.23794598.23794745	C6
chr1.23809194.23809263	C1
chr1.24023489.24023671	C3
chr1.24077168.24077271	C6
chr1.24142966.24143081	C2
chr1.24225901.24226164	C3
chr1.24270519.24270640	C6
chr1.24321482.24321671	C2
chr1.24322202.24322681	C6
chr1.24345778.24345984	C3
chr1.24356162.24356881	C5
chr1.24369191.24369378	C3
chr1.24392203.24392302	C6
chr1.24406206.24406306	C3
chr1.24435076.24435145	C13
chr1.24435264.24435373	C10
chr1.24437596.24437910	C1
chr1.24497401.24497648	C2
chr1.24545906.24546740	C2
chr1.24594220.24594692	C5
chr1.24616012.24616276	C1
chr1.24644989.24645208	C3
chr1.24693808.24694867	C6
chr1.24797299.24797442	C9
chr1.24809503.24809582	C3
chr1.24977761.24978024	C3
chr1.24990723.24990832	C3
chr1.25085731.25085991	C1
chr1.25092066.25092305	C2
chr1.25092471.25093237	C2
chr1.25103717.25103780	C3
chr1.25111927.25112193	C3
chr1.25112498.25112663	C10
chr1.25164521.25164633	C2
chr1.25164773.25165424	C6
chr1.25202679.25202962	C2
chr1.25203038.25203276	C2
chr1.25254600.25255483	C6
chr1.25255609.25256021	C6
chr1.25304687.25304838	C3
chr1.25308183.25308281	C14
chr1.25327387.25327693	C3
chr1.25403342.25403467	C3
chr1.25431938.25432105	C3
chr1.25527287.25527428	C3
chr1.25552670.25552917	C3
chr1.25559889.25560096	C3
chr1.25644508.25644575	C3
chr1.25669980.25671187	C6
chr1.25672565.25672948	C6
chr1.25808921.25809056	C8
chr1.25877048.25878323	C2
chr1.25886377.25886543	C8
chr1.25922879.25923160	C2
chr1.25926746.25927034	C3
chr1.25927108.25927256	C1
chr1.25927321.25927643	C3
chr1.25928464.25928556	C10
chr1.25978613.25979203	C2
chr1.25984500.25984887	C10
chr1.26081190.26081394	C6
chr1.26113159.26113324	C6
chr1.26164829.26164899	C3
chr1.26232415.26232649	C3
chr1.26257291.26257369	C3
chr1.26317835.26317926	C1
chr1.26337523.26337674	C1
chr1.26352785.26353117	C6
chr1.26366436.26366935	C1
chr1.26367127.26367318	C1
chr1.26373221.26373328	C7
chr1.26390623.26390779	C1
chr1.26501569.26501857	C3
chr1.26536495.26537005	C6
chr1.26537235.26537574	C6
chr1.26537676.26537973	C6
chr1.26572190.26573249	C6
chr1.26583436.26584157	C6
chr1.26589070.26589286	C2
chr1.26611262.26611327	C1
chr1.26687149.26687743	C6
chr1.26741221.26741501	C14
chr1.26741689.26741788	C6
chr1.26770487.26770611	C6
chr1.26845617.26845683	C1
chr1.26848102.26848220	C3
chr1.26861346.26861424	C3
chr1.26885361.26885783	C4
chr1.26890551.26890723	C2
chr1.26917023.26917138	C1
chr1.26926923.26927392	C4
chr1.26986312.26986376	C3
chr1.27003249.27003354	C1
chr1.27045672.27046301	C3
chr1.27078100.27078874	C2
chr1.27092686.27093520	C2
chr1.27093661.27093809	C2
chr1.27105369.27105504	C2
chr1.27127993.27128513	C1
chr1.27164467.27164575	C3
chr1.27237645.27239076	C6
chr1.27444891.27445005	C6
chr1.27445104.27445526	C6
chr1.27464006.27464073	C1
chr1.27490828.27490893	C1
chr1.27522120.27522397	C2
chr1.27522566.27522719	C6
chr1.27548988.27549127	C3
chr1.27552120.27552372	C1
chr1.27641254.27641324	C1
chr1.27668428.27668605	C14
chr1.27695022.27695250	C6
chr1.27722654.27722748	C3
chr1.27765353.27765445	C6
chr1.27765816.27766570	C6
chr1.27766731.27767222	C6
chr1.27787113.27787299	C3
chr1.27884924.27885263	C3
chr1.27892578.27893106	C2
chr1.27902675.27902898	C10
chr1.27913188.27913286	C3
chr1.28009432.28010622	C7
chr1.28043206.28043504	C3
chr1.28045481.28046728	C2
chr1.28046818.28046939	C2
chr1.28067209.28068075	C6
chr1.28074377.28075819	C6
chr1.28086159.28086310	C2
chr1.28086648.28086759	C6
chr1.28107043.28107580	C6
chr1.28108016.28108583	C1
chr1.28115639.28116663	C2
chr1.28120603.28120816	C3
chr1.28159941.28160039	C4
chr1.28161927.28162260	C2
chr1.28219149.28219289	C10
chr1.28228644.28229817	C6
chr1.28348944.28349784	C10
chr1.28381310.28381626	C9
chr1.28395422.28395547	C2
chr1.28402318.28402414	C3
chr1.28441521.28441639	C2
chr1.28451280.28451399	C2
chr1.28467381.28467598	C3
chr1.28532070.28532194	C2
chr1.28550987.28551154	C13
chr1.28552432.28552832	C11
chr1.28583455.28583853	C1
chr1.28693184.28693431	C3
chr1.28781584.28781659	C3
chr1.28805660.28806228	C7
chr1.28813550.28813675	C12
chr1.28839940.28840208	C4
chr1.28850377.28850596	C1
chr1.28856152.28856267	C6
chr1.28884331.28884550	C3
chr1.28970887.28971370	C10
chr1.28998441.28998600	C2
chr1.29007884.29008064	C2
chr1.29029400.29029564	C1
chr1.29131339.29131454	C3
chr1.29149962.29150830	C6
chr1.29185335.29185664	C6
chr1.29185989.29186646	C6
chr1.29190859.29191144	C3
chr1.29202587.29202806	C2
chr1.29217688.29217920	C6
chr1.29234270.29234460	C3
chr1.29278783.29279074	C11
chr1.29355615.29355847	C2
chr1.29362317.29362532	C3
chr1.29390406.29390695	C15
chr1.29403896.29404235	C3
chr1.29420961.29421028	C14
chr1.29431267.29431340	C1
chr1.29437589.29437657	C3
chr1.29450099.29452272	C1
chr1.29453719.29453855	C1
chr1.29501483.29501582	C1
chr1.29577415.29577607	C2
chr1.29614931.29615052	C4
chr1.29676303.29676656	C6
chr1.29845536.29845708	C5
chr1.29866687.29866957	C1
chr1.29877310.29877490	C5
chr1.29960489.29960605	C3
chr1.30160694.30160839	C1
chr1.30180466.30180667	C2
chr1.30181068.30181635	C6
chr1.30181906.30182032	C6
chr1.30182183.30182356	C6
chr1.30313392.30313513	C10
chr1.30401372.30401472	C1
chr1.30457470.30457565	C1
chr1.30474388.30474551	C3
chr1.30483902.30484200	C3
chr1.30545805.30545967	C3
chr1.30566694.30566985	C11
chr2.3652.4557	C7
chr2.22852.22953	C2
chr2.223779.223877	C6
chr2.256785.256974	C3
chr2.353132.353337	C4
chr2.353507.353680	C4
chr2.357874.357959	C4
chr2.414495.414639	C1
chr2.424129.424209	C1
chr2.441200.441483	C3
chr2.547509.547738	C3
chr2.625787.626472	C7
chr2.667079.667220	C2
chr2.686158.686261	C1
chr2.692987.693113	C6
chr2.700170.700417	C12
chr2.722986.723053	C10
chr2.736728.737603	C10
chr2.753362.753466	C6
chr2.753607.755372	C6
chr2.773756.773985	C14
chr2.787208.787584	C6
chr2.793258.793526	C2
chr2.804539.804603	C10
chr2.827064.827891	C6
chr2.949948.950373	C3
chr2.1012718.1012846	C2
chr2.1017364.1017541	C2
chr2.1018007.1018488	C2
chr2.1018660.1018974	C2
chr2.1045159.1045532	C3
chr2.1060033.1060403	C8
chr2.1068233.1068444	C1
chr2.1096124.1097529	C6
chr2.1097664.1097902	C2
chr2.1130362.1130443	C3
chr2.1204007.1204745	C6
chr2.1250825.1251173	C3
chr2.1293578.1293673	C3
chr2.1308159.1308407	C2
chr2.1371846.1372148	C2
chr2.1481219.1481434	C2
chr2.1500235.1500640	C2
chr2.1667738.1668116	C10
chr2.1713597.1713867	C9
chr2.1736424.1737635	C6
chr2.1798968.1799104	C1
chr2.1886763.1887381	C1
chr2.1928185.1928359	C3
chr2.1979302.1979442	C4
chr2.2012087.2013318	C4
chr2.2024164.2025173	C4
chr2.2031318.2031468	C4
chr2.2046736.2046949	C6
chr2.2195880.2196071	C3
chr2.2202718.2202879	C3
chr2.2221288.2221880	C6
chr2.2228286.2228379	C1
chr2.2268299.2268519	C3
chr2.2271204.2271563	C6
chr2.2309517.2309832	C3
chr2.2314331.2314885	C6
chr2.2349903.2350185	C2
chr2.2361548.2362286	C5
chr2.2409232.2409593	C2
chr2.2413548.2413762	C3
chr2.2414054.2414314	C3
chr2.2436589.2436786	C2
chr2.2466459.2466557	C3
chr2.2491721.2491955	C6
chr2.2517805.2518022	C1
chr2.2544758.2545444	C3
chr2.2555090.2555189	C10
chr2.2555428.2555575	C1
chr2.2560005.2560275	C3
chr2.2629201.2629345	C6
