ID	TF	description	family
Mp1g26050	MpGEBP1	transcription factor, GeBP	GeBP
Mp1g26740	MpTRIHELIX5	transcription factor, Trihelix	Trihelix
Mp1g27060	MpTRIHELIX4	transcription factor, Trihelix	Trihelix
Mp1g28480	MpTRIHELIX3	transcription factor, Trihelix	Trihelix
Mp1g29240	MpTRIHELIX24	transcription factor, Trihelix	Trihelix
Mp2g00500	MpBHLH47	transcription factor, bHLH	bHLH
Mp2g00510	MpBHLH48	transcription factor, bHLH	bHLH
Mp2g00890	MpBHLH2	transcription factor, bHLH	bHLH
Mp2g00910	MpBHLH3	transcription factor, bHLH	bHLH
Mp2g00930	MpBHLH4	transcription factor, bHLH	bHLH
Mp2g02150	MpTRIHELIX29	transcription factor, Trihelix	Trihelix
Mp2g02230	MpBZIP14	transcription factor, bZIP	bZIP
Mp2g02280	MpTRIHELIX30	transcription factor, Trihelix	Trihelix
Mp2g02900	Mp1R-MYB14	transcription factor, MYB	MYB
Mp2g03850	MpGRAS4	transcription factor, GRAS	GRAS
Mp2g04030	MpHMGBOX4	transcription factor, HMG-box	HMG-box
Mp2g04160	MpBHLH35	transcription factor, bHLH	bHLH
Mp2g04180	MpBHLH36	transcription factor, bHLH	bHLH
Mp2g04190	MpBHLH50	transcription factor, bHLH	bHLH
Mp2g04200	MpBHLH37	transcription factor, bHLH	bHLH
Mp2g05070	MpBHLH12	transcription factor, bHLH	bHLH
Mp2g05160	MpWRKY4	transcription factor, WRKY	WRKY
Mp2g06450	MpBHLH8	transcription factor, bHLH	bHLH
Mp2g06460	MpBHLH9	transcription factor, bHLH	bHLH
Mp2g07110	MpBHLH31	transcription factor, bHLH	bHLH
Mp2g07130	MpBHLH30	transcription factor, bHLH	bHLH
Mp2g07150	MpBHLH29	transcription factor, bHLH	bHLH
Mp2g07170	MpBZIP4	transcription factor, bZIP	bZIP
Mp2g07720	MpNAC1	transcription factor, NAC	NAC
Mp2g08260	MpB3-8	transcription factor, B3	B3
Mp2g08360	MpTRIHELIX11	transcription factor, Trihelix	Trihelix
Mp2g08790	MpB3-2	transcription factor, B3	B3
Mp2g09320	MpRR-MYB6	transcription factor, MYB	MYB
Mp2g10280	MpATHOOK2	transcription factor, AThook	AThook
Mp2g11080	MpERF4	transcription factor, AP2/ERF	AP2/ERF
Mp2g11140	MpHD7	transcription factor, HD	HD
Mp2g11220	Mp1R-MYB9	transcription factor, MYB	MYB
Mp2g11520	MpCXC1	transcription factor, CXC	CXC
Mp2g12330	MpHMGBOX2	transcription factor, HMG-box	HMG-box
Mp2g12750	MpERF5	transcription factor, AP2/ERF	AP2/ERF
Mp2g13020	MpRR-MYB2	transcription factor, MYB	MYB
Mp2g13330	MpBZIP8	transcription factor, bZIP	bZIP
Mp2g14310	Mp1R-MYB11	transcription factor, MYB	MYB
Mp2g14450	MpRR-MYB3	transcription factor, MYB	MYB
Mp2g16340	MpTRIHELIX28	transcription factor, Trihelix	Trihelix
Mp2g16350	MpBBX6	transcription factor, BBX	BBX
Mp2g16440	MpBZIP13	transcription factor, bZIP	bZIP
Mp2g17360	MpARID4	transcription factor, ARID	ARID
Mp2g19970	MpBHLH45	transcription factor, bHLH	bHLH
Mp2g20790	MpDOF1	transcription factor, Dof	Dof
Mp2g20960	MpWRKY8	transcription factor, WRKY	WRKY
Mp2g20990	MpBHLH13	transcription factor, bHLH	bHLH
Mp2g22110	MpR2R3-MYB11	transcription factor, MYB	MYB
Mp2g22250	MpAP2B3-1	transcription factor, AP2-B3	AP2-B3
Mp2g22560	MpR2R3-MYB13	transcription factor, MYB	MYB
Mp2g22820	MpABI5B	bZIP transcription factor	bZIP
Mp2g23000	MpBZR3	transcription factor, BZR/BES	BZR/BES
Mp2g23600	MpABI5A	bZIP transcription factor	bZIP
Mp2g24110	MpC2H2-10	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp2g24200	MpHD14	transcription factor, HD	HD
Mp2g24330	MpC2H2-11	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp2g25260	MpCCAAT-NFYC3	transcription factor, CCAAT-NFYC	CCAAT-NFYC
Mp2g25290	MpGEBP4	transcription factor, GeBP	GeBP
Mp2g25660	MpTRIHELIX12	transcription factor, Trihelix	Trihelix
Mp2g26400	MpBHLH49	transcription factor, bHLH	bHLH
Mp3g00010	MpWRKY1	transcription factor, WRKY	WRKY
Mp3g00360	Mp1R-MYB2	transcription factor, MYB	MYB
Mp3g00600	MpBZIP2	transcription factor, bZIP	bZIP
Mp3g02320	MpHD3	transcription factor, HD	HD
Mp3g02770	MpR2R3-MYB3	transcription factor, MYB	MYB
Mp3g02830	MpR2R3-MYB4	transcription factor, MYB	MYB
Mp3g04030	MpRKD	RWP-RK domain (RKD)-containing transcription factor	RKD
Mp3g04360	MpBZIP7	transcription factor, bZIP	bZIP
Mp3g04970	MpGARP1	transcription factor, GARP	GARP
Mp3g05000	Mp1R-MYB8	transcription factor, MYB	MYB
Mp3g05940	MpC2H2-2	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp3g06860	MpHD2	transcription factor, HD	HD
Mp3g07510	MpR2R3-MYB2	transcription factor, MYB	MYB
Mp3g09350	MpR2R3-MYB15	transcription factor, MYB	MYB
Mp3g09820	MpC2H2-13	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp3g10500	MpTRIHELIX16	transcription factor, Trihelix	Trihelix
Mp3g10830	MpTRIHELIX15	transcription factor, Trihelix	Trihelix
Mp3g10970	MpTRIHELIX14	transcription factor, Trihelix	Trihelix
Mp3g11900	MpBHLH21	transcription factor, bHLH	bHLH
Mp3g12060	MpDP1	transcription factor, E2F/DP/DEL	E2F/DP/DEL
Mp3g12980	MpASLBD24	transcription factor, ASL/LBD	ASL/LBD
Mp3g15030	Mp1R-MYB1	transcription factor, MYB	MYB
Mp3g16240	MpASLBD1	transcription factor, ASL/LBD	ASL/LBD
Mp3g17260	MpBHLH7	transcription factor, bHLH	bHLH
Mp3g17350	MpBHLH6	transcription factor, bHLH	bHLH
Mp3g17660	MpWRKY7	transcription factor, WRKY	WRKY
Mp3g17930	MpBHLH14	transcription factor, bHLH	bHLH
Mp3g18590	MpTRIHELIX32	transcription factor, Trihelix	Trihelix
Mp3g19670	MpBBX3	transcription factor, BBX	BBX
Mp3g20050	MpBBX2	transcription factor, BBX	BBX
Mp3g20870	MpTRIHELIX34	transcription factor, Trihelix	Trihelix
Mp3g20980	MpTRIHELIX35	transcription factor, Trihelix	Trihelix
Mp3g20990	MpDEL1	transcription factor, E2F/DP/DEL	E2F/DP/DEL
Mp3g21490	MpC2H2-14	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp3g23170	MpR2R3-MYB8	transcription factor, MYB	MYB
Mp3g23300	MpBHLH20	transcription factor, bHLH	bHLH
Mp3g24320	MpTRIHELIX36	transcription factor, Trihelix	Trihelix
Mp3g24780	MpB3-7	transcription factor, B3	B3
Mp3g25200	MpBHLH41	transcription factor, bHLH	bHLH
Mp4g00040	Mp1R-MYB20	transcription factor, MYB	MYB
Mp4g00180	MpWRKY13	transcription factor, WRKY	WRKY
Mp4g00200	MpWRKY12	transcription factor, WRKY	WRKY
Mp4g00380	MpERF14	transcription factor, AP2/ERF	AP2/ERF
Mp4g01170	MpASLBD22	transcription factor, ASL/LBD	ASL/LBD
Mp4g01540	MpBHLH10	transcription factor, bHLH	bHLH
Mp4g01560	MpGARP3	transcription factor, GARP	GARP
Mp4g02060	MpHD15	transcription factor, HD	HD
Mp4g02460	MpLIM3	transcription factor, LIM-domain	LIM-domain
Mp4g02620	MpASLBD9	transcription factor, ASL/LBD	ASL/LBD
Mp4g04760	Mp3R-MYB9	transcription factor, MYB	MYB
Mp4g04910	MpBHLH16	transcription factor, bHLH	bHLH
Mp4g04920	MpBHLH17	transcription factor, bHLH	bHLH
Mp4g06170	MpBHLH23	transcription factor, bHLH	bHLH
Mp4g06490	MpRR-MYB4	transcription factor, MYB	MYB
Mp4g06740	MpDP3	transcription factor, E2F/DP/DEL	E2F/DP/DEL
Mp4g07330	MpGARP4	transcription factor, GARP	GARP
Mp4g07910	MpDP2	transcription factor, E2F/DP/DEL	E2F/DP/DEL
Mp4g08700	MpGARP2	transcription factor, GARP	GARP
Mp4g09650	MpHD17	transcription factor, HD	HD
Mp4g09730	MpTRIHELIX31	transcription factor, Trihelix	Trihelix
Mp4g09860	Mp3R-MYB3	transcription factor, MYB	MYB
Mp4g09880	Mp3R-MYB4	transcription factor, MYB	MYB
Mp4g10240	MpTRIHELIX8	transcription factor, Trihelix	Trihelix
Mp4g10500	MpASLBD4	transcription factor, ASL/LBD	ASL/LBD
Mp4g10710	MpTRIHELIX9	transcription factor, Trihelix	Trihelix
Mp4g11380	MpC2H2-3	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp4g11910	MpNAC3	transcription factor, NAC	NAC
Mp4g12230	MpHSF1	transcription factor, HSF	HSF
Mp4g12420	MpBHLH44	transcription factor, bHLH	bHLH
Mp4g12450	MpHD19	transcription factor, HD	HD
Mp4g12650	MpCBF5	transcription factor, CBF5	CBF5
Mp4g13360	MpCCAAT-NFYB1	transcription factor, CCAAT-NFYB	CCAAT-NFYB
Mp4g13860	MpC2H2-12	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp4g15170	MpGARP6	transcription factor, GARP	GARP
Mp4g15240	MpTRIHELIX27	transcription factor, Trihelix	Trihelix
Mp4g15560	MpBHLH11	transcription factor, bHLH	bHLH
Mp4g17170	MpPPP1	transcription factor, PPP1	PPP1
Mp4g17430	MpERF9	transcription factor, AP2/ERF	AP2/ERF
Mp4g18170	MpC2H2-7	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp4g18230	MpTRIHELIX17	transcription factor, Trihelix	Trihelix
Mp4g19650	MpBHLH38	transcription factor, bHLH	bHLH
Mp4g20600	MpRRB	cytokinin response regulator, type-B, transcription factor, GARP	GARP
Mp4g21220	MpGARP7	transcription factor, GARP	GARP
Mp4g21300	Mp1R-MYB17	transcription factor, MYB	MYB
Mp4g21790	MpR2R3-MYB20	transcription factor, MYB	MYB
Mp4g22280	MpERF17	transcription factor, AP2/ERF	AP2/ERF
Mp4g22290	MpERF16	transcription factor, AP2/ERF	AP2/ERF
Mp4g22310	MpERF3	transcription factor, AP2/ERF	AP2/ERF
Mp4g22430	Mp1R-MYB7	transcription factor, MYB	MYB
Mp4g22890	MpNAC4	transcription factor, NAC	NAC
Mp5g00180	MpGEBP2	transcription factor, GeBP	GeBP
Mp5g00190	MpGEBP3	transcription factor, GeBP	GeBP
Mp5g01050	MpERF23	transcription factor, AP2/ERF	AP2/ERF
Mp5g01530	MpNAC6	transcription factor, NAC	NAC
Mp5g01600	MpHD20	transcription factor, HD	HD
Mp5g02590	MpERF19	transcription factor, AP2/ERF	AP2/ERF
Mp5g03020	MpBHLH1	transcription factor, bHLH	bHLH
Mp5g05560	MpWRKY3	transcription factor, WRKY	WRKY
Mp5g05940	MpBBX1	transcription factor, BBX	BBX
Mp5g06970	MpERF20	transcription factor, AP2/ERF	AP2/ERF
Mp5g07890	MpDEL2	transcription factor, E2F/DP/DEL	E2F/DP/DEL
Mp5g08310	MpABI3A	B3-domain transcription factor abscisic acid-insensitive 3	B3
Mp5g08410	MpNAC9	transcription factor, NAC	NAC
Mp5g08810	MpTRIHELIX23	transcription factor, Trihelix	Trihelix
Mp5g09130	MpGATA5	transcription factor, GATA	GATA
Mp5g09220	MpC2H2-15	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp5g09710	MpBHLH42	transcription factor, bHLH	bHLH
Mp5g10280	MpAP2L3	transcription factor, AP2/ERF	AP2/ERF
Mp5g10960	MpASLBD11	transcription factor, ASL/LBD	ASL/LBD
Mp5g11060	MpHD16	transcription factor, HD	HD
Mp5g11100	MpAP2B3-2	transcription factor, AP2-B3	AP2-B3
Mp5g11460	MpASLBD12	transcription factor, ASL/LBD	ASL/LBD
Mp5g11830	MpRR-MYB5	transcription factor, MYB	MYB
Mp5g12480	MpERF18	transcription factor, AP2/ERF	AP2/ERF
Mp5g13030	MpR2R3-MYB16	transcription factor, MYB	MYB
Mp5g13040	Mp1R-MYB19	transcription factor, MYB	MYB
Mp5g13060	MpR2R3-MYB19	transcription factor, MYB	MYB
Mp5g13160	MpHD10	transcription factor, HD	HD
Mp5g14070	MpTRIHELIX13	transcription factor, Trihelix	Trihelix
Mp5g14610	MpR2R3-MYB9	transcription factor, MYB	MYB
Mp5g14820	MpTRIHELIX38	transcription factor, Trihelix	Trihelix
Mp5g17820	MpASLBD10	transcription factor, ASL/LBD	ASL/LBD
Mp5g18040	MpCXC3	transcription factor, CXC	CXC
Mp5g18370	Mp1R-MYB16	transcription factor, MYB	MYB
Mp5g18820	MpBHLH39	transcription factor, bHLH	bHLH
Mp5g18910	MpBHLH40	transcription factor, bHLH	bHLH
Mp5g19050	MpR2R3-MYB14	transcription factor, MYB	MYB
Mp5g20280	Mp3R-MYB2	transcription factor, MYB	MYB
Mp5g20530	MpIDDL3	transcription factor, IDD-related	IDD-related
Mp5g20660	MpGRAS6	transcription factor, GRAS	GRAS
Mp5g21080	MpASLBD7	transcription factor, ASL/LBD	ASL/LBD
Mp5g21990	MpGRAS9	transcription factor, GRAS	GRAS
Mp5g22160	MpERF21	transcription factor, AP2/ERF	AP2/ERF
Mp5g22280	Mp3R-MYB6	transcription factor, MYB	MYB
Mp6g00540	MpTZF	transcription factor, TZF	TZF
Mp6g02620	MpNAC7	transcription factor, NAC	NAC
Mp6g02670	MpNAC8	transcription factor, NAC	NAC
Mp6g03670	MpBHLH5	transcription factor, bHLH	bHLH
Mp6g03920	MpBZIP9	transcription factor, bZIP	bZIP
Mp6g04650	MpBHLH32	transcription factor, bHLH	bHLH
Mp6g04830	MpR2R3-MYB10	transcription factor, MYB	MYB
Mp6g04880	MpERF7	transcription factor, AP2/ERF	AP2/ERF
Mp6g05810	MpASLBD13	transcription factor, ASL/LBD	ASL/LBD
Mp6g06850	MpASLBD16	transcription factor, ASL/LBD	ASL/LBD
Mp6g06870	MpERF12	transcription factor, AP2/ERF	AP2/ERF
Mp6g07440	MpCCAAT-NFYC2	transcription factor, CCAAT-NFYC	CCAAT-NFYC
Mp6g08290	MpASLBD8	transcription factor, ASL/LBD	ASL/LBD
Mp6g08690	MpERF13	transcription factor, AP2/ERF	AP2/ERF
Mp6g09270	MpASLBD14	transcription factor, ASL/LBD	ASL/LBD
Mp6g09280	MpASLBD18	transcription factor, ASL/LBD	ASL/LBD
Mp6g10210	MpC2H2-4	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp6g10570	MpBZIP5	transcription factor, bZIP	bZIP
Mp6g10690	MpBHLH18	transcription factor, bHLH	bHLH
Mp6g11770	MpERF22	transcription factor, AP2/ERF	AP2/ERF
Mp6g13820	MpGRAS5	transcription factor, GRAS	GRAS
Mp6g14670	MpGIF	transcription factor, GIF	GIF
Mp6g15470	MpTRIHELIX20	transcription factor, Trihelix	Trihelix
Mp6g16170	MpR2R3-MYB12	transcription factor, MYB	MYB
Mp6g16750	MpAP2L5	transcription factor, AP2/ERF	AP2/ERF
Mp6g16760	MpAP2L4	transcription factor, AP2/ERF	AP2/ERF
Mp6g16770	MpAP2L7	transcription factor, AP2/ERF	AP2/ERF
Mp6g16800	MpWRKY14	transcription factor, WRKY	WRKY
Mp6g16820	MpAP2L6	transcription factor, AP2/ERF	AP2/ERF
Mp6g17420	MpTRIHELIX37	transcription factor, Trihelix	Trihelix
Mp6g18480	MpBHLH15	transcription factor, bHLH	bHLH
Mp6g18650	MpERF8	transcription factor, AP2/ERF	AP2/ERF
Mp6g18860	MpCXC2	transcription factor, CXC	CXC
Mp6g20210	Mp1R-MYB13	transcription factor, MYB	MYB
Mp6g20920	MpNAC5	transcription factor, NAC	NAC
Mp6g21430	Mp1R-MYB18	transcription factor, MYB	MYB
Mp6g21470	MpBHLH28	transcription factor, bHLH	bHLH
Mp7g00210	MpBZIP10	transcription factor, bZIP	bZIP
Mp7g00650	MpASLBD5	transcription factor, ASL/LBD	ASL/LBD
Mp7g00860	MpERF10	transcription factor, AP2/ERF	AP2/ERF
Mp7g02370	MpBHLH19	transcription factor, bHLH	bHLH
Mp7g02640	MpEIL	transcription factor, EIL	EIL
Mp7g03150	MpCAMTA	transcription factor, CAMTA	CAMTA
Mp7g03490	MpGATA4	transcription factor, GATA	GATA
Mp7g03700	MpB3-5	transcription factor, B3	B3
Mp7g04420	MpARID3	transcription factor, ARID	ARID
Mp7g05320	MpHD21	transcription factor, HD	HD
Mp7g06290	MpTRIHELIX21	transcription factor, Trihelix	Trihelix
Mp7g06550	MpWRKY10	transcription factor, WRKY	WRKY
Mp7g07550	MpIDDL4	transcription factor, IDD-related	IDD-related
Mp7g09260	MpC2H2-9	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp7g09350	MpERF1	Transcription factor, potential ortholog of AtERF1	AP2/ERF
Mp7g09490	MpTCP1	bHLH transcription factor	bHLH
Mp7g09710	MpHD18	transcription factor, HD	HD
Mp7g09740	MpGARP8	transcription factor, GARP	GARP
Mp7g11330	MpGARP5	transcription factor, GARP	GARP
Mp7g11500	MpTRIHELIX6	transcription factor, Trihelix	Trihelix
Mp7g12340	MpC2H2-1	transcription factor, C2H2-ZnF	C2H2-ZnF
Mp7g12630	MpGRAS2	transcription factor, GRAS	GRAS
Mp7g12800	MpTRIHELIX7	transcription factor, Trihelix	Trihelix
Mp7g13240	Mp1R-MYB4	transcription factor, MYB	MYB
Mp7g13270	MpAP2L2	transcription factor, AP2/ERF	AP2/ERF
Mp7g13760	MpERF2	transcription factor, AP2/ERF	AP2/ERF
Mp7g14810	MpASLBD3	transcription factor, ASL/LBD	ASL/LBD
Mp7g16300	MpR2R3-MYB18	transcription factor, MYB	MYB
Mp7g16870	MpHMGBOX5	transcription factor, HMG-box	HMG-box
Mp7g16910	MpTRIHELIX19	transcription factor, Trihelix	Trihelix
Mp7g17020	MpERF11	transcription factor, AP2/ERF	AP2/ERF
Mp7g17200	MpWRKY9	transcription factor, WRKY	WRKY
Mp7g17250	MpASLBD6	transcription factor, ASL/LBD	ASL/LBD
Mp7g18120	MpATHOOK1	transcription factor, AThook	AThook
Mp7g18690	MpASLBD20	transcription factor, ASL/LBD	ASL/LBD
Mp8g01190	MpBBX4	transcription factor, BBX	BBX
Mp8g01770	MpGRAS7	transcription factor, GRAS	GRAS
Mp8g02290	MpBHLH25	transcription factor, bHLH	bHLH
Mp8g02970	MpHD4	transcription factor, HD	HD
Mp8g03820	MpBZIP3	transcription factor, bZIP	bZIP
Mp8g03980	MpGRAS10	transcription factor, GRAS	GRAS
Mp8g04130	MpBHLH24	transcription factor, bHLH	bHLH
Mp8g04400	MpCCAAT-NFYB2	transcription factor, CCAAT-NFYB	CCAAT-NFYB
Mp8g06180	MpIDDL1	transcription factor, IDD-related	IDD-related
Mp8g06230	MpBHLH51	transcription factor, bHLH	bHLH
Mp8g06450	Mp1R-MYB5	transcription factor, MYB	MYB
Mp8g06550	MpTRIHELIX10	transcription factor, Trihelix	Trihelix
Mp8g07310	MpARID1	transcription factor, ARID	ARID
Mp8g07390	MpBZR1	transcription factor, BZR/BES	BZR/BES
Mp8g07450	MpHMGBOX1	transcription factor, HMG-box	HMG-box
Mp8g07680	MpHD5	transcription factor, HD	HD
Mp8g08100	MpTRIHELIX33	transcription factor, Trihelix	Trihelix
Mp8g08190	MpHD13	transcription factor, HD	HD
Mp8g09250	MpASLBD17	transcription factor, ASL/LBD	ASL/LBD
Mp8g10640	MpWRKY2	transcription factor, WRKY	WRKY
Mp8g11450	MpAP2L1	transcription factor, AP2/ERF	AP2/ERF
Mp8g11560	MpASLBD2	transcription factor, ASL/LBD	ASL/LBD
Mp8g11870	MpR2R3-MYB5	transcription factor, MYB	MYB
Mp8g12000	Mp1R-MYB3	transcription factor, MYB	MYB
Mp8g12510	MpIDDL5	transcription factor, IDD-related	IDD-related
Mp8g13140	MpGRAS11	transcription factor, GRAS	GRAS
Mp8g13470	MpBBX5	transcription factor, BBX	BBX
Mp8g14640	MpATHOOK3	transcription factor, AThook	AThook
Mp8g15610	Mp1R-MYB15	transcription factor, MYB	MYB
Mp8g16170	MpNFX1-2	transcription factor, NF-X1	NF-X1
Mp8g16760	MpHMGBOX3	transcription factor, HMG-box	HMG-box
Mp8g16900	MpGRF	transcription factor, GRF	GRF
Mp8g17020	MpLIM2	transcription factor, LIM-domain	LIM-domain
Mp8g17910	MpARID2	transcription factor, ARID	ARID
Mp8g18080	MpBHLH22	transcription factor, bHLH	bHLH
Mp8g18310	MpHD22	transcription factor, HD	HD
MpVg00300	MpGATA6	transcription factor, GATA	GATA
MpVg00340	MpBHLH46	transcription factor, bHLH	bHLH
MpVg00350	MpBPC2	transcription factor, BBR/BPC (obsolete)	BBR/BPC
MpVg00470	MpHSF3	transcription factor, HSF	HSF
Mpzg00130	MpASLBD19	transcription factor, ASL/LBD	ASL/LBD
Mpzg00170	MpC2H2-16	transcription factor, C2H2-ZnF	C2H2-ZnF
Mpzg01450	MpASLBD21	transcription factor, ASL/LBD	ASL/LBD
Mpzg01410	MpBHLH43	transcription factor, bHLH	bHLH
