peak	cluster
1.83024590.83026232	C5
1.83043162.83043819	C4
1.83148464.83149668	C2
1.83196184.83196647	C3
1.83334492.83334878	C3
1.83351689.83352458	C2
1.83461001.83461401	C2
1.83485978.83486233	C2
1.83489277.83489519	C2
1.83654999.83655319	C3
1.83733036.83733299	C3
1.83781341.83781571	C1
1.83821080.83821322	C3
1.83831392.83831727	C4
1.83866050.83866354	C1
1.83915954.83916223	C4
1.83926840.83927126	C2
1.83987283.83987995	C3
1.84043987.84044303	C1
1.84224357.84225000	C3
1.84229544.84230026	C1
1.84264403.84264702	C4
1.84421550.84422150	C1
1.84504621.84505180	C2
1.84554186.84554459	C2
1.84733165.84733372	C3
1.84735134.84735344	C3
1.84744251.84744883	C1
1.84774357.84774695	C2
1.84784920.84785550	C4
1.84807121.84807876	C2
1.84813026.84813422	C5
1.84825873.84826425	C2
1.84849304.84849717	C3
1.84923006.84923241	C3
1.84924262.84924786	C3
1.85006723.85006974	C4
1.85017157.85017595	C3
1.85082381.85082724	C2
1.85181413.85181961	C3
1.85241138.85241374	C3
1.85306844.85307177	C2
1.85329583.85329967	C4
1.85330750.85330976	C5
1.85335957.85336223	C2
1.85357209.85357647	C2
1.85360138.85360369	C2
1.85361044.85361436	C2
1.85409349.85409872	C1
1.85452073.85452347	C2
1.85460123.85460499	C3
1.85646343.85646804	C1
1.85658891.85659285	C2
1.85677782.85678076	C1
1.85859431.85859839	C2
1.85991609.85992259	C3
1.86156688.86157073	C4
1.86159997.86160719	C3
1.86226092.86226415	C3
1.86290410.86290769	C3
1.86308463.86311111	C2
1.86338299.86338831	C1
1.86342476.86343023	C3
1.86399097.86399581	C4
1.86430982.86431361	C1
1.86462401.86462613	C3
1.86504257.86504562	C2
1.86551907.86552182	C3
1.86737108.86737907	C4
1.86763604.86764618	C3
1.86765627.86765846	C3
1.86816478.86816695	C5
1.86837279.86837596	C3
1.86871894.86872434	C2
1.86965638.86966147	C3
1.87127303.87127873	C3
1.87134380.87134758	C3
1.87142639.87143202	C4
1.87175247.87175485	C2
1.87220065.87221332	C4
1.87390981.87391386	C3
1.87406893.87407528	C3
1.87710936.87711414	C3
1.87753930.87754304	C3
1.87767487.87767832	C3
1.87784101.87784327	C3
1.87799825.87800044	C2
1.87800654.87801268	C3
1.87822037.87822413	C2
1.87844357.87846733	C3
1.87875412.87875702	C2
1.87929035.87929453	C3
1.88036757.88037293	C1
1.88082961.88084895	C3
1.88092958.88093379	C3
1.88095656.88096096	C1
1.88181912.88182160	C3
1.88253850.88254201	C3
1.88258122.88258588	C3
1.88302593.88302852	C1
1.88307438.88307868	C1
1.88313878.88314168	C3
1.88331235.88331449	C1
1.88358525.88358864	C3
1.88559505.88559867	C1
1.88626468.88626776	C5
1.88863056.88863319	C3
1.88882275.88883654	C3
1.88978546.88978762	C3
1.89000428.89000779	C3
1.89013032.89013260	C3
1.89059380.89059603	C3
1.89073517.89073922	C3
1.89075356.89075833	C3
1.89197003.89197309	C2
1.89246609.89247007	C5
1.89308816.89309070	C3
1.89317483.89318501	C3
1.89352122.89352520	C3
1.89365732.89365962	C4
1.89416115.89416374	C4
1.89532330.89533714	C2
1.89545186.89545917	C2
1.89551713.89552158	C3
1.89559773.89560583	C1
1.89563300.89563614	C1
1.89567331.89567836	C1
1.89627115.89627552	C1
1.89631201.89631748	C4
1.89643151.89643655	C3
1.89671532.89671813	C3
1.89680002.89680485	C2
1.89695178.89695550	C4
1.89735020.89735330	C3
1.89742271.89743358	C4
1.89850060.89850271	C3
1.89873336.89874208	C1
1.89899375.89899697	C1
1.89917430.89917921	C4
1.89940864.89941330	C3
1.89955194.89955661	C3
1.89978147.89979024	C5
1.90018457.90019036	C2
1.90038761.90039022	C1
1.90048614.90048869	C3
1.90139571.90139898	C3
1.90303075.90303430	C3
1.90334743.90335211	C2
1.90379432.90379957	C4
1.90449643.90450091	C3
1.90491887.90492313	C3
1.90547949.90548634	C4
1.90588423.90589115	C2
1.90609133.90609469	C2
1.90610609.90611224	C2
1.90629927.90631143	C1
1.90825903.90826437	C2
1.90937588.90938164	C2
1.91004155.91005293	C1
1.91016541.91016750	C1
1.91148762.91149495	C3
1.91177034.91177251	C5
1.91259167.91259425	C1
1.91309241.91309551	C1
1.91327705.91328018	C2
1.91351308.91351977	C2
1.91361868.91362187	C3
1.91371342.91371990	C1
1.91387890.91388171	C2
1.91498380.91498622	C5
1.91600235.91601206	C1
1.91669741.91670116	C3
1.91742231.91742813	C1
1.91771891.91772572	C3
1.91973496.91973868	C3
1.91987473.91987805	C3
1.91993603.91993972	C1
1.92016867.92017140	C4
1.92037036.92038143	C4
1.92075757.92075992	C1
1.92177570.92178349	C4
1.92180851.92181109	C1
1.92182063.92182582	C1
1.92203862.92204079	C1
1.92265833.92266228	C2
1.92268410.92269175	C5
1.92274525.92275140	C3
1.92287191.92287683	C3
1.92296893.92297181	C3
1.92304782.92304996	C3
1.92315520.92315805	C4
1.92414839.92415205	C3
1.92415465.92415726	C4
1.92483979.92484419	C3
1.92533691.92533911	C1
1.92553615.92554150	C3
1.92582629.92582915	C1
1.92613334.92613719	C3
1.92622524.92622958	C4
1.92658215.92658517	C1
1.92666765.92667241	C3
1.92835842.92836147	C3
1.92893140.92893768	C3
1.92913621.92914115	C1
1.92914714.92915834	C1
1.92947554.92947865	C2
1.93020090.93020404	C3
1.93038593.93039235	C3
1.93050080.93050825	C1
1.93132486.93133056	C3
1.93133472.93133853	C1
1.93165641.93165880	C3
1.93208619.93208976	C3
10.220550.221536	C1
10.233736.234472	C1
10.276301.276588	C3
10.282138.282506	C3
10.316319.317444	C3
10.335087.335783	C3
10.422217.422451	C3
10.457042.458075	C1
10.486937.487341	C2
10.505609.506300	C3
10.607812.608047	C3
10.636124.636351	C3
10.644447.644749	C1
10.645879.646113	C4
10.674798.675170	C4
10.699736.700269	C4
10.801641.801849	C2
10.955067.955757	C3
10.981350.982100	C3
10.989444.989776	C3
10.995088.995870	C5
10.1002382.1002852	C3
10.1018427.1018874	C3
10.1027074.1027489	C1
10.1086575.1086946	C3
10.1130331.1130722	C3
10.1199328.1199838	C3
10.1244254.1244572	C1
10.1270477.1270949	C2
10.1285523.1287433	C2
10.1303088.1303412	C2
10.1317203.1317420	C5
10.1318791.1319581	C5
10.1371482.1371806	C1
10.1393965.1394176	C3
10.1452257.1452494	C5
10.1465089.1465303	C3
10.1579997.1580391	C2
10.1693769.1694403	C3
10.1696967.1697885	C2
10.1845605.1845821	C3
10.1884776.1885205	C3
10.1907519.1907769	C4
10.1911642.1912085	C5
10.1920078.1920426	C3
10.1946680.1947091	C5
10.2014705.2015318	C3
10.2018819.2019457	C5
10.2040091.2040568	C3
10.2098837.2099406	C3
10.2165866.2166554	C4
10.2447240.2447828	C3
10.2466547.2467120	C5
10.2535659.2536250	C5
10.2611144.2611450	C2
10.2693140.2694802	C4
10.2695221.2695964	C4
10.2702456.2702799	C5
10.2703862.2704238	C4
10.2708609.2708817	C2
10.2798419.2798750	C2
10.2801180.2801739	C2
10.2839848.2840066	C1
10.2844807.2845070	C4
10.2875359.2875716	C3
10.2968922.2969420	C2
10.3071082.3071792	C3
10.3072484.3072784	C3
10.3103268.3103555	C3
10.3412032.3412989	C5
10.3470451.3471911	C4
10.3472498.3472747	C5
10.3482456.3482822	C5
10.3507576.3507792	C2
10.3512802.3513141	C1
10.3526319.3526535	C3
10.3735431.3737527	C2
10.3991613.3991947	C1
10.4021631.4021927	C3
10.4047652.4047887	C5
10.4110994.4111632	C3
10.4129303.4129604	C1
10.4184001.4184315	C5
10.4187561.4188287	C4
10.4236757.4237254	C3
10.5558732.5558944	C2
10.5590929.5591497	C3
10.6082514.6082850	C1
10.6203108.6203395	C1
10.6601468.6601878	C2
10.7313747.7314238	C3
10.7371519.7371843	C1
10.8763797.8764294	C2
10.8797569.8798548	C1
10.8813510.8814265	C2
10.10366208.10366452	C4
10.10368149.10368517	C1
10.10802727.10802971	C3
10.10855574.10856096	C3
10.14186749.14187014	C4
10.20323747.20324024	C5
10.21387879.21388363	C4
10.22299183.22299478	C3
10.24001482.24002008	C3
10.26200745.26201071	C3
10.26451343.26451621	C3
10.26500938.26501302	C5
10.27419500.27419727	C3
10.27705794.27706360	C2
10.28325555.28326180	C4
10.28916473.28916749	C3
10.28963286.28963963	C2
10.30398459.30398803	C2
10.32154697.32155009	C3
10.33337305.33337624	C3
10.33439681.33439936	C5
10.33451327.33451660	C3
10.34597802.34598069	C2
10.35011558.35012017	C3
10.39344894.39345416	C3
10.39408566.39408904	C4
10.40291465.40291869	C3
10.40659963.40660170	C3
10.40680529.40680950	C3
10.41618892.41619271	C3
10.42915597.42916043	C1
10.46304994.46305238	C2
10.46326430.46326643	C3
10.46527743.46528147	C3
10.47079926.47080447	C1
10.47232751.47233361	C2
10.48152854.48153076	C1
10.48233315.48233678	C2
10.49776854.49777133	C4
10.49861315.49861583	C3
10.50021686.50022042	C1
10.50054266.50055212	C2
10.50194665.50195207	C2
10.50460912.50461152	C4
10.51074087.51074429	C3
10.51289832.51290562	C3
10.51435357.51435583	C3
10.51475923.51476160	C3
10.51510498.51511272	C2
10.51611487.51611903	C3
10.52180261.52180511	C2
10.52968096.52968460	C4
10.54471195.54471426	C1
10.54596853.54597209	C2
10.55536679.55536930	C1
10.55808711.55809718	C2
10.55874700.55875254	C2
10.55917869.55918245	C2
10.56103010.56103300	C2
10.56197387.56197885	C1
10.56253212.56253422	C3
10.56942923.56943205	C3
10.56968539.56968839	C3
10.57403493.57403898	C3
10.57451683.57451965	C1
10.57458235.57458479	C1
10.57538850.57539156	C4
10.57557343.57558014	C4
10.58584399.58584650	C4
10.58845923.58846300	C3
10.58849703.58850446	C3
10.58878987.58879257	C1
10.58924705.58925018	C4
10.58962311.58962605	C1
10.59053210.59053638	C2
10.59241877.59242142	C2
10.59463374.59463751	C3
10.60001316.60001665	C3
10.60059027.60059459	C2
10.60119183.60119572	C2
10.60135161.60135473	C2
10.60148379.60148789	C2
10.60186996.60187612	C2
10.60323688.60324051	C5
10.60327693.60328103	C5
10.60431101.60431365	C5
10.60468103.60468400	C3
10.60799296.60799893	C3
10.60827020.60827601	C3
10.60829613.60830254	C3
10.60832258.60833097	C3
10.60850647.60851483	C1
10.60860110.60860601	C3
10.60862137.60862425	C1
10.60934798.60935135	C3
10.60942291.60942513	C1
10.60942873.60943364	C1
10.60977286.60977574	C4
10.61184194.61184785	C2
10.61274014.61275510	C3
10.61278201.61278711	C3
10.61280728.61281029	C2
10.61299429.61299688	C2
10.61421768.61422153	C3
10.61488766.61489052	C3
10.61492751.61493157	C1
10.61604266.61604542	C1
10.61604938.61605792	C1
10.61608074.61608839	C1
10.61694546.61694785	C3
10.61754442.61754687	C3
10.61769954.61770794	C4
10.61823499.61823706	C1
10.61836837.61837197	C1
10.61890535.61890804	C2
10.61949410.61949792	C2
10.61953112.61953346	C4
10.61967454.61968043	C2
10.61970669.61971043	C4
10.61984784.61985086	C1
10.62021775.62022231	C2
10.62031467.62032031	C3
10.62046949.62047926	C1
10.62055049.62055407	C3
10.62135472.62135985	C3
10.62163516.62163787	C2
10.62199821.62200108	C3
10.62298937.62299205	C2
10.62311963.62312334	C2
10.62374653.62375070	C3
10.62411442.62411787	C3
10.62433675.62433956	C3
10.62449481.62449964	C3
10.62469785.62470299	C3
10.62495708.62496199	C2
10.62526761.62527486	C2
10.62532627.62533884	C2
10.62587024.62587781	C5
10.62604225.62604683	C4
10.62625923.62626280	C3
10.62730287.62730718	C2
10.62784074.62784367	C5
10.62810126.62810451	C4
10.62827974.62828608	C4
10.62894742.62895055	C1
10.62922431.62922962	C5
10.63039076.63039355	C3
10.63137797.63138051	C5
10.63265002.63266356	C1
10.63309363.63309867	C3
10.63320081.63320481	C3
10.63359826.63360215	C2
10.63395277.63395763	C2
10.63398884.63399093	C3
10.63451428.63451930	C2
10.63453421.63453685	C3
10.63462466.63462856	C3
10.63587670.63587880	C2
10.63803819.63804042	C3
10.63832577.63832828	C4
10.63953336.63953744	C4
10.63975854.63976074	C2
10.64031390.64031791	C5
10.64034753.64035440	C2
10.64188163.64188452	C3
10.64221843.64222127	C3
10.64248554.64248856	C3
10.64266008.64266514	C3
10.64300546.64301051	C3
10.64343586.64343883	C5
10.64370811.64371103	C3
10.64421685.64422117	C3
10.64442099.64442316	C2
10.64463022.64463273	C3
10.64541643.64542027	C3
10.64549372.64549721	C1
10.64576599.64576807	C3
10.64577615.64579681	C3
10.64660439.64661168	C1
10.64663776.64664560	C1
10.64704530.64705296	C2
10.64759958.64760432	C3
10.64827291.64827736	C2
10.64868220.64868664	C2
10.64904385.64904817	C3
10.64936314.64936553	C1
10.64967123.64967747	C3
10.65086053.65086327	C4
10.65123603.65125154	C1
10.65233157.65233777	C3
10.65243872.65244749	C2
10.65273977.65274617	C5
10.65276888.65277119	C4
10.65277941.65278184	C4
10.65346247.65346717	C3
10.65348768.65348997	C3
10.65389613.65389980	C3
10.65535821.65536113	C2
10.65612263.65612503	C3
10.65637016.65637430	C3
10.65684923.65685314	C3
10.65826288.65827044	C1
10.65839598.65839987	C2
10.65853937.65854524	C2
10.65882452.65882759	C2
10.65975435.65975758	C2
10.65976284.65976555	C3
10.65978330.65980484	C3
10.66037049.66037291	C2
10.66097569.66097954	C3
10.66161751.66162281	C1
10.66171885.66172505	C1
10.66211375.66211700	C3
11.117426.117905	C3
11.119852.120069	C3
11.134848.135211	C3
11.194949.195190	C3
11.231339.231572	C2
11.286937.287356	C3
11.289961.290615	C3
11.317932.318404	C1
11.424415.425057	C1
11.479029.479755	C2
11.561231.561517	C3
11.614726.614999	C3
11.799974.800448	C3
11.834928.835460	C2
11.935148.935604	C3
11.1070655.1071232	C1
11.1106574.1106914	C1
11.1156936.1157151	C2
11.1172551.1172851	C3
11.1188806.1189086	C1
11.1275017.1275734	C3
11.1284962.1285326	C3
11.1295218.1296067	C2
11.1384058.1384590	C1
11.1428313.1428542	C3
11.1624435.1624745	C1
11.1628108.1628411	C3
11.1654204.1654467	C2
11.1662283.1662902	C4
11.1832923.1833140	C2
11.1872254.1872597	C5
11.1882043.1882362	C3
11.1885903.1886534	C2
11.1964665.1965004	C2
11.1971741.1972215	C2
11.1973848.1974396	C3
11.2134473.2134796	C3
11.2239145.2239444	C3
11.2324652.2325041	C3
11.2379258.2379632	C3
11.2485211.2485570	C3
11.2487057.2487334	C1
11.2490359.2490953	C3
11.2522108.2522512	C4
11.2740216.2740727	C1
11.2762436.2763644	C3
11.2784792.2785774	C2
11.2801915.2802610	C2
11.2815431.2815753	C5
11.2960760.2961016	C3
11.3059447.3059866	C3
11.3060294.3060683	C5
11.3155807.3156627	C1
11.3270173.3270455	C1
11.3348867.3349424	C1
11.3371932.3372207	C3
11.3402186.3403071	C4
11.3529053.3529900	C2
11.3532729.3533216	C5
11.3537585.3537906	C3
11.3548850.3549768	C2
11.3559325.3559883	C2
11.3566827.3567049	C3
11.3581010.3581352	C2
11.3741554.3742051	C4
11.3761092.3761350	C2
11.3764322.3764575	C3
11.3784380.3784859	C3
11.3787912.3788343	C5
11.3794486.3794754	C3
11.3929218.3929586	C2
11.4026342.4026673	C3
11.4029216.4029587	C2
11.4090810.4091212	C3
11.4091433.4091693	C1
11.4113510.4113912	C3
11.4196681.4197027	C5
11.4319778.4320281	C1
11.4327811.4328316	C3
11.4329056.4329320	C1
11.4376134.4376351	C1
11.4378338.4378914	C2
11.4387017.4387474	C2
11.4461056.4461528	C5
11.4568952.4569602	C5
11.4576284.4576625	C2
11.4609901.4610246	C3
11.4817348.4817703	C2
11.4857391.4857882	C5
11.4894692.4895219	C3
11.4915596.4915854	C5
11.4925445.4925788	C5
11.4949492.4949746	C5
11.4950398.4950974	C2
11.4956123.4957643	C2
11.5024250.5024548	C3
11.5046239.5046447	C4
11.5123681.5123977	C3
11.5134991.5135466	C3
11.5203636.5204055	C3
11.5212482.5213159	C3
11.5223952.5224936	C1
11.5230245.5230879	C2
11.5245859.5246493	C2
11.5333097.5333371	C3
11.5374980.5375531	C2
11.5379731.5380062	C4
11.5432792.5433437	C2
11.5435133.5435364	C5
11.5582890.5583522	C2
11.5930151.5930517	C5
11.5949293.5949884	C3
11.5996536.5996774	C2
11.6012212.6012816	C2
11.6013213.6013591	C2
11.6013908.6015661	C2
11.6151917.6152459	C5
11.6152680.6153013	C4
11.6183021.6183323	C1
11.6199845.6200332	C3
11.6570709.6571198	C1
11.6572219.6572513	C1
11.6573449.6573866	C1
11.6575628.6575891	C1
11.7180027.7180490	C2
11.7260492.7261086	C1
11.7263377.7265231	C1
11.7279309.7279527	C1
11.7391973.7392631	C2
11.7863860.7864148	C4
11.7953824.7954700	C2
11.7968639.7968924	C3
11.7984231.7984633	C3
11.8543384.8543891	C5
11.9087519.9087935	C5
11.9088891.9089551	C1
11.9244810.9245292	C3
11.9249410.9250309	C2
11.9253197.9253534	C2
11.9603316.9603574	C4
11.9727739.9727958	C5
11.10019016.10019396	C3
11.10145709.10146493	C2
11.10147690.10148702	C2
11.10151497.10153083	C3
11.10157826.10158186	C1
11.10213053.10213364	C3
11.10616287.10616732	C3
11.10672579.10672861	C1
11.10814940.10815300	C4
11.10830501.10832284	C2
11.10833282.10833894	C2
11.10981604.10983296	C3
11.11938674.11939044	C1
11.12048856.12049238	C3
11.12312943.12313748	C3
11.13217000.13217320	C2
11.13268603.13268976	C3
11.13393226.13393474	C3
11.13534831.13535096	C4
11.13846182.13846437	C3
11.14108328.14108729	C1
11.17171985.17172334	C5
11.17623284.17623860	C4
11.18781297.18781723	C1
11.21778390.21778807	C3
11.25916939.25917196	C1
11.27008280.27008778	C2
11.28701242.28701609	C5
11.29287503.29288028	C3
11.30250987.30251610	C1
11.32893037.32893472	C1
11.34240180.34240466	C2
11.34360092.34360654	C3
11.34588994.34589860	C5
11.34823694.34823967	C2
11.34976337.34976621	C1
11.35059737.35060605	C4
11.36423160.36423504	C3
11.37944271.37944489	C5
11.38772729.38773172	C3
11.39096381.39096611	C3
11.42336578.42336816	C1
11.44019350.44020572	C2
11.50658572.50658807	C4
11.50830058.50830314	C2
11.50990372.50990604	C1
11.51121837.51122537	C3
11.51305707.51306007	C5
11.51316822.51317138	C3
11.51344455.51344674	C3
11.51432395.51432730	C3
11.51493596.51494009	C1
11.52149716.52150259	C3
11.52336873.52337403	C3
11.52389585.52389969	C1
11.52430390.52430677	C2
11.52570708.52571119	C2
11.52634896.52635121	C3
11.52705422.52705913	C3
11.52764623.52765644	C1
