Orthogroup,MpTak_v6.1r1.protein,Athaliana_447_Araport11.protein
OG0000017,Mp5g06970.1,"AT1G28160, AT5G13910, AT1G12890, AT1G12980, AT1G24590"
OG0000017,Mp5g12480.1,"AT1G04370, AT5G43410, AT3G23230"
OG0000017,Mp1g20040.1,"AT1G28360, AT5G44210, AT1G03800, AT1G53170, AT3G15210"
OG0000019,"Mp3g21010.1, Mp3g17480.1, Mp3g10790.1, Mp3g10780.1, Mp2g14780.1, Mp2g14790.1","AT5G07475, AT1G22480, AT1G72230, AT3G60270, AT2G44790, AT3G17675, AT2G02850, AT3G27200, AT2G32300"
OG0000019,Mp3g09420.1,"AT2G26720, AT2G31050"
OG0000020,Mp4g11380.1,"AT3G29340, AT4G04404, AT3G53600, AT2G37430, AT2G28710, AT3G46090, AT3G46080, AT3G46070, AT5G59820, AT1G02030, AT3G60580, AT2G45120, AT4G16610, AT5G61470, AT3G49930, AT5G67450, AT3G19580, AT5G04340, AT1G27730, AT5G43170, AT1G49900, AT4G35610, AT4G35700, AT2G26940, AT5G56200, AT4G35280, AT2G17180"
OG0000022,"Mp6g05100.1, Mp6g08420.1, Mp6g02400.1, Mp6g10840.1","AT3G20220, AT2G16580, AT4G34760, AT2G21220, AT4G38860, AT1G75580, AT1G19830, AT4G36110, AT2G18010, AT5G66260, AT3G51200, AT4G34770, AT5G18020, AT5G18010, AT5G18080, AT5G18060, AT5G18050, AT5G18030, AT2G21200, AT4G38825, AT3G03840, AT3G03820, AT3G03830, AT3G03850, AT4G38850, AT4G13790, AT4G38840, AT2G21210, AT4G34780, AT4G34810, AT4G34790, AT4G34800"
OG0000023,Mp2g02090.1,"AT3G60720, AT1G70690, AT2G01660, AT5G37660, AT1G63550, AT1G63570, AT1G63600, AT1G63590, AT1G63580, AT5G41300, AT5G41280, AT5G41290, AT1G61750, AT4G11521, AT3G21970, AT3G29040, AT3G21920, AT3G21930, AT3G29050, AT3G21910, AT3G21900, AT4G20630, AT4G20640, AT4G20590, AT4G20600, AT4G20670, AT4G20620, AT4G20610, AT4G20580, AT4G20560, AT4G20530, AT4G20645, AT4G20570, AT4G20540, AT4G20550, AT3G21990, AT3G21980, AT3G22050, AT3G22020, AT3G22040, AT3G22010, AT3G22000, AT4G20680, AT3G21960, AT2G31620, AT3G21940, AT3G58310, AT3G22060, AT5G48540"
OG0000024,"Mp5g12310.1, Mp6g03790.1","AT3G55550, AT5G01560, AT5G01540, AT5G01550, AT3G08870, AT3G45420, AT3G45410, AT3G45390, AT3G45330, AT5G60320, AT3G45440, AT5G60280, AT3G45430, AT5G60310, AT5G60300, AT5G60270, AT5G59260, AT3G53810, AT2G37710, AT4G02420, AT4G02410, AT3G59730, AT3G59700, AT2G43700, AT4G29050, AT1G70110, AT1G07460, AT2G29220, AT2G29250"
OG0000025,Mp5g12440.1,AT3G42170
OG0000026,"Mp6g06110.2, Mp6g06110.1",AT4G17760
OG0000028,"Mp6g00760.1, Mp4g16360.1","AT1G52520, AT1G80010, AT4G15090, AT4G19990, AT2G32250, AT1G76320, AT2G27110, AT4G38180, AT4G38170, AT5G18960, AT3G06250"
OG0000029,Mp8g00350.1,"AT1G28610, AT2G27360, AT1G28590, AT1G28600, AT1G31550, AT1G28580, AT1G28570, AT1G28670, AT1G28660, AT1G28640, AT1G28650, AT5G45910, AT5G03980"
OG0000033,"Mp7g02610.1, Mp7g02610.3, Mp7g02610.2, Mp7g02610.4, Mp6g20430.1, Mp1g25840.1, Mp1g25840.2","AT5G44410, AT5G44440, AT4G20820, AT5G44360, AT4G20860, AT2G34810, AT1G30730, AT1G30720, AT1G30710, AT1G34575, AT1G30700, AT1G30740, AT4G20840, AT4G20830, AT1G01980, AT1G11770, AT1G26420, AT1G26410, AT1G26390, AT1G26400, AT1G26380, AT4G20800, AT5G44380, AT5G44390, AT5G44400, AT2G34790, AT1G30760"
OG0000034,"Mp8g09770.1, Mp5g16980.1, Mp2g21770.1, Mp2g13180.1, Mp2g13210.1, Mp8g01930.1","AT2G36770, AT2G36780, AT2G36760, AT2G36790, AT2G36800, AT2G36750, AT3G53160, AT3G53150, AT4G34135, AT4G34131, AT4G34138, AT2G15480, AT2G15490"
OG0000035,"Mp6g19850.1, Mp5g18490.1, Mp7g14300.2, Mp7g14300.1","AT1G22900, AT5G42500, AT5G42510, AT3G58090, AT1G65870, AT2G21100, AT2G21110, AT4G38700, AT1G58170, AT5G49040, AT3G13662, AT1G55210, AT3G13650, AT3G13660"
OG0000036,"Mp6g14090.1, Mp3g00910.1, Mp6g02140.1","AT3G50200, AT3G50140, AT3G50190, AT3G50130, AT3G50170, AT3G50120, AT3G50180, AT3G50150, AT3G50160, AT2G36430, AT3G47200, AT3G47250, AT3G47210, AT3G44710, AT3G44700, AT5G22550, AT5G22560, AT5G22540, AT3G44695, AT5G11290, AT4G31980, AT2G28580, AT2G44930, AT1G67150, AT1G65985, AT3G60470"
OG0000037,Mp6g05000.1,"AT4G28640, AT4G29080, AT5G65670, AT2G22670, AT1G04250, AT3G23050, AT4G14550, AT3G04730, AT1G04240, AT5G43700, AT3G23030, AT4G14560, AT1G52830, AT3G15540, AT1G15580"
OG0000042,"Mp7g16250.1, Mp1g00210.1","AT5G39020, AT5G39030, AT1G66920, AT5G38240, AT5G38250, AT5G38210, AT5G38260, AT1G66910, AT1G67000, AT1G66930, AT1G70250, AT5G38280, AT4G18253, AT4G18250"
OG0000043,"Mp2g07030.1, Mp2g07030.2","AT2G36380, AT1G66950"
OG0000043,"Mp2g21340.1, Mp2g03890.2, Mp2g03890.1, Mp2g03890.3, Mp2g03890.4",AT2G29940
OG0000043,"Mp2g14210.1, Mp4g06670.1, Mp2g21800.1, Mp8g09300.1, Mp8g13070.1, Mp4g05490.1, Mp1g25350.1, Mp1g24380.1","AT3G16340, AT1G59870, AT1G15210"
OG0000044,Mp5g10600.1,"AT1G03020, AT3G62930, AT5G18600, AT4G15680, AT4G15670, AT4G15660, AT4G15700, AT4G15690, AT2G47880, AT3G62960, AT2G30540, AT1G06830, AT3G21460, AT3G62950, AT2G47870, AT5G14070, AT3G02000"
OG0000047,Mp7g06550.1,"AT5G49520, AT2G47260, AT3G62340, AT1G29860, AT4G18170, AT5G46350, AT1G69310, AT2G46130, AT5G41570, AT1G64000, AT3G01970, AT5G13080, AT4G39410, AT2G44745, AT5G26170, AT5G64810"
OG0000051,Mp1g16210.1,"AT2G15325, AT2G18370, AT4G33355, AT5G01870, AT3G08770, AT3G51590, AT5G59320, AT5G59310, AT5G59330, AT3G51600, AT2G38530, AT2G38540, AT2G15050"
OG0000055,"Mp8g05200.2, Mp8g05200.1, Mp8g05200.3","AT1G21230, AT1G21250, AT1G21245, AT3G25490, AT1G21240, AT1G21270, AT1G21210, AT1G22720"
OG0000058,"Mp4g06820.1, Mp3g25030.1, Mp2g05000.1, Mp2g09680.1, Mp4g12350.2, Mp4g12350.1","AT5G62670, AT3G47950, AT3G60330"
OG0000058,"Mp1g13700.1, Mp4g02970.2, Mp4g02970.1, Mp3g21600.1, Mp3g19090.1, Mp3g12390.1, Mp3g12380.1, Mp3g15070.1, Mp3g12400.1, Mp3g12400.2, Mp3g12400.3, Mp3g12440.1, Mp3g12410.1, Mp3g07710.1, Mp3g07700.1, Mp3g07690.1","AT2G07560, AT3G42640, AT1G80660, AT2G24520, AT4G30190, AT2G18960, AT5G57350"
OG0000059,Mp5g01600.1,"AT1G23380, AT1G70510, AT4G08150, AT1G62360"
OG0000059,Mp7g05320.1,"AT4G32040, AT5G25220, AT5G11060, AT1G62990"
OG0000063,"Mp5g17120.1, Mp5g17080.1, Mp5g19410.1, Mp5g14510.1, Mp3g16820.1, Mp7g14900.1, Mp7g14950.1, Mp3g15780.1, Mp3g15800.1, Mp3g15790.1, Mp3g15810.1, Mp3g12240.1, Mp3g12240.2, Mp3g12240.3, Mp3g12230.1, Mp7g09310.2, Mp7g09310.1, Mp8g09900.1","AT3G21770, AT1G05260, AT4G11290, AT5G15180, AT3G01190, AT1G05250, AT1G05240"
OG0000066,Mp1g28240.1,"AT5G49120, AT4G39795, AT1G78020, AT1G22160, AT5G65040, AT2G44670, AT5G47060, AT4G17670, AT1G53903, AT1G53885"
OG0000067,"Mp3g09210.1, Mp3g09180.1, Mp3g09150.1, Mp3g09170.1, Mp3g09220.1, Mp4g22230.1, Mp3g09230.1, Mp3g09200.1, Mp3g09190.1, Mp3g09160.1","AT4G27190, AT4G27220, AT4G26090, AT1G12210, AT1G12220, AT1G12280, AT4G10780, AT1G12290, AT1G63350, AT1G63360, AT1G62630, AT1G61180, AT1G61310, AT1G61190, AT1G61300, AT5G63020, AT5G05400, AT1G51480, AT5G43730, AT5G43740, AT1G15890, AT5G47260, AT5G47250, AT1G52660, AT3G15700"
OG0000071,"Mp5g14720.1, Mp3g17370.1","AT5G40960, AT5G50560, AT5G50660, AT3G01940, AT5G40980, AT3G27027, AT5G08391, AT3G27030, AT3G01950, AT5G14110, AT3G48660, AT5G63500"
OG0000073,"Mp5g18800.1, Mp4g10820.1","AT5G14150, AT1G29980, AT2G34510, AT3G08030, AT2G41810, AT2G41800, AT4G32460, AT5G25460, AT5G11420, AT1G80240"
OG0000074,"Mp7g04390.1, Mp7g16060.1","AT4G01820, AT4G01830, AT1G02520, AT1G02530, AT3G62150, AT2G47000, AT4G18050, AT5G46540"
OG0000074,"Mp2g02910.1, Mp2g02920.1, Mp5g17400.1, Mp4g07450.1","AT1G28010, AT4G25960, AT1G10680"
OG0000076,Mp2g04160.1,"AT1G22490, AT1G72210, AT5G65320, AT5G46690, AT4G01460, AT2G46810, AT3G61950, AT3G06120, AT5G53210, AT3G24140"
OG0000077,Mp5g09060.1,AT5G64010
OG0000077,Mp8g02840.1,"AT4G15400, AT5G47980, AT5G23970, AT5G47950, AT3G30280, AT4G15390, AT1G24420, AT3G26040"
OG0000078,"Mp2g13330.2, Mp2g13330.3, Mp2g13330.5, Mp2g13330.8, Mp2g13330.6, Mp2g13330.4, Mp2g13330.7, Mp2g13330.1","AT5G06950, AT3G12250, AT1G68640, AT1G08320, AT5G06839, AT1G77920, AT1G22070, AT5G10030, AT5G65210"
OG0000083,Mp1g20310.1,"AT3G48230, AT5G19170, AT1G10750, AT1G70550, AT1G23340, AT5G50150, AT2G44240, AT2G44220, AT2G19360, AT2G17750, AT2G44250, AT2G44210, AT1G55360, AT3G13510, AT5G56530, AT5G18460"
OG0000084,"Mp2g07690.1, Mp7g07800.1","AT4G32410, AT2G25540, AT5G05170, AT5G44030, AT4G18780, AT5G17420, AT2G21770, AT4G39350, AT5G09870, AT5G64740"
OG0000085,Mp3g09090.1,AT4G40030
OG0000085,"Mp7g18030.1, Mp7g10700.1, Mp7g16200.1, Mp7g10730.1, Mp3g07730.1","AT1G09200, AT5G10400, AT5G65350, AT5G10390, AT3G27360, AT5G65360"
OG0000090,"Mp3g18020.2, Mp3g18020.1","AT3G20530, AT3G24790, AT3G07070, AT1G76370, AT1G20650, AT5G02800, AT5G13160, AT5G18610"
OG0000091,Mp3g24290.1,"AT5G45277, AT3G50020, AT3G46860, AT5G43570, AT5G43580, AT2G38900, AT2G38870"
OG0000093,Mp5g10800.1,"AT4G31500, AT4G13770, AT5G57260, AT3G26290, AT3G26300, AT3G26310, AT2G02580, AT3G26320, AT3G26330, AT2G24180, AT5G25180, AT5G25140, AT5G25130, AT5G25120, AT3G26220, AT3G26230, AT3G26280, AT3G26270, AT1G13110, AT1G13090, AT3G26830, AT1G13100, AT3G26210, AT3G26180, AT3G26170, AT3G26150, AT3G26160, AT3G26200, AT3G26190, AT3G53280, AT3G44250, AT3G53300, AT5G35715, AT1G13080"
OG0000095,"Mp2g16780.1, Mp1g20730.1, Mp3g13980.1, Mp2g00620.1, Mp2g09390.1","AT5G12250, AT5G23860, AT2G29550, AT5G62700, AT5G62690, AT4G20890, AT5G44340, AT1G75780, AT1G20010"
OG0000096,Mp7g02720.1,"AT4G24130, AT5G46230, AT1G56580, AT1G09310"
OG0000097,Mp6g08690.1,"AT1G01250, AT1G77200, AT2G25820, AT4G32800, AT5G11590, AT5G25810, AT3G16280, AT3G60490, AT2G44940, AT4G16750, AT2G35700"
OG0000098,"Mp5g22460.1, Mp4g13430.1, Mp5g22450.1, Mp4g13440.1, Mp5g22470.1, Mp4g03080.1, Mp5g16840.1, Mp4g03090.1","AT3G45930, AT3G46320, AT1G07660, AT5G59690, AT3G53730, AT2G28740, AT1G07820, AT5G59970"
OG0000099,Mp8g18310.1,"AT5G02030, AT2G27990, AT5G41410, AT2G35940, AT2G27220, AT1G75430, AT1G75410, AT1G19700, AT4G34610, AT2G16400"
OG0000100,Mp3g03810.1,"AT2G07440, AT2G41310, AT3G57040, AT2G40670, AT3G56380, AT3G48100, AT5G62920, AT1G74890, AT1G19050, AT1G59940, AT1G10470"
OG0000103,"Mp4g04110.1, Mp6g01920.3, Mp6g01920.1, Mp6g01920.2","AT4G30360, AT2G24610, AT5G14870, AT3G48010, AT2G28260, AT5G53130, AT4G01010, AT1G15990, AT1G19780, AT5G57940, AT4G30560, AT2G23980"
OG0000104,Mp2g00330.1,"AT5G28490, AT2G31160, AT3G23290, AT2G42610, AT5G58500, AT1G07090"
OG0000105,Mp2g04000.1,"AT4G16260, AT3G57240, AT3G57260, AT3G57270"
OG0000108,"Mp8g18180.1, Mp1g21600.1","AT5G09370, AT4G08670, AT2G13820, AT5G64080, AT2G27130, AT3G43720, AT1G03103, AT2G48130, AT3G22580, AT3G22600, AT4G14815"
OG0000109,"Mp5g21760.1, Mp5g21770.1, Mp5g21740.3, Mp5g21740.2, Mp5g21740.1, Mp5g19190.1","AT2G26560, AT4G37050, AT4G37070, AT4G37060, AT5G43590"
OG0000110,"Mp7g04170.1, Mp7g04170.2","AT1G09840, AT1G57870, AT4G00720, AT2G30980, AT1G06390, AT4G18710, AT5G14640, AT3G05840, AT5G26751"
OG0000111,"Mp8g07840.2, Mp8g07840.7, Mp8g07840.1, Mp8g07840.6, Mp8g07840.5, Mp8g07840.8, Mp8g07840.4, Mp8g07840.3","AT5G19350, AT1G47500, AT1G47490, AT3G19130, AT1G49600, AT1G11650, AT4G27000, AT5G54900"
OG0000112,"Mp2g23960.4, Mp2g23960.3, Mp2g23960.2, Mp2g23960.1, Mp2g08000.2, Mp2g08000.1, Mp2g08000.3, Mp5g15680.1, Mp5g21580.1, Mp5g21580.3, Mp5g21580.2, Mp5g02880.1","AT5G49360, AT1G02640, AT3G19620, AT5G09700, AT5G09730, AT5G64570, AT5G10560, AT1G78060"
OG0000114,Mp3g01300.1,"AT2G07732, ATMG00280, ATCG00490"
OG0000116,Mp3g00390.1,"AT5G01880, AT5G05280, AT3G10910, AT4G17245, AT5G47610, AT1G49210, AT1G49200, AT1G49220, AT3G18773, AT1G49230, AT2G17450, AT1G76410, AT1G20823"
OG0000117,Mp7g03490.1,"AT5G26930, AT5G56860, AT4G26150, AT4G16141, AT3G16870, AT5G49300, AT3G06740, AT2G18380, AT4G36620, AT3G50870, AT3G20750"
OG0000118,Mp8g16840.1,"AT2G44830, AT5G47750, AT5G55910, AT5G40030"
OG0000118,Mpzg01290.1,"AT3G12690, AT1G79250, AT1G16440"
OG0000119,"Mp4g01230.1, Mp3g05190.1, Mp4g20290.2, Mp4g20290.1","AT1G63070, AT1G63320, AT1G63130, AT1G62930, AT1G62670, AT1G63330, AT1G62590, AT1G62914, AT1G63400, AT1G63150, AT1G62910, AT1G63080, AT1G12775, AT1G12300, AT1G12620, AT3G22470, AT1G12700, AT3G16710, AT5G41170, AT4G26800, AT1G64583, AT1G64580, AT1G06580, AT5G16640, AT1G62720, AT1G62680, AT1G63630, AT1G63230, AT1G64100"
OG0000120,"Mp3g13080.1, Mp8g09440.2, Mp8g09440.1, Mp3g09620.1, Mp7g01820.1, Mp6g10020.1, Mp6g10020.2, Mp3g13790.1, Mp8g06300.1, Mp8g06300.2, Mp8g15680.1, Mp3g12900.1, Mp3g09880.1, Mp3g07390.1, Mp5g08940.1, Mp3g03470.6, Mp3g03470.5, Mp3g03470.2, Mp3g03470.1, Mp3g03470.3, Mp3g03470.4, Mp3g03480.1, Mp1g21610.1, Mp3g08550.1, Mp3g08550.3, Mp3g08550.2","AT1G69850, AT1G27040, AT5G62730"
OG0000122,"Mp4g03580.1, Mp4g14450.1, Mp4g14180.1, Mp4g14150.1, Mp4g14220.1, Mp4g14120.1, Mp4g14100.1, Mp4g14190.1, Mp4g14200.1, Mp4g18370.1, Mp7g14960.1, Mp7g14930.1, Mp7g14890.1, Mp7g14940.1, Mp2g22690.1, Mp2g22780.1, Mp2g22700.1, Mp2g19480.5, Mp2g19480.4, Mp2g19480.3, Mp2g19480.2, Mp2g19480.1, Mp2g20910.1, Mp2g07060.1",AT5G13930
OG0000124,"Mp4g02230.1, Mp2g20600.1, Mp2g20610.1, Mp2g20620.1, Mp2g20640.1, Mp2g20650.1","AT5G43340, AT5G43370, AT5G43350, AT5G43360, AT2G32830, AT2G38940, AT3G54700"
OG0000125,"Mp3g14110.1, Mp3g14100.1, Mp3g14130.1, Mp3g03430.1, Mp7g00440.1, Mp2g11950.1","AT4G31470, AT4G30320, AT3G09590, AT4G33730, AT3G19690, AT1G50060, AT2G19990, AT2G14580, AT2G14610, AT4G33720, AT5G26130, AT4G33710"
OG0000126,"MpVg01160.1, MpVg01160.2, MpUg00110.1","AT1G74740, AT1G18890, AT3G51850, AT2G41860, AT3G57530, AT5G19450, AT5G12480, AT2G31500"
OG0000127,"Mp2g19050.1, Mp7g10370.1","AT1G68020, AT4G17770, AT1G23870, AT1G70290, AT1G60140, AT2G18700, AT1G06410"
OG0000128,"Mpzg00230.1, Mp6g11010.1, Mp6g10990.1","AT5G09810, AT3G53750, AT2G37620, AT5G59370, AT3G46520, AT2G42100, AT1G49240, AT3G18780, AT3G12110"
OG0000129,"Mp8g04500.1, Mp2g25390.1","AT4G28380, AT4G33970, AT2G15880, AT1G49490, AT3G19020, AT3G22800, AT1G62440, AT5G25550, AT4G18670, AT4G13340, AT3G24480"
OG0000130,"Mp2g22080.1, Mp2g18710.1","AT4G14840, AT3G22520, AT1G05410"
OG0000133,"Mp3g19140.2, Mp3g19140.1, Mp1g06800.1, Mp3g24710.1, Mp1g17390.1, Mp3g24700.1, Mp3g24690.2, Mp3g24690.1, Mp3g24680.1","AT2G47140, AT2G47120, AT3G29260, AT3G29250, AT2G47130, AT3G42960, AT1G52340"
OG0000134,"Mp7g07270.1, Mp2g21670.1, Mp1g27120.1","AT2G20660, AT1G28270, AT2G33775, AT4G13950, AT3G23805, AT3G16570, AT4G15800, AT3G05490, AT1G02900, AT5G67070"
OG0000135,"MpVg00320.1, Mp1g15480.1","AT4G23170, AT4G23160"
OG0000136,"Mp4g01740.1, Mp4g01740.2, Mp6g12710.1, Mp2g21550.1","AT4G21323, AT5G11940, AT4G21326, AT1G66210, AT1G66220, AT4G21650, AT4G21640, AT4G21630, AT4G10520, AT4G10530, AT4G10550, AT4G10540, AT4G10510, AT1G32950, AT1G32940, AT1G32960, AT1G32970, AT1G32980"
OG0000137,Mp4g23410.1,"AT1G72700, AT1G17500, AT3G13900, AT1G54280"
OG0000137,"Mp4g23500.3, Mp4g23500.2, Mp4g23500.1",AT1G59820
OG0000138,"Mp7g09240.1, Mp4g22740.1, Mp4g22760.1, Mp4g22840.1, Mp4g22680.1, Mp4g22830.1, Mp4g22810.1, Mp4g22800.1, Mp4g22720.1, Mp4g22820.1, Mp4g22700.1, Mp4g16320.1, Mp4g22880.1, Mp4g22670.1, Mp8g18730.1, Mp8g04780.1, Mp5g07750.1, Mp5g10710.1, Mp5g10760.1, Mp5g10790.1, Mp5g10780.1, Mp8g04800.1","AT1G08090, AT1G08100, AT5G60770, AT1G12940, AT5G14570"
OG0000140,Mp1g29620.1,"AT2G05070, AT3G27690"
