type	cluster	run	Tag	Alg	F1_test	AUCROC_test	AUCROC_test_sd
mp_rna	C4	neg_C4_5	no_lasso	RF	0.703704	0.6379591836734694	0.006746434
mp_rna	C4	neg_C4_6	no_lasso	RF	0.683871	0.7421632653061224	0.005527712
mp_rna	C4	neg_C4_7	no_lasso	RF	0.685811	0.7666938775510204	0.009225212
mp_rna	C4	neg_C4_8	no_lasso	RF	0.703636	0.6585714285714286	0.015251603584925206
mp_rna	C4	neg_C4_9	no_lasso	RF	0.699719	0.5486938775510205	0.00768616
mp_rna	C5	neg_C5_1	no_lasso	RF	0.730233	0.7911957168352172	0.007728915
mp_rna	C5	neg_C5_10	no_lasso	RF	0.720639	0.7643664485425341	0.008106372
mp_rna	C5	neg_C5_2	no_lasso	RF	0.740319	0.7767995240928018	0.006617934
mp_rna	C5	neg_C5_3	no_lasso	RF	0.710259	0.7144556811421772	0.00563101
mp_rna	C5	neg_C5_4	no_lasso	RF	0.722222	0.8207019631171921	0.009384095
mp_rna	C5	neg_C5_5	no_lasso	RF	0.7068	0.7349791790600834	0.008200989
mp_rna	C5	neg_C5_6	no_lasso	RF	0.709748	0.7964306960142771	0.010192500139644213
mp_rna	C5	neg_C5_7	no_lasso	RF	0.728492	0.7331350386674599	0.008417976
mp_rna	C5	neg_C5_8	no_lasso	RF	0.723353	0.7888756692444974	0.008671646
mp_rna	C5	neg_C5_9	no_lasso	RF	0.711701	0.6757287328970851	0.005182324
mp_rna	C6	neg_C6_1	no_lasso	RF	0.711733	0.7483305785123967	0.006077702
mp_rna	C6	neg_C6_10	no_lasso	RF	0.711188	0.6913057851239669	0.006050219
mp_rna	C6	neg_C6_2	no_lasso	RF	0.727586	0.7206611570247933	0.004646951
mp_rna	C6	neg_C6_3	no_lasso	RF	0.725436	0.7397355371900826	0.009696776
mp_rna	C6	neg_C6_4	no_lasso	RF	0.7268	0.7383801652892562	0.005676332
mp_rna	C6	neg_C6_5	no_lasso	RF	0.712284	0.7810909090909091	0.010849625052183426
mp_rna	C6	neg_C6_6	no_lasso	RF	0.708126	0.6876694214876032	0.006344697
mp_rna	C6	neg_C6_7	no_lasso	RF	0.719138	0.7328925619834711	0.005216441
mp_rna	C6	neg_C6_8	no_lasso	RF	0.728363	0.8095537190082644	0.003531006
mp_rna	C6	neg_C6_9	no_lasso	RF	0.713217	0.7448595041322312	0.007790439
mp_rna	C7	neg_C7_1	no_lasso	RF	0.730697	0.8528	0.008220949
mp_rna	C7	neg_C7_10	no_lasso	RF	0.761711	0.81232	0.009838374
mp_rna	C7	neg_C7_2	no_lasso	RF	0.763209	0.85152	0.00384
mp_rna	C7	neg_C7_3	no_lasso	RF	0.749035	0.75168	0.006742818
mp_rna	C7	neg_C7_4	no_lasso	RF	0.728033	0.8169599999999999	0.007942191
mp_rna	C7	neg_C7_5	no_lasso	RF	0.715356	0.80672	0.011904688152152494
mp_rna	C7	neg_C7_6	no_lasso	RF	0.753398	0.78864	0.006805175
mp_rna	C7	neg_C7_7	no_lasso	RF	0.750491	0.69056	0.011318233077649514
mp_rna	C7	neg_C7_8	no_lasso	RF	0.771855	0.85056	0.011020272228942448
mp_rna	C7	neg_C7_9	no_lasso	RF	0.716475	0.8401666666666667	0.007009914
mp_rna	C8	neg_C8_1	no_lasso	RF	0.789668	0.9025510204081633	0.012170265757016876
mp_rna	C8	neg_C8_10	no_lasso	RF	0.828125	0.8918367346938776	0.004998959
mp_rna	C8	neg_C8_2	no_lasso	RF	0.777027	0.8683673469387754	0.019333974817853494
mp_rna	C8	neg_C8_3	no_lasso	RF	0.793893	0.789795918	0.012866857360120878
mp_rna	C8	neg_C8_4	no_lasso	RF	0.792308	0.7892857142857143	0.012714220198343977
mp_rna	C8	neg_C8_5	no_lasso	RF	0.765517	0.8841836734693878	0.014795918367346922
mp_rna	C8	neg_C8_6	no_lasso	RF	0.761905	0.7658163265306123	0.011282318565048969
mp_rna	C8	neg_C8_7	no_lasso	RF	0.795455	0.7066326530612245	0.016493092
mp_rna	C8	neg_C8_8	no_lasso	RF	0.806084	0.8030612244897959	0.013728187803136421
mp_rna	C8	neg_C8_9	no_lasso	RF	0.78169	0.7362244897959184	0.011867044234298976
