TFBS_chr	TFBS_start	TFBS_end	kmer_motif_name	geneId	distanceToTSS	distanceToTSS (log10)	TFBS_name	TFBS_score	TFBS_strand	peak_chr	peak_start	peak_end	peak_cluster	HS_score	CK_score	HS_bound	CK_bound	HS_CK_log2fc	kmer_family
chr1	11399970	11399976	C1_TCP_4-C10_TCP_8-C2_TCP_9-C3_TCP_5-C4_TCP_10-C5_TCP_3-C6_TCP_10	Mp1g11150	-2548	-0.549983611159689	_C1_TCP_4-C10_TCP_8-C2_TCP_9-C3_TCP_5-C4_TCP_10-C5_TCP_3-C6_TCP_10	8.54029	+	chr1	11399860	11400015	C1	27.32604	26.43832	1	1	0.04471	TCP
chr1	11399970	11399977	C6_TCP_54	Mp1g11150	-2547	-0.549861188471943	_C6_TCP_54	3.92517	-	chr1	11399860	11400015	C1	27.32604	26.43832	1	1	0.04471	TCP
chr1	11399971	11399977	C10_TCP_25-C5_TCP_8-C6_TCP_30	Mp1g11150	-2547	-0.549861188471943	_C10_TCP_25-C5_TCP_8-C6_TCP_30	8.54029	+	chr1	11399860	11400015	C1	27.32604	26.43832	1	1	0.04471	TCP
chr1	11399987	11399994	C5_NAC_5	Mp1g11150	-2530	-0.547774705387823	_C5_NAC_5	3.67017	+	chr1	11399860	11400015	C1	27.32604	26.43832	1	1	0.04471	NAC
chr1	11467552	11467558	C4_bHLH_8	Mp1g11220	3460	0.649334858712142	_C4_bHLH_8	8.28529	-	chr1	11467551	11467869	C1	27.41879	25.61782	1	1	0.0919	bHLH
chr1	11467638	11467645	C2_NAC_8	Mp1g11220	3373	0.640779477344857	_C2_NAC_8	3.67017	+	chr1	11467551	11467869	C1	29.87309	27.78452	1	1	0.09853	NAC
chr1	11467648	11467654	C4_TCP_24-C9_TCP_15	Mp1g11220	3364	0.639884741916304	_C4_TCP_24-C9_TCP_15	8.28529	+	chr1	11467551	11467869	C1	29.87309	27.78452	1	1	0.09853	TCP
chr1	11467658	11467664	C2_G2like_1-C4_G2like_2-C5_G2like_1-C6_G2like_1-C9_G2like_1	Mp1g11220	3354	0.638888424705076	_C2_G2like_1-C4_G2like_2-C5_G2like_1-C6_G2like_1-C9_G2like_1	8.28529	-	chr1	11467551	11467869	C1	29.87309	28.10894	1	1	0.08278	G2like
chr1	11467658	11467665	C2_C2H2_36	Mp1g11220	3353	0.638788667157398	_C2_C2H2_36	3.67017	-	chr1	11467551	11467869	C1	29.87309	28.10894	1	1	0.08278	C2H2
chr1	11467658	11467665	C2_LOBAS2_23	Mp1g11220	3353	0.638788667157398	_C2_LOBAS2_23	9.72992	-	chr1	11467551	11467869	C1	29.87309	28.10894	1	1	0.08278	LOBAS2
chr1	11467658	11467665	C4_WRKY_15	Mp1g11220	3353	0.638788667157398	_C4_WRKY_15	3.79767	+	chr1	11467551	11467869	C1	29.87309	28.10894	1	1	0.08278	WRKY
chr1	11467659	11467665	C10_LOBAS2_17-C2_LOBAS2_26-C4_LOBAS2_13-C5_LOBAS2_5-C6_LOBAS2_19-C9_LOBAS2_18	Mp1g11220	3353	0.638788667157398	_C10_LOBAS2_17-C2_LOBAS2_26-C4_LOBAS2_13-C5_LOBAS2_5-C6_LOBAS2_19-C9_LOBAS2_18	8.41279	-	chr1	11467551	11467869	C1	30.28133	29.49717	1	1	0.03574	LOBAS2
chr1	11467659	11467666	C6_C2H2_70	Mp1g11220	3352	0.638688886690123	_C6_C2H2_70	3.67017	-	chr1	11467551	11467869	C1	30.28133	29.49717	1	1	0.03574	C2H2
chr1	11467669	11467676	C2_WRKY_7	Mp1g11220	3342	0.637689819118401	_C2_WRKY_7	3.67017	+	chr1	11467551	11467869	C1	31.11212	30.9947	1	1	0.00516	WRKY
chr1	11467683	11467690	C4_NAC_1	Mp1g11220	3328	0.636287252098513	_C4_NAC_1	3.67017	-	chr1	11467551	11467869	C1	40.4144	34.77277	1	1	0.20716	NAC
chr1	11467684	11467691	C4_ND_7	Mp1g11220	3327	0.636186895198724	_C4_ND_7	3.67017	+	chr1	11467551	11467869	C1	40.4144	34.82762	1	1	0.205	ND
chr1	11467687	11467694	C2_WRKY_7	Mp1g11220	3324	0.635885685281273	_C2_WRKY_7	3.67017	-	chr1	11467551	11467869	C1	46.21586	40.21047	1	1	0.19292	WRKY
chr1	11467687	11467694	C4_BBRBPC_5	Mp1g11220	3324	0.635885685281273	_C4_BBRBPC_5	3.67017	-	chr1	11467551	11467869	C1	46.21586	40.21047	1	1	0.19292	BBRBPC
chr1	11467687	11467694	C6_AP2EREBP_101	Mp1g11220	3324	0.635885685281273	_C6_AP2EREBP_101	3.67017	-	chr1	11467551	11467869	C1	46.21586	40.21047	1	1	0.19292	AP2EREBP
chr1	11467691	11467697	C2_SBP_16-C4_SBP_14-C5_SBP_3-C6_SBP_19	Mp1g11220	3321	0.63558426631123	_C2_SBP_16-C4_SBP_14-C5_SBP_3-C6_SBP_19	8.41279	-	chr1	11467551	11467869	C1	52.29119	43.64806	1	1	0.25136	SBP
chr1	11467694	11467701	C10_BES1_3-C5_BES1_2-C6_BES1_3	Mp1g11220	3317	0.635182048656268	_C10_BES1_3-C5_BES1_2-C6_BES1_3	3.92517	-	chr1	11467551	11467869	C1	67.31835	56.16599	1	1	0.25401	BES1
chr1	11467714	11467720	C2_FHA_3-C6_FHA_3	Mp1g11220	3298	0.633266411155424	_C2_FHA_3-C6_FHA_3	8.28529	+	chr1	11467551	11467869	C1	69.61344	56.16599	1	1	0.30116	FHA
chr1	11467726	11467733	C5_NAC_5	Mp1g11220	3285	0.631950826259217	_C5_NAC_5	3.67017	-	chr1	11467551	11467869	C1	73.03191	63.29752	1	1	0.20116	NAC
chr1	11467750	11467756	C11_C2H2_3-C2_C2H2_8-C6_C2H2_12-C9_C2H2_4	Mp1g11220	3262	0.629613445378183	_C11_C2H2_3-C2_C2H2_8-C6_C2H2_12-C9_C2H2_4	8.28529	+	chr1	11467551	11467869	C1	69.17942	58.49224	1	1	0.23556	C2H2
chr1	11467751	11467757	C2_MYB_19-C6_MYB_21-C9_MYB_9	Mp1g11220	3261	0.629511534200453	_C2_MYB_19-C6_MYB_21-C9_MYB_9	8.28529	-	chr1	11467551	11467869	C1	65.901	55.12473	1	1	0.25027	MYB
chr1	11467772	11467779	C4_NAC_1	Mp1g11220	3239	0.627263416568221	_C4_NAC_1	3.67017	-	chr1	11467551	11467869	C1	69.30705	59.83927	1	1	0.20626	NAC
chr1	11467777	11467784	C4_HSF_5-C5_HSF_1-C6_HSF_7	Mp1g11220	3234	0.626750853683393	_C4_HSF_5-C5_HSF_1-C6_HSF_7	3.79767	+	chr1	11467551	11467869	C1	69.30705	59.83927	1	1	0.20626	HSF
chr1	11467778	11467784	C10_LOBAS2_17-C2_LOBAS2_26-C4_LOBAS2_13-C5_LOBAS2_5-C6_LOBAS2_19-C9_LOBAS2_18	Mp1g11220	3234	0.626750853683393	_C10_LOBAS2_17-C2_LOBAS2_26-C4_LOBAS2_13-C5_LOBAS2_5-C6_LOBAS2_19-C9_LOBAS2_18	8.41279	+	chr1	11467551	11467869	C1	69.30705	59.83927	1	1	0.20626	LOBAS2
chr1	11467778	11467785	C2_LOBAS2_23	Mp1g11220	3233	0.62664826847401	_C2_LOBAS2_23	3.79767	+	chr1	11467551	11467869	C1	69.30705	59.83927	1	1	0.20626	LOBAS2
chr1	11467778	11467785	C4_WRKY_15	Mp1g11220	3233	0.62664826847401	_C4_WRKY_15	3.79767	-	chr1	11467551	11467869	C1	69.30705	59.83927	1	1	0.20626	WRKY
chr1	11467782	11467789	C4_MADS_4	Mp1g11220	3229	0.6262376851469	_C4_MADS_4	3.67017	+	chr1	11467551	11467869	C1	69.03131	56.18568	1	1	0.28886	MADS
chr1	11467794	11467801	C4_MADS_1	Mp1g11220	3217	0.625003601014864	_C4_MADS_1	3.67017	-	chr1	11467551	11467869	C1	55.00014	43.22916	1	1	0.33528	MADS
chr1	11467797	11467804	C2_MYB_38-C6_MYB_40	Mp1g11220	3214	0.624694531272081	_C2_MYB_38-C6_MYB_40	9.72992	-	chr1	11467551	11467869	C1	55.00014	43.77958	1	1	0.31774	MYB
chr1	11467798	11467804	C11_AP2EREBP_16-C13_AP2EREBP_44-C2_AP2EREBP_179-C3_AP2EREBP_157-C4_AP2EREBP_128-C6_AP2EREBP_211-C7_AP2EREBP_14-C9_AP2EREBP_98	Mp1g11220	3214	0.624694531272081	_C11_AP2EREBP_16-C13_AP2EREBP_44-C2_AP2EREBP_179-C3_AP2EREBP_157-C4_AP2EREBP_128-C6_AP2EREBP_211-C7_AP2EREBP_14-C9_AP2EREBP_98	8.41279	+	chr1	11467551	11467869	C1	55.00014	44.20811	1	1	0.30423	AP2EREBP
chr1	11467798	11467805	C2_C2H2_36	Mp1g11220	3213	0.624591459126848	_C2_C2H2_36	3.67017	-	chr1	11467551	11467869	C1	55.00014	44.20811	1	1	0.30423	C2H2
chr1	11467798	11467805	C2_NAC_61-C6_NAC_77	Mp1g11220	3213	0.624591459126848	_C2_NAC_61-C6_NAC_77	9.72992	-	chr1	11467551	11467869	C1	55.00014	44.20811	1	1	0.30423	NAC
chr1	11467799	11467805	C10_C2H2_28-C11_C2H2_6-C2_C2H2_33-C5_C2H2_10-C6_C2H2_40	Mp1g11220	3213	0.624591459126848	_C10_C2H2_28-C11_C2H2_6-C2_C2H2_33-C5_C2H2_10-C6_C2H2_40	8.28529	-	chr1	11467551	11467869	C1	55.00014	44.20811	1	1	0.30423	C2H2
chr1	11467823	11467830	C6_bZIP_48	Mp1g11220	3188	0.622006673006805	_C6_bZIP_48	9.85742	-	chr1	11467551	11467869	C1	48.30675	44.20811	1	1	0.12321	bZIP
chr1	11467824	11467830	C2_FAR1_16-C3_FAR1_12-C4_FAR1_14-C6_FAR1_18-C9_FAR1_8	Mp1g11220	3188	0.622006673006805	_C2_FAR1_16-C3_FAR1_12-C4_FAR1_14-C6_FAR1_18-C9_FAR1_8	8.54029	-	chr1	11467551	11467869	C1	48.30675	44.20811	1	1	0.12321	FAR1
chr1	11467825	11467831	C1_FAR1_4-C10_FAR1_13-C2_FAR1_18-C3_FAR1_14-C4_FAR1_16-C6_FAR1_20	Mp1g11220	3187	0.62190296089123	_C1_FAR1_4-C10_FAR1_13-C2_FAR1_18-C3_FAR1_14-C4_FAR1_16-C6_FAR1_20	8.41279	+	chr1	11467551	11467869	C1	48.30675	44.20811	1	1	0.12321	FAR1
chr1	11467825	11467832	C4_C2C2YABBY_5	Mp1g11220	3186	0.621799224002668	_C4_C2C2YABBY_5	3.67017	+	chr1	11467551	11467869	C1	48.30675	44.20811	1	1	0.12321	C2C2YABBY
chr1	11467844	11467850	C2_AP2EREBP_134-C4_AP2EREBP_103-C5_AP2EREBP_42-C6_AP2EREBP_164-C9_AP2EREBP_74	Mp1g11220	3168	0.619927710291468	_C2_AP2EREBP_134-C4_AP2EREBP_103-C5_AP2EREBP_42-C6_AP2EREBP_164-C9_AP2EREBP_74	8.28529	-	chr1	11467551	11467869	C1	48.30675	44.20811	1	1	0.12321	AP2EREBP
chr1	11467844	11467851	C4_AP2EREBP_144	Mp1g11220	3167	0.619823500457278	_C4_AP2EREBP_144	3.67017	-	chr1	11467551	11467869	C1	48.30675	44.20811	1	1	0.12321	AP2EREBP
chr1	11467844	11467851	C4_C2C2YABBY_5	Mp1g11220	3167	0.619823500457278	_C4_C2C2YABBY_5	9.60242	-	chr1	11467551	11467869	C1	48.30675	44.20811	1	1	0.12321	C2C2YABBY
chr1	11467845	11467851	C10_C2C2YABBY_11-C2_C2C2YABBY_14-C4_C2C2YABBY_8-C5_C2C2YABBY_3-C6_C2C2YABBY_8-C9_C2C2YABBY_9	Mp1g11220	3167	0.619823500457278	_C10_C2C2YABBY_11-C2_C2C2YABBY_14-C4_C2C2YABBY_8-C5_C2C2YABBY_3-C6_C2C2YABBY_8-C9_C2C2YABBY_9	8.28529	-	chr1	11467551	11467869	C1	48.30675	44.20811	1	1	0.12321	C2C2YABBY
chr1	11467845	11467852	C2_NAC_59	Mp1g11220	3166	0.619719265611727	_C2_NAC_59	3.67017	-	chr1	11467551	11467869	C1	48.30675	44.20811	1	1	0.12321	NAC
chr1	11467846	11467852	C10_C2C2YABBY_10-C13_C2C2YABBY_3-C2_C2C2YABBY_13-C4_C2C2YABBY_7-C5_C2C2YABBY_2-C6_C2C2YABBY_7-C9_C2C2YABBY_8	Mp1g11220	3166	0.619719265611727	_C10_C2C2YABBY_10-C13_C2C2YABBY_3-C2_C2C2YABBY_13-C4_C2C2YABBY_7-C5_C2C2YABBY_2-C6_C2C2YABBY_7-C9_C2C2YABBY_8	8.28529	+	chr1	11467551	11467869	C1	48.30675	44.20811	1	1	0.12321	C2C2YABBY
chr1	11467846	11467853	C4_Trihelix_50	Mp1g11220	3165	0.619615005742806	_C4_Trihelix_50	3.79767	+	chr1	11467551	11467869	C1	48.30675	44.20811	1	1	0.12321	Trihelix
chr1	11467848	11467855	C2_SBP_10	Mp1g11220	3163	0.619406410886777	_C2_SBP_10	3.67017	+	chr1	11467551	11467869	C1	44.54015	41.80369	1	1	0.08789	SBP
chr1	11467849	11467855	C2_SBP_1-C4_SBP_1	Mp1g11220	3163	0.619406410886777	_C2_SBP_1-C4_SBP_1	8.41279	-	chr1	11467551	11467869	C1	41.21188	38.06928	1	1	0.10956	SBP
chr1	12938140	12938146	C6_C2H2_19	Mp1g12810	-2422	-0.534280005205081	_C6_C2H2_19	8.28529	-	chr1	12938129	12938212	C1	24.06363	24.01671	1	1	0.00262	C2H2
chr1	12938168	12938174	C6_AP2EREBP_120	Mp1g12810	-2450	-0.537819095073274	_C6_AP2EREBP_120	8.28529	+	chr1	12938129	12938212	C1	30.51487	33.30727	1	1	-0.1197	AP2EREBP
chr1	12938168	12938175	C6_C2C2gata_20	Mp1g12810	-2450	-0.537819095073274	_C6_C2C2gata_20	3.67017	-	chr1	12938129	12938212	C1	30.51487	33.30727	1	1	-0.1197	C2C2gata
chr1	12938168	12938175	C6_FHA_6	Mp1g12810	-2450	-0.537819095073274	_C6_FHA_6	3.67017	+	chr1	12938129	12938212	C1	30.51487	33.30727	1	1	-0.1197	FHA
chr1	12938169	12938176	C2_C2C2gata_5-C4_C2C2gata_6-C9_C2C2gata_3	Mp1g12810	-2451	-0.537944959291487	_C2_C2C2gata_5-C4_C2C2gata_6-C9_C2C2gata_3	3.79767	+	chr1	12938129	12938212	C1	30.51487	33.30727	1	1	-0.1197	C2C2gata
chr1	12938197	12938205	C10_NLP_6-C3_NLP_6	Mp1g12810	-2479	-0.541454428747589	_C10_NLP_6-C3_NLP_6	5.2423	+	chr1	12938129	12938212	C1	26.04792	27.41838	1	1	-0.0694	NLP
chr1	13168459	13168466	C2_C2C2COlike_11	Mp1g13040	11397	1.09331660120433	_C2_C2C2COlike_11	9.72992	-	chr1	13168339	13168569	C1	19.70237	16.20357	1	0	0.2567	C2C2COlike
chr1	13168463	13168469	C10_LOBAS2_3-C13_LOBAS2_2-C2_LOBAS2_5-C4_LOBAS2_1-C6_LOBAS2_2	Mp1g13040	11394	1.09321149181366	_C10_LOBAS2_3-C13_LOBAS2_2-C2_LOBAS2_5-C4_LOBAS2_1-C6_LOBAS2_2	8.41279	-	chr1	13168339	13168569	C1	19.70237	16.20357	1	0	0.2567	LOBAS2
chr1	13666420	13666427	C3_Trihelix_13	Mp1g13660	-5295	-0.798995734443881	_C3_Trihelix_13	3.92517	+	chr1	13666420	13666635	C1	54.1705	56.42409	1	1	-0.05699	Trihelix
chr1	13666432	13666438	C10_ABI3VP1_10-C11_ABI3VP1_1-C13_ABI3VP1_3-C2_ABI3VP1_13-C3_ABI3VP1_4-C4_ABI3VP1_9-C5_ABI3VP1_4-C6_ABI3VP1_15-C7_ABI3VP1_4-C9_ABI3VP1_7	Mp1g13660	-5307	-0.79982283099332	_C10_ABI3VP1_10-C11_ABI3VP1_1-C13_ABI3VP1_3-C2_ABI3VP1_13-C3_ABI3VP1_4-C4_ABI3VP1_9-C5_ABI3VP1_4-C6_ABI3VP1_15-C7_ABI3VP1_4-C9_ABI3VP1_7	8.41279	-	chr1	13666420	13666635	C1	41.61455	43.0817	1	1	-0.04799	ABI3VP1
chr1	13666433	13666439	C2_Trihelix_56-C6_Trihelix_61	Mp1g13660	-5308	-0.799891684656865	_C2_Trihelix_56-C6_Trihelix_61	8.41279	+	chr1	13666420	13666635	C1	47.80146	48.68637	1	1	-0.02553	Trihelix
chr1	13666465	13666472	C6_RWPRK_4	Mp1g13660	-5340	-0.802089257881733	_C6_RWPRK_4	3.79767	+	chr1	13666420	13666635	C1	81.56996	87.83332	1	1	-0.10455	RWPRK
chr1	13666466	13666473	C4_WRKY_15	Mp1g13660	-5341	-0.802157753186962	_C4_WRKY_15	3.79767	+	chr1	13666420	13666635	C1	81.56996	87.83332	1	1	-0.10455	WRKY
chr1	13666467	13666474	C6_BZR_20	Mp1g13660	-5342	-0.80222623769107	_C6_BZR_20	3.79767	-	chr1	13666420	13666635	C1	81.56996	87.83332	1	1	-0.10455	BZR
chr1	13666467	13666474	C6_C2C2COlike_6-C9_C2C2COlike_3	Mp1g13660	-5342	-0.80222623769107	_C6_C2C2COlike_6-C9_C2C2COlike_3	3.79767	-	chr1	13666420	13666635	C1	81.56996	87.83332	1	1	-0.10455	C2C2COlike
chr1	13666476	13666482	C9_BZR_3	Mp1g13660	-5351	-0.802842112739074	_C9_BZR_3	8.28529	-	chr1	13666420	13666635	C1	81.56996	87.83332	1	1	-0.10455	BZR
chr1	13666477	13666484	C4_BZR_13	Mp1g13660	-5352	-0.80291048941904	_C4_BZR_13	3.79767	+	chr1	13666420	13666635	C1	81.56996	87.83332	1	1	-0.10455	BZR
chr1	13666479	13666486	C5_AP2EREBP_20	Mp1g13660	-5354	-0.803047210491129	_C5_AP2EREBP_20	3.92517	+	chr1	13666420	13666635	C1	81.56996	87.83332	1	1	-0.10455	AP2EREBP
chr1	13666480	13666486	C10_AP2EREBP_31-C13_AP2EREBP_12-C2_AP2EREBP_30-C3_AP2EREBP_31-C4_AP2EREBP_27-C6_AP2EREBP_34-C9_AP2EREBP_17	Mp1g13660	-5355	-0.803115554890027	_C10_AP2EREBP_31-C13_AP2EREBP_12-C2_AP2EREBP_30-C3_AP2EREBP_31-C4_AP2EREBP_27-C6_AP2EREBP_34-C9_AP2EREBP_17	8.54029	-	chr1	13666420	13666635	C1	81.56996	87.83332	1	1	-0.10455	AP2EREBP
chr1	13666480	13666487	C10_AP2EREBP_10-C3_AP2EREBP_12-C6_AP2EREBP_12	Mp1g13660	-5355	-0.803115554890027	_C10_AP2EREBP_10-C3_AP2EREBP_12-C6_AP2EREBP_12	9.98492	-	chr1	13666420	13666635	C1	81.56996	87.83332	1	1	-0.10455	AP2EREBP
chr1	13666480	13666487	C10_AP2EREBP_25-C2_AP2EREBP_27-C3_AP2EREBP_28-C4_AP2EREBP_23-C5_AP2EREBP_6	Mp1g13660	-5355	-0.803115554890027	_C10_AP2EREBP_25-C2_AP2EREBP_27-C3_AP2EREBP_28-C4_AP2EREBP_23-C5_AP2EREBP_6	4.05267	-	chr1	13666420	13666635	C1	81.56996	87.83332	1	1	-0.10455	AP2EREBP
chr1	13666481	13666487	C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	Mp1g13660	-5356	-0.803183888535342	_C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	8.54029	-	chr1	13666420	13666635	C1	81.56996	87.83332	1	1	-0.10455	E2FDP
chr1	13666482	13666489	C10_AP2EREBP_24-C2_AP2EREBP_26-C6_AP2EREBP_29	Mp1g13660	-5357	-0.803252211430457	_C10_AP2EREBP_24-C2_AP2EREBP_26-C6_AP2EREBP_29	9.98492	-	chr1	13666420	13666635	C1	81.56996	87.83332	1	1	-0.10455	AP2EREBP
chr1	13666482	13666489	C10_AP2EREBP_38-C6_AP2EREBP_41	Mp1g13660	-5357	-0.803252211430457	_C10_AP2EREBP_38-C6_AP2EREBP_41	3.92517	-	chr1	13666420	13666635	C1	81.56996	87.83332	1	1	-0.10455	AP2EREBP
chr1	13666482	13666489	C2_AP2EREBP_6	Mp1g13660	-5357	-0.803252211430457	_C2_AP2EREBP_6	4.05267	-	chr1	13666420	13666635	C1	81.56996	87.83332	1	1	-0.10455	AP2EREBP
chr1	13666502	13666509	C4_BBRBPC_5	Mp1g13660	-5377	-0.804616416987255	_C4_BBRBPC_5	3.67017	-	chr1	13666420	13666635	C1	71.45555	69.93128	1	1	0.03035	BBRBPC
chr1	13666505	13666511	C1_TCP_28-C10_TCP_72-C2_TCP_66-C3_TCP_63-C4_TCP_74-C6_TCP_89-C7_TCP_9-C9_TCP_38	Mp1g13660	-5380	-0.804820678721162	_C1_TCP_28-C10_TCP_72-C2_TCP_66-C3_TCP_63-C4_TCP_74-C6_TCP_89-C7_TCP_9-C9_TCP_38	8.54029	+	chr1	13666420	13666635	C1	93.22342	100.09162	1	1	-0.10072	TCP
chr1	13666508	13666515	C4_C2C2YABBY_6	Mp1g13660	-5383	-0.805024844429805	_C4_C2C2YABBY_6	3.67017	+	chr1	13666420	13666635	C1	96.72452	111.80179	1	1	-0.2055	C2C2YABBY
chr1	13666510	13666517	C4_MADS_4	Mp1g13660	-5385	-0.805160901599434	_C4_MADS_4	3.67017	+	chr1	13666420	13666635	C1	96.72452	111.80179	1	1	-0.2055	MADS
chr1	13666532	13666538	C2_AP2EREBP_148-C6_AP2EREBP_177	Mp1g13660	-5407	-0.80665472399186	_C2_AP2EREBP_148-C6_AP2EREBP_177	8.41279	-	chr1	13666420	13666635	C1	96.72452	111.80179	1	1	-0.2055	AP2EREBP
chr1	13666533	13666540	C3_TCP_77	Mp1g13660	-5408	-0.806722503076181	_C3_TCP_77	3.92517	+	chr1	13666420	13666635	C1	96.72452	111.80179	1	1	-0.2055	TCP
chr1	13666537	13666544	C2_NAC_57-C3_NAC_29	Mp1g13660	-5412	-0.806993513682107	_C2_NAC_57-C3_NAC_29	3.92517	-	chr1	13666420	13666635	C1	96.72452	111.80179	1	1	-0.2055	NAC
chr1	13666585	13666592	C5_NAC_5	Mp1g13660	-5460	-0.810232517995084	_C5_NAC_5	3.67017	+	chr1	13666420	13666635	C1	118.22233	118.06555	1	1	0.00189	NAC
