a,b,d,T,a_OCR,AverageShortestPathLength,b_OCR,BetweennessCentrality,ClosenessCentrality,cluster,ClusteringCoefficient,D_HS a,D_HS b,D_HS d,D_HS T,d_OCR,Degree,description,dko_HS,dko_HS_oc,Eccentricity,family,hsfa_HS,hsfa_HS_oc,hsfb_HS,hsfb_HS_oc,IsSingleNode,Matching.Attribute,Matching.Attribute.1,Matching.Attribute.2,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,OCR_to_TSS,PartnerOfMultiEdgedNodePairs,Peak,Radiality,selected,SelfLoops,shared name,Stress,T_OCR,Tak1_HS,Tak1_HS_oc,TF,TopologicalCoefficient,U_HS a,U_HS b,U_HS d,U_HS T
U,,,,up,3.5501336898395723,,0.00688494,0.28167953304462434,C5,0,,,,,,2,,-0.075054349,0.420360081,7,,0.324623642,1.678225208,0.72883015,-0.291574084,FALSE,Mp7g12850,Mp7g12850,Mp7g12850,Mp7g12850,48.5,0,2,Promoter,0,chr7.14188600.14189770,0.976387651,FALSE,0,Mp7g12850,101030,,-1.248722709,0.715277271,,0.5053191489361702,,,,
U,,U,U,down,3.4692513368983957,,0,0.2882466281310212,C5,1,,,,,,2,,0.757468854,-0.437254447,7,,1.836678351,-2.115979504,-0.330537566,0.112494345,FALSE,Mp6g06000,Mp6g06000,Mp6g06000,Mp6g06000,70.5,0,2,Promoter,0,chr6.6519551.6519910,0.9771365616953852,FALSE,0,Mp6g06000,0,,1.31910279,0.618866165,,0.5108695652173914,,,,
,D,D,D,up,3.415775401069519,,0.00126876,0.2927592954990215,C6,0,,,,,,3,,-0.516372429,1.186695731,7,,0.003655402,1.261964359,-0.730352624,0.252479984,FALSE,Mp6g05980,Mp6g05980,Mp6g05980,Mp6g05980,51,0,3,Promoter,0,chr6.6491152.6492137,0.9776317092493563,FALSE,0,Mp6g05980,40508,,-1.440266363,0.181469053,,0.3597122302158273,,,,
U,,U,,,3.5848930481283423,,0,0.27894834980421407,C5,1,,,,,down,2,,0.848290285,-1.475648098,7,,1.734113999,-0.665681606,-0.676287873,-0.969704388,FALSE,Mp6g04780,Mp6g04780,Mp6g04780,Mp6g04780,41.5,0,2,Promoter,0,chr6.5283300.5283816,0.9760658051099228,FALSE,0,Mp6g04780,0,,1.310145872,-0.510129178,,0.5123456790123457,,,,
,U,U,U,,3.4217914438502675,,0.001265488,0.2922445790193397,C2,0.3333333333333333,,,,,,3,,-0.510919827,-0.65564588,7,,-0.545707177,0.305617732,1.255846502,1.240800495,FALSE,Mp6g19800,Mp6g19800,Mp6g19800,Mp6g19800,56,0,3,Promoter,0,chr6.22070808.22071266,0.9775760051495346,FALSE,0,Mp6g19800,24842,up,1.651458015,1.135467663,,0.3436213991769547,,,,
,U,U,U,,3.4926470588235294,up,5.111117307343094E-4,0.2863157894736842,C2,0,,,,,,2,,-0.599048528,-1.109012968,7,,-0.699756857,-0.149864725,1.378808816,2.295490668,FALSE,Mp6g19790,Mp6g19790,Mp6g19790,Mp6g19790,58.5,0,2,Promoter,0,chr6.22067210.22067315,0.9769199346405228,FALSE,0,Mp6g19790,18324,up,1.580576605,1.300792416,,0.5227272727272727,,,,
,U,,U,,3.4418449197860963,up,0.002440008,0.29054185278694894,C3,0.3333333333333333,,,,,,3,,-0.435181279,-0.683121248,7,,-0.232111164,-0.825409468,1.314035442,1.898856165,FALSE,Mp6g16880,Mp6g16880,Mp6g16880,Mp6g16880,61.666666666666664,0,3,3' UTR,0,chr6.18425141.18425468,0.9773903248167954,FALSE,0,Mp6g16880,56364,up,1.286309321,1.825204634,,0.35452793834296725,,,,
,U,,,up,3.5655080213903743,up,0.001361912,0.28046494188226473,C3,0,,,,,,2,,-0.447756255,-0.487247269,7,,-0.197490923,0.665342142,1.778859932,1.273495732,FALSE,Mp6g13680,Mp6g13680,Mp6g13680,Mp6g13680,47.5,0,2,Promoter,0,chr6.15035794.15036299,0.9762452960982373,FALSE,0,Mp6g13680,30320,up,0.949321972,1.003915173,,0.5166666666666667,,,,
U,U,U,,up,3.3308823529411766,,0.001785885,0.30022075055187636,C4,0.3333333333333333,,,,,,3,,0.273742896,1.074731609,7,,1.141771714,1.188538123,1.050402102,0.414910171,FALSE,Mp6g13190,Mp6g13190,Mp6g13190,Mp6g13190,68.33333333333333,0,3,Promoter,0,chr6.14456727.14457548,0.9784177559912854,FALSE,0,Mp6g13190,63672,,0.974916999,0.784169447,,0.37988826815642457,,,,
,,U,,,3.4338235294117645,up,0.001479541,0.29122055674518205,C4,0.5,,,,,,4,,1.218781642,-0.202125378,7,,0.275797002,0.243652701,-0.260646097,1.719388449,FALSE,Mp6g10340,Mp6g10340,Mp6g10340,Mp6g10340,45.75,0,4,3' UTR,0,chr6.11525952.11526589,0.9774645969498911,FALSE,0,Mp6g10340,44046,up,1.188288861,1.593432984,,0.29516129032258065,,,,
U,U,U,U,up,3.253342245989305,,0.003020631,0.30737620710910213,C3,0.16666666666666666,,,,,,4,,0.201628287,0.788598162,7,,0.274973438,0.992005441,1.226343346,0.519197822,FALSE,Mp6g09230,Mp6g09230,Mp6g09230,Mp6g09230,72.75,0,4,Promoter,0,chr6.10392621.10394674,0.9791357199445435,FALSE,0,Mp6g09230,100502,,1.300856217,0.997183791,,0.2778846153846154,,,,
U,,,,,3.3990641711229945,,0,0.29419862340216324,C5,1,,,,,down,2,,0.073690908,-1.982663428,6,,2.489387651,-0.86774177,-0.76482488,1.112768983,FALSE,Mp5g08490,Mp5g08490,Mp5g08490,Mp5g08490,74.5,0,2,"Exon (Mp5g08490.1/Mp5g08490, exon 2 of 4)",0,chr5.9160060.9160623,0.9777864428599722,FALSE,0,Mp5g08490,0,,0.672749741,1.000817885,,0.5102739726027398,,,,
,U,U,,up,3.539438502673797,,0.005937551,0.28253068932955616,C4,0,,,,,,2,,1.705614504,0.93980435,7,,0.006146363,1.291088569,0.918681272,0.189211416,FALSE,Mp5g08140,Mp5g08140,Mp5g08140,Mp5g08140,51.5,0,2,Promoter,0,chr5.8840595.8841152,0.9764866805307981,FALSE,0,Mp5g08140,41320,,0.405574116,0.165071494,,0.5,,,,
,U,,U,,3.4612299465240643,up,0.001333826,0.28891463885670143,C2,0,,,,,,2,,-0.929442216,-0.183318895,7,,-0.82928542,-0.497992341,1.172306149,1.533351395,FALSE,Mp5g20470,Mp5g20470,Mp5g20470,Mp5g20470,60.5,0,2,3' UTR,0,chr5.21940684.21942816,0.9772108338284808,FALSE,0,Mp5g20470,30388,up,1.597354215,1.495649108,,0.5085470085470085,,,,
D,D,,D,,3.068850267379679,down,0.076229819,0.32585493356567197,C1,0.015432098765432098,,,,,,81,"transcription factor, bHLH",0.120272876,0.395478787,6,bHLH,-0.169254971,0.228648915,-0.947554655,-1.27582095,FALSE,Mp5g18820,Mp5g18820,Mp5g18820,Mp5g18820,6.604938271604938,0,81,Promoter,0,chr5.19854057.19855589,0.9808439790057437,FALSE,0,Mp5g18820,1394022,,-1.608892992,-0.130237311,MpBHLH39,0.020453897241576008,,,,
,U,,U,,3.5287433155080214,up,0.00216872,0.283387005,C3,0,,,,,,2,,-0.727043125,-0.603122066,7,,-0.700728873,-0.646393907,1.662648726,1.941418321,FALSE,Mp5g18010,Mp5g18010,Mp5g18010,Mp5g18010,56,0,2,3' UTR,0,chr5.19054377.19055464,0.9765857100415923,FALSE,0,Mp5g18010,46054,up,1.201331182,1.24320564,,0.5092592592592593,,,,
,U,,U,,3.570855614973262,up,0,0.28004492699363537,C2,1,,,,,,2,,-0.581968,-0.641325639,7,,-0.464970084,0.418826077,1.264642327,1.248945858,FALSE,Mp5g17990,Mp5g17990,Mp5g17990,Mp5g17990,51,0,2,Promoter,0,chr5.19043396.19044628,0.9761957813428401,FALSE,0,Mp5g17990,0,up,1.55822982,1.546057255,,0.5151515151515151,,,,
,U,,U,,3.514705882352941,up,0.003071815,0.28451882845188287,C2,0,,,,,,2,,-0.680802063,-0.481099213,7,,-0.428220212,-0.621278864,1.185082299,2.08493298,FALSE,Mp5g15940,Mp5g15940,Mp5g15940,Mp5g15940,60.5,0,2,Promoter,0,chr5.17003851.17004218,0.9767156862745098,FALSE,0,Mp5g15940,39278,up,1.644767095,1.676352435,,0.5042372881355932,,,,
U,U,U,U,,3.534090909090909,,0.004095874,0.2829581993569132,C7,0.3333333333333333,,,,,down,3,,1.38118451,-1.600789791,7,,-0.515156709,-0.633832758,1.365318921,-0.7908827,FALSE,Mp5g09760,Mp5g09760,Mp5g09760,Mp5g09760,41,0,3,Promoter,0,chr5.10872818.10872940,0.9765361952861953,FALSE,0,Mp5g09760,118202,,0.252209413,0.273076903,,0.3536231884057971,,,,
,U,,U,,3.248663101604278,up,0.008639279,0.3078189300411523,C2,0.26666666666666666,,,,,,6,,-0.033438192,-1.196586968,6,,-0.35987115,-0.257043452,0.865296154,1.556704118,FALSE,Mp4g19310,Mp4g19310,Mp4g19310,Mp4g19310,55.166666666666664,0,6,Promoter,0,chr4.21745353.21745675,0.9791790453555159,FALSE,0,Mp4g19310,219670,up,1.854426284,1.459882387,,0.19702380952380952,,,,
D,D,D,D,,3.317513368983957,up,0.006602159,0.3014305863389079,C6,0,,,,,,3,,-0.943944107,-0.274623851,6,,-0.722854421,0.213933691,-0.609438045,1.25081204,FALSE,Mp4g15980,Mp4g15980,Mp4g15980,Mp4g15980,61,0,3,Promoter,0,chr4.18195502.18196072,0.9785415428797782,FALSE,0,Mp4g15980,86658,,-1.260217699,0.954653412,,0.33707865168539325,,,,
,U,,,,3.3709893048128343,up,0.003194076,0.29664882014673805,C2,0,,,,,up,3,,-1.297452885,0.26451804,7,,-1.289793515,0.403667509,1.100587794,1.158681636,FALSE,Mp4g12300,Mp4g12300,Mp4g12300,Mp4g12300,50,0,3,3' UTR,0,chr4.13672542.13673495,0.9780463953258071,FALSE,0,Mp4g12300,75278,,1.689960629,1.156695947,,0.35,,,,
,U,,U,up,3.536764705882353,up,0,0.28274428274428276,C2,1,,,,,up,2,,-1.227523274,0.397130122,7,,-0.900680767,0.662354505,1.318762507,1.425854757,FALSE,Mp4g01210,Mp4g01210,Mp4g01210,Mp4g01210,51,0,2,"Exon (Mp4g01210.1/Mp4g01210, exon 10 of 10)",0,chr4.1332117.1332633,0.9765114379084968,FALSE,0,Mp4g01210,0,up,1.50570182,1.199778785,,0.51,,,,
U,U,U,U,,3.3542780748663104,up,0.001108994,0.2981267437225986,C2,0,,,,,,2,,-0.502668276,-0.316742088,7,,-0.435034467,0.08865051,1.300243583,1.620835573,FALSE,Mp3g09050,Mp3g09050,Mp3g09050,Mp3g09050,83.5,0,2,Promoter,0,chr3.8932987.8933833,0.978201129,FALSE,0,Mp3g09050,41906,up,1.607465544,1.71262022,,0.515625,,,,
U,U,,U,up,3.358288770053476,up,0.004971432,0.29777070063694266,C3,0.3333333333333333,,,,,up,3,,-0.462348713,0.348928967,6,,1.095475378,0.285010713,0.986677202,1.371924092,FALSE,Mp3g20920,Mp3g20920,Mp3g20920,Mp3g20920,72.33333333333333,0,3,3' UTR,0,chr3.21553540.21554067,0.9781639928698752,FALSE,0,Mp3g20920,90232,up,1.058948865,1.173908958,,0.3564356435643564,,,,
U,,,,up,3.5681818181818183,up,0.003437757,0.2802547770700637,C5,0.1,,,,,up,5,"transcription factor, Trihelix",1.007707688,0.818803301,7,Trihelix,1.810170396,1.196765142,0.131752181,1.373714543,FALSE,Mp3g20870,Mp3g20870,Mp3g20870,Mp3g20870,16.8,0,5,"Exon (Mp3g20870.1/Mp3g20870, exon 4 of 4)",0,chr3.21500558.21501132,0.9762205387205388,FALSE,0,Mp3g20870,26616,up,0.572883077,0.388198626,MpTRIHELIX34,0.20506329113924052,,,,
D,D,U,,up,3.5635026737967914,up,0,0.28062277246295253,C7,1,,,,,up,2,,0.506211699,1.294028442,7,,-0.562368525,1.105145117,-1.273041064,0.935156569,FALSE,Mp3g19610,Mp3g19610,Mp3g19610,Mp3g19610,51,0,2,3' UTR,0,chr3.20125753.20126063,0.9762638641315112,FALSE,0,Mp3g19610,0,up,0.433540003,0.531813383,,0.5204081632653061,,,,
,U,,U,down,3.5661764705882355,,7.221834542564405E-4,0.2804123711340206,C2,0,,,,,,2,,-0.272040418,-1.318899662,7,,-0.861320951,-2.003068672,1.241101027,1.178157428,FALSE,Mp3g16260,Mp3g16260,Mp3g16260,Mp3g16260,43.5,0,2,Promoter,0,chr3.15952061.15952230,0.9762391067538126,FALSE,0,Mp3g16260,14910,,1.64151771,1.203650008,,0.5120481927710844,,,,
,U,,U,,3.435828877005348,up,0.001844938,0.2910505836575875,C2,0.3333333333333333,,,,,down,3,,-0.975718951,-1.822203356,7,,-0.852815031,-0.953340792,1.365283768,1.462186707,FALSE,Mp2g02870,Mp2g02870,Mp2g02870,Mp2g02870,53.333333333333336,0,3,Promoter,0,chr2.3263491.3263907,0.9774460289166171,FALSE,0,Mp2g02870,48712,,1.503350155,1.286786519,,0.3706293706293706,,,,
,U,U,U,,3.3856951871657754,up,0.001377707,0.29536031589338596,C2,0,,,,,,3,,-0.550441145,-0.122481199,7,,-0.67345006,-0.15995788,1.20134818,1.469457293,FALSE,Mp2g02650,Mp2g02650,Mp2g02650,Mp2g02650,53.666666666666664,0,3,Promoter,0,chr2.3009433.3011935,0.97791023,FALSE,0,Mp2g02650,38024,up,1.665974865,1.507388468,,0.3607305936073059,,,,
,U,,U,down,3.2987967914438503,,0.003828847,0.30314083080040527,C2,0.16666666666666666,,,,,,4,,-0.33217604,-1.980208767,7,,-0.517525706,-1.416465851,1.132924721,1.226823119,FALSE,Mp2g25930,Mp2g25930,Mp2g25930,Mp2g25930,60.25,0,4,Promoter,0,chr2.28372710.28372941,0.9787148445236681,FALSE,0,Mp2g25930,108646,,1.672212775,0.050955779,,0.28588516746411485,,,,
D,,U,,,3.403074866,,0.007748102,0.2938518955018661,C4,0.16666666666666666,,,,,up,4,,1.833875482,0.818430431,7,,-0.939957542,0.833154882,-0.048582898,0.653664901,FALSE,Mp2g25120,Mp2g25120,Mp2g25120,Mp2g25120,50.25,0,4,3' UTR,0,chr2.27582819.27584255,0.9777493067934244,FALSE,0,Mp2g25120,154872,,0.703719839,0.97912512,,0.2909356725146199,,,,
,U,D,U,,3.2600267379679146,up,0.013704067124898429,0.30674595037933156,C2,0.066666667,,,,,,6,,-1.208661038,-0.881332949,7,,-0.622899048,0.098980546,1.080013113,1.331216934,FALSE,Mp2g23755,Mp2g23755,Mp2g23755,Mp2g23755,47.666666666666664,0,6,Promoter,0,chr2.25974583.25975150,0.9790738265002971,FALSE,0,Mp2g23755,238026,up,1.607002589,1.702455411,,0.18076923076923077,,,,
D,U,,U,,3.514705882352941,up,0,0.28451882845188287,C2,1,,,,,,2,,-0.766617692,-1.145512615,7,,-0.697553421,-0.836690875,1.330080832,1.956619025,FALSE,Mp2g16540,Mp2g16540,Mp2g16540,Mp2g16540,54.5,0,2,Promoter,0,chr2.17525937.17526405,0.9767156862745098,FALSE,0,Mp2g16540,0,up,1.596130862,1.010605795,,0.5190476190476191,,,,
,,,U,up,3.5655080213903743,up,0.001361912,0.28046494188226473,C2,0,,,,,up,2,,-1.226344212,-0.141813385,7,,-0.075195405,0.069898195,0.807068752,1.71895243,FALSE,Mp2g10260,Mp2g10260,Mp2g10260,Mp2g10260,47.5,0,2,3' UTR,0,chr2.10509696.10509936,0.9762452960982373,FALSE,0,Mp2g10260,30320,up,1.30232057,1.42965999,,0.5166666666666667,,,,
,U,U,U,,3.3542780748663104,up,0.001108994,0.2981267437225986,C2,0,,,,,,2,,-0.463580988,-1.220444188,7,,-0.410423273,-0.58344847,1.552683364,1.482431859,FALSE,Mp2g10220,Mp2g10220,Mp2g10220,Mp2g10220,83.5,0,2,Promoter,0,chr2.10423691.10424027,0.978201129,FALSE,0,Mp2g10220,41906,up,1.372271343,0.704122957,,0.515625,,,,
D,,,,up,3.5501336898395723,up,0.00688494,0.28167953304462434,C2,0,,,,,up,2,,-0.038940548,0.832720854,7,,-1.797988733,0.686800538,0.290099992,1.261973585,FALSE,Mp1g02040,Mp1g02040,Mp1g02040,Mp1g02040,48.5,0,2,3' UTR,0,chr1.2311757.2313616,0.976387651,FALSE,0,Mp1g02040,101030,up,1.07106252,0.839082496,,0.5053191489361702,,,,
D,,,,,3.5066844919786098,,0,0.28516965306900494,C1,1,,,,,down,2,,0.309407654,-1.452847986,6,,-1.421479488,-0.60994268,-1.693452711,-0.418467021,FALSE,Mp1g01450,Mp1g01450,Mp1g01450,Mp1g01450,47,0,2,"Intron (Mp1g01450.1/Mp1g01450, intron 3 of 8)",0,chr1.1700051.1700343,0.9767899584076055,FALSE,0,Mp1g01450,0,,-0.022769499,-0.090708205,,0.5164835164835165,,,,
,U,,U,down,3.5655080213903743,,0.001361912,0.28046494188226473,C2,0,,,,,,2,,-0.559701203,-1.680165593,7,,-0.324184302,-1.2122018,0.879176339,1.123990006,FALSE,Mp1g12860,Mp1g12860,Mp1g12860,Mp1g12860,47.5,0,2,Promoter,0,chr1.13010093.13010243,0.9762452960982373,FALSE,0,Mp1g12860,30320,up,1.652597057,1.109380766,,0.5166666666666667,,,,
,,,,,2.588235294117647,,0.34953833541097795,0.38636363636363635,,0.007992008,,,,,,78,;HSF,-1.286579573,,6,,-0.6085184,,0.44631025,,FALSE,MpVg00470,MpVg00470,MpVg00470,MpVg00470,11.038461538461538,0,78,,0,,0.9852941176470588,FALSE,0,MpVg00470,4342762,,0.909550822,,MpHSF3,0.016431925,,,,
D,D,D,D,down,4.456550802139038,down,0,0.22438878056097192,C1,0,,,,,down,1,,-0.706160385,-1.565412059,8,,-0.248687636,-0.501538475,-1.818723242,-0.613228129,FALSE,Mp8g12920,Mp8g12920,Mp8g12920,Mp8g12920,64,0,1,Promoter,0,chr8.14412490.14412813,0.9679948999801942,FALSE,0,Mp8g12920,0,down,-0.756847739,-0.226069153,,0,,,,
U,U,U,U,,4.0755347593582885,,0,0.2453665737247827,C4,0,,,,,,1,,0.686442393,,7,,0.795688992,,0.550007688,,FALSE,Mp6g09650,Mp6g09650,Mp6g09650,Mp6g09650,89,0,1,,0,,0.9715228263022381,FALSE,0,Mp6g09650,0,,1.335054921,,,0,,,,
,U,U,U,up,5.235962567,up,0,0.19098685050427677,C4,0,,,,,up,1,,1.291111088,0.53257953,8,,-0.473286775,1.807316003,0.814147802,0.375523257,FALSE,Mp8g16390,Mp8g16390,Mp8g16390,Mp8g16390,12,0,1,Promoter,0,chr8.18411212.18411543,0.9607781243810656,FALSE,0,Mp8g16390,0,up,1.650545124,0.588987964,,0,,,,
,U,,U,,3.2987967914438503,,0.049987003,0.30314083080040527,C2,0.027884615384615386,,,,,,68,"transcription factor, WRKY",0.008372839,,7,WRKY,-0.002228423,,0.756064904,,FALSE,Mp1g08890,Mp1g08890,Mp1g08890,Mp1g08890,8.646153846153846,0,68,,3,,0.9787148445236681,FALSE,0,Mp1g08890,1400446,,1.659450785,,MpWRKY5,0.028933873,,,,
,D,D,,,4.393048128342246,,0.003539163,0.2276323797930615,C5,0,,,,,,3,,-0.435446107,,8,,1.315122099,,-1.386677847,,FALSE,Mp7g02340,Mp7g02340,Mp7g02340,Mp7g02340,16.666666666666668,0,3,,0,,0.9685828877005348,FALSE,0,Mp7g02340,62824,,0.186677109,,,0.34057971014492755,,,,
D,,,D,,4.419786096256685,,4.1573983427352823E-4,0.22625529340592862,C7,0,,,,,,3,,-0.236240637,,8,,-1.808207434,,0.473624709,,FALSE,Mp2g01420,Mp2g01420,Mp2g01420,Mp2g01420,32,0,3,,0,,0.9683353139235492,FALSE,0,Mp2g01420,10190,,-1.06320158,,,0.36046511627906974,,,,
,,U,U,,4.205213903743315,,0,0.2378000317914481,C4,0,,,,,,1,,1.546963977,,7,,-0.192025548,,0.162614455,,FALSE,Mp2g22680,Mp2g22680,Mp2g22680,Mp2g22680,69,0,1,,0,,0.9703220934838582,FALSE,0,Mp2g22680,0,,0.336866035,,,0,,,,
U,U,U,U,,4.141042780748663,,0,0.2414850686037127,C3,0,,,,,,1,,-0.07607496,,8,,-0.208505807,,0.675874432,,FALSE,Mp2g06770,Mp2g06770,Mp2g06770,Mp2g06770,69,0,1,,0,,0.9709162705486235,FALSE,0,Mp2g06770,0,,1.364111485,,,0,,,,
D,,,D,down,4.077540106951871,,8.870989625021778E-5,0.2452459016393443,C1,0,,,,,,2,,0.681376886,-0.677160355,7,,-1.292481558,-1.567512182,-0.226047375,-0.140753379,FALSE,Mp7g03680,Mp7g03680,Mp7g03680,Mp7g03680,68,0,2,Promoter,0,chr7.4524175.4524596,0.9715042582689641,FALSE,0,Mp7g03680,7340,,-0.957149777,-0.489958294,,0.536,,,,
D,D,D,D,,4.437165775,,0,0.225369087,C1,1,,,,,,2,,-0.708416709,,8,,-0.685364783,,-1.552736055,,FALSE,Mp8g07850,Mp8g07850,Mp8g07850,Mp8g07850,40,0,2,,0,,0.9681743909685087,FALSE,0,Mp8g07850,0,,-0.43645683,,,0.5882352941176471,,,,
D,D,,,,5.222593582887701,up,0,0.19147574555228467,C1,0,,,,,,1,,0.231781564,0.366309403,8,,-1.136960477,0.4285926,-1.408841996,1.881596992,FALSE,Mp2g13960,Mp2g13960,Mp2g13960,Mp2g13960,20,0,1,Promoter,0,chr2.14777730.14778005,0.9609019112695584,FALSE,0,Mp2g13960,0,,-0.621834391,0.285369795,,0,,,,
,U,D,U,,4.127005347593583,,4.262325312156968E-4,0.24230644638807905,C2,0,,,,,,2,,-1.513482214,,7,,-1.282507327,,1.269038392,,FALSE,Mp8g05020,Mp8g05020,Mp8g05020,Mp8g05020,31,0,2,,0,,0.971046247,FALSE,0,Mp8g05020,8794,,1.037873504,,,0.5,,,,
D,D,D,D,,4.223262032085562,,0.008228017,0.23678379233934788,C6,0,,,,,,20,"transcription factor, IDD-related",-0.658931811,,7,IDD-related,-1.017808472,,-0.925727756,,FALSE,Mp1g15660,Mp1g15660,Mp1g15660,Mp1g15660,2.6,0,20,,0,,0.970154981,FALSE,0,Mp1g15660,384984,,-0.701410044,,MpIDDL2,0.16,,,,
,U,,,,3.8315508021390374,up,0,0.26099092812281927,C2,1,,,,,,2,,0.529035825,-0.113919511,7,,0.634570743,-0.703890863,1.229432737,1.661482048,FALSE,Mp8g13330,Mp8g13330,Mp8g13330,Mp8g13330,79,0,2,Promoter,0,chr8.15034179.15034283,0.9737819370172311,FALSE,0,Mp8g13330,0,up,1.454832021,1.291869816,,0.5486111111111112,,,,
U,U,,,,4.650401069518717,,0,0.2150352163288774,C3,0,,,,,,1,,-0.60095403,,8,,0.69791548,,0.760001227,,FALSE,Mp5g12930,Mp5g12930,Mp5g12930,Mp5g12930,43,0,1,,0,,0.9661999900970488,FALSE,0,Mp5g12930,0,,0.805969778,,,0,,,,
