Matching.Attribute,name,shared name,TF,family,description, T, a, b, d,Tak1_HS,hsfa_HS,hsfb_HS,dko_HS,Peak,cluster,OCR_to_TSS,T_OCR,a_OCR,b_OCR,d_OCR,Tak1_HS_oc,hsfa_HS_oc,hsfb_HS_oc,dko_HS_oc
Mp6g06810,Mp6g06810,Mp6g06810,,,,U,,U,,1.419340349,0.514554388,1.614874516,-0.5971292,chr6.7445976.7446049,C3,Promoter,,down,,,-0.889323026,-1.349182427,0.559216619,-0.501598774
Mp2g13400,Mp2g13400,Mp2g13400,,,,U,,,,1.759192707,-0.950389696,0.638485338,-1.087692314,,C2,,,,,,,,,
Mp4g06660,Mp4g06660,Mp4g06660,,,,,U,,,1.200130166,0.161688023,-0.009339938,0.556248003,chr4.7613780.7614700,C3,3' UTR,,up,,,0.215476318,1.597655331,0.004033742,1.129428968
Mp4g10060,Mp4g10060,Mp4g10060,,,,,,D,D,-0.699338169,0.473028387,-1.952725087,-0.530259071,chr4.11118546.11119309,C6,Promoter,,,down,,-0.497101204,-0.224662727,-1.824975065,0.083134963
Mp6g10450,Mp6g10450,Mp6g10450,,,,U,,U,,1.575971278,0.36050754,1.071601284,0.058687175,,C2,,,,,,,,,
Mp3g23380,Mp3g23380,Mp3g23380,,,,,,U,,-0.354167333,-1.427941709,2.148552767,-0.221170629,,C8,,,,,,,,,
Mp4g15420,Mp4g15420,Mp4g15420,,,,,,U,,1.171368975,-0.401452771,1.209292126,0.822127452,,C3,,,,,,,,,
Mp1g05310,Mp1g05310,Mp1g05310,MpGATA1,GATA,"transcription factor, GATA",,D,,,-0.181222044,-1.307231089,-1.231573411,-0.404448985,,C1,,,,,,,,,
Mp1g04750,Mp1g04750,Mp1g04750,,,,,D,D,,-0.557160933,-1.503992021,-0.056157735,-0.210798305,,C7,,,,,,,,,
Mp6g05670,Mp6g05670,Mp6g05670,,,,U,,,,2.311462824,0.31730726,0.217796689,1.388898418,chr6.6197260.6197331,C4,"Exon (Mp6g05670.1/Mp6g05670, exon 2 of 13)",,,down,,-0.761443509,-0.964334598,-0.343564283,0.191280175
Mp2g13620,Mp2g13620,Mp2g13620,,,,U,U,U,U,0.933749982,0.912081629,0.976627322,0.51975959,,C3,,,,,,,,,
Mp4g11930,Mp4g11930,Mp4g11930,,,,U,U,,U,0.811889378,1.507127568,-0.218922514,0.961201293,,C4,,,,,,,,,
Mp3g03130,Mp3g03130,Mp3g03130,,,,D,D,D,D,-1.094333668,-0.926298075,-0.993616513,-0.770055305,,C1,,,,,,,,,
Mp3g23590,Mp3g23590,Mp3g23590,,,,,D,D,,-0.960965231,-1.330900636,-0.762914862,-0.056793505,,C1,,,,,,,,,
Mp2g02290,Mp2g02290,Mp2g02290,,,,U,,,U,1.161773215,0.91421213,-0.046936228,1.191823205,,C4,,,,,,,,,
Mp8g11210,Mp8g11210,Mp8g11210,,,,,,D,,-0.405482766,-0.025660976,-2.479762419,0.713109768,,C1,,,,,,,,,
Mp6g14200,Mp6g14200,Mp6g14200,,,,,U,U,U,0.548641447,1.884441536,0.321773075,0.912093893,chr6.15494518.15494627,C5,"Exon (Mp6g14210.1/Mp6g14210, exon 10 of 10)",,,,up,-0.664904492,1.213709074,-1.295482644,1.834875309
Mp5g21130,Mp5g21130,Mp5g21130,,,,,,U,U,0.178950044,0.304289939,0.915387502,2.042637599,,C3,,,,,,,,,
Mp3g22750,Mp3g22750,Mp3g22750,,,,D,D,D,,-0.426837842,-0.49835748,-1.564527158,-0.988055146,,C1,,,,,,,,,
Mp5g18980,Mp5g18980,Mp5g18980,,,,U,U,,U,0.886037952,0.696942524,-0.486139538,1.594478817,,C4,,,,,,,,,
Mp2g12900,Mp2g12900,Mp2g12900,,,,,,U,,0.948579981,0.230897443,1.511155129,0.618762642,,C3,,,,,,,,,
Mp7g09875,Mp7g09875,Mp7g09875,,,,D,D,D,D,-1.398676134,-0.123158987,-1.397962148,-0.606382187,,C1,,,,,,,,,
Mp4g21060,Mp4g21060,Mp4g21060,,,,D,D,D,D,-1.061797229,-1.336856624,-0.417409233,-0.798562237,,C6,,,,,,,,,
Mp1g06140,Mp1g06140,Mp1g06140,,,,U,U,U,U,1.611745177,0.125897128,1.142556049,0.203900265,,C2,,,,,,,,,
Mp2g00890,Mp2g00890,Mp2g00890,MpBHLH2,bHLH,"transcription factor, bHLH",D,D,D,D,-1.047245876,-1.273210264,-0.727881152,-0.657436382,chr2.1096124.1097529,C6,3' UTR,up,up,up,up,0.49782043,1.128112276,1.135647753,0.946314468
Mp2g19730,Mp2g19730,Mp2g19730,,,,,U,,,-0.460724531,2.071692927,0.691872738,1.32428959,chr2.21374452.21374519,C5,3' UTR,,down,,,-0.893429935,-1.117831773,0.64989974,0.043987669
Mp4g12110,Mp4g12110,Mp4g12110,,,,U,U,U,,0.292204353,1.713894437,-0.124317152,-0.040233242,,C5,,,,,,,,,
Mp4g11900,Mp4g11900,Mp4g11900,,,,D,,D,,-1.258768978,0.332189368,-1.535660692,-0.467128746,,C1,,,,,,,,,
Mp7g07690,Mp7g07690,Mp7g07690,,,,D,,D,D,-1.514301305,0.305358531,-0.666322127,-1.10338957,,C6,,,,,,,,,
Mp5g16090,Mp5g16090,Mp5g16090,,,,D,D,D,D,-0.638266814,-0.412513155,-2.01177393,-0.730335774,,C1,,,,,,,,,
Mp8g14900,Mp8g14900,Mp8g14900,,,,,,U,,0.513994202,0.466080475,1.752841283,1.142843812,,C3,,,,,,,,,
Mp7g13750,Mp7g13750,Mp7g13750,,,,U,U,U,U,1.015054104,1.27038734,0.403787972,1.369752779,chr7.15323988.15324314,C4,Promoter,,up,,up,0.475264884,1.316402333,0.064077934,1.618709013
Mp5g19150,Mp5g19150,Mp5g19150,,,,,U,,,-0.689962301,2.079916172,-0.274436934,-0.892232084,,C5,,,,,,,,,
Mp7g17580,Mp7g17580,Mp7g17580,,,,,D,,,-0.829018556,-1.526880658,-0.297843669,-0.24052632,chr7.19537575.19537789,C1,3' UTR,,up,,up,0.385041704,1.607793031,-0.368758561,1.036828025
Mp2g17680,Mp2g17680,Mp2g17680,,,,,U,U,,0.419476238,0.290843404,1.457374697,-0.895822803,,C3,,,,,,,,,
Mp8g17560,Mp8g17560,Mp8g17560,,,,U,U,U,,1.224944558,1.207267501,0.634923413,-0.030019582,,C3,,,,,,,,,
Mp8g05050,Mp8g05050,Mp8g05050,,,,,,D,,-0.626048429,-1.688616573,-0.089994069,-0.11818065,,C7,,,,,,,,,
Mp3g25160,Mp3g25160,Mp3g25160,,,,,,D,D,-1.227942895,-0.051185635,-1.459316426,-0.643538474,,C1,,,,,,,,,
Mp5g02730,Mp5g02730,Mp5g02730,,,,,,D,,-0.649062929,-0.202122868,-2.114550404,0.413744892,,C1,,,,,,,,,
Mp1g02020,Mp1g02020,Mp1g02020,,,,U,,U,,1.827392429,-0.482930547,1.123888035,0.009246465,chr1.2300496.2300644,C2,3' UTR,up,,up,,0.50073156,-0.509872243,1.952189124,0.133132107
Mp3g03970,Mp3g03970,Mp3g03970,,,,D,,D,D,-1.700902537,-0.819356105,-0.299327171,0.656624359,,C6,,,,,,,,,
Mp8g12010,Mp8g12010,Mp8g12010,,,,,,D,,-0.501648473,-1.544089722,-1.653528568,0.619774927,,C1,,,,,,,,,
Mp3g22960,Mp3g22960,Mp3g22960,,,,,,D,,0.123861335,0.039042596,-1.680421683,-1.589114659,,C2,,,,,,,,,
Mp6g07310,Mp6g07310,Mp6g07310,,,,U,U,U,U,1.454211861,0.581848875,-0.097228617,1.107617775,chr6.8063200.8063351,C4,Promoter,,down,,,0.427292688,-1.649871515,-1.134950977,-0.863063101
Mp4g22620,Mp4g22620,Mp4g22620,,,,U,,,U,1.248541661,-0.19899318,-0.106316446,1.988560772,chr4.25402177.25402324,C4,"Exon (Mp4g22620.1/Mp4g22620, exon 1 of 1)",,,,up,0.512305594,-1.11670814,1.749035762,0.826555691
Mp7g02440,Mp7g02440,Mp7g02440,,,,,,,D,-0.611648909,-0.093374476,-0.523658888,-1.203814583,,C6,,,,,,,,,
Mp7g14920,Mp7g14920,Mp7g14920,,,,D,,D,D,-1.434336566,1.713992612,-1.091935792,-1.312229851,,C1,,,,,,,,,
Mp3g20810,Mp3g20810,Mp3g20810,,,,U,,U,,1.464881478,0.214175179,1.070535346,-0.310485935,chr3.21452612.21453050,C2,Promoter,,down,,,-0.296397741,-1.271294739,-0.282322501,-1.520434609
Mp2g04890,Mp2g04890,Mp2g04890,,,,U,U,U,,1.333095791,0.433334628,1.388634902,-0.17387674,,C3,,,,,,,,,
Mp5g18010,Mp5g18010,Mp5g18010,,,,U,,U,,1.201331182,-0.700728873,1.662648726,-0.727043125,chr5.19054377.19055464,C3,3' UTR,up,,up,,1.24320564,-0.646393907,1.941418321,-0.603122066
Mp1g00530,Mp1g00530,Mp1g00530,,,,,,,D,-0.571288675,0.368626494,-1.02854115,-1.611429529,,C6,,,,,,,,,
Mp4g17000,Mp4g17000,Mp4g17000,,,,U,,U,,0.976565398,-1.314901332,1.674045471,-0.558657473,chr4.19383677.19383903,C3,Promoter,,down,,down,0.124744251,-1.635894842,0.531397101,-2.036625543
Mp6g01550,Mp6g01550,Mp6g01550,,,,,,U,,-1.045101515,-0.446274393,2.21436587,0.502060079,,C7,,,,,,,,,
Mp7g10430,Mp7g10430,Mp7g10430,,,,,,,D,-0.409742212,-1.170980529,0.643273262,-1.364858772,,C8,,,,,,,,,
Mp8g04240,Mp8g04240,Mp8g04240,,,,,,D,U,1.0599141,1.119981898,-1.712965979,0.892144944,,C4,,,,,,,,,
Mp8g12710,Mp8g12710,Mp8g12710,,,,U,,U,U,0.985366614,-0.269298366,1.109204061,0.244558973,,C3,,,,,,,,,
Mp4g22610,Mp4g22610,Mp4g22610,,,,U,,U,,1.631618224,-0.666780587,1.072909476,0.590715135,,C2,,,,,,,,,
Mp2g06090,Mp2g06090,Mp2g06090,,,,D,D,D,D,-1.055436299,-0.539374018,-0.78455971,-0.74250527,,C1,,,,,,,,,
Mp1g05410,Mp1g05410,Mp1g05410,,,,,U,U,,0.7222042,-0.160459754,1.368478451,0.02758899,chr1.5778459.5778568,C3,3' UTR,,,down,,-0.602659233,-0.852413195,-0.666160826,-0.099459977
Mp8g17840,Mp8g17840,Mp8g17840,,,,U,,,,1.431537862,0.391335537,0.752580717,0.35319788,,C2,,,,,,,,,
Mp8g12970,Mp8g12970,Mp8g12970,,,,D,D,D,,-0.93457948,-0.554484795,-1.11906245,-0.050749749,,C1,,,,,,,,,
Mp6g13190,Mp6g13190,Mp6g13190,,,,,U,U,U,0.974916999,1.141771714,1.050402102,0.273742896,chr6.14456727.14457548,C4,Promoter,,up,,,0.784169447,1.188538123,0.414910171,1.074731609
Mp7g19240,Mp7g19240,Mp7g19240,,,,,D,,,-0.372099305,-1.880588703,-0.217264797,0.839653918,,C1,,,,,,,,,
Mp7g15030,Mp7g15030,Mp7g15030,,,,,,,U,1.378841127,0.439725286,-0.22434715,1.507120253,,C4,,,,,,,,,
Mp7g06470,Mp7g06470,Mp7g06470,,,,U,D,,D,1.420366941,-1.279959694,0.198932282,-1.457623201,,C2,,,,,,,,,
Mp4g10330,Mp4g10330,Mp4g10330,,,,,,,U,-0.325776673,0.337068418,0.535692248,2.168722072,,C4,,,,,,,,,
Mp3g14030,Mp3g14030,Mp3g14030,,,,U,U,U,U,1.618252714,0.530861725,0.404725639,0.863484516,,C4,,,,,,,,,
Mp3g15740,Mp3g15740,Mp3g15740,,,,D,D,D,D,-0.976438006,-1.301057955,-0.616636776,-1.019908403,,C6,,,,,,,,,
Mp6g06980,Mp6g06980,Mp6g06980,,,,,,D,U,0.306697045,0.320797522,-1.80578748,1.6489579,,C4,,,,,,,,,
Mp3g05200,Mp3g05200,Mp3g05200,,,,,,,D,-0.786242477,-0.616385803,-0.662714971,-0.771287679,,C6,,,,,,,,,
Mp6g05600,Mp6g05600,Mp6g05600,,,,,U,U,,0.251882107,1.744771085,0.632516158,-0.994022865,chr6.6131143.6132076,C5,Promoter,,up,,,0.78764992,1.034471445,0.72924748,0.592088216
Mp7g17120,Mp7g17120,Mp7g17120,,,,,,,U,1.21714432,0.896584822,-0.742374785,-5.84E-04,,C4,,,,,,,,,
Mp2g21040,Mp2g21040,Mp2g21040,,,,D,D,,,-0.123413206,-1.867150062,-0.104418679,-0.16872186,,C1,,,,,,,,,
Mp4g23340,Mp4g23340,Mp4g23340,,,,D,D,D,,-1.156277188,-0.910952372,0.858617297,-0.629261918,,C6,,,,,,,,,
Mp3g08200,Mp3g08200,Mp3g08200,,,,,U,,,0.555937602,1.415928701,0.076536126,1.252570589,,C4,,,,,,,,,
Mp4g03380,Mp4g03380,Mp4g03380,,,,U,,,U,1.001521689,0.464548619,-0.218216713,1.771429415,,C4,,,,,,,,,
Mp5g00550,Mp5g00550,Mp5g00550,,,,D,,,,-1.508099582,-1.253936362,-0.392498145,-0.291259498,chr5.817095.817410,C6,Promoter,,down,,,-0.304936333,-1.680300025,-0.297741695,-1.056715856
Mp7g18000,Mp7g18000,Mp7g18000,,,,D,,D,,-1.274051236,-0.280932621,-0.956566063,-0.258454903,,C6,,,,,,,,,
Mp3g06520,Mp3g06520,Mp3g06520,,,,U,U,U,U,0.633240007,1.431570897,0.363831189,0.626056841,,C4,,,,,,,,,
Mp4g19000,Mp4g19000,Mp4g19000,,,,,U,,,-0.663198543,2.516795018,-0.813294435,-1.048136675,,C5,,,,,,,,,
Mp3g19010,Mp3g19010,Mp3g19010,,,,,,D,,-1.271532187,1.630730541,-2.074501104,0.887009235,,C1,,,,,,,,,
Mp6g10330,Mp6g10330,Mp6g10330,,,,U,,,U,1.276479614,0.170862793,-0.55874658,1.673218163,,C4,,,,,,,,,
Mp5g07640,Mp5g07640,Mp5g07640,,,,D,,,,-1.85142193,0.582728555,-1.077660817,-0.522408801,,C1,,,,,,,,,
Mp4g01900,Mp4g01900,Mp4g01900,,,,D,,,,-1.596112251,-0.632893546,0.740908535,-0.850137795,,C6,,,,,,,,,
Mp6g04770,Mp6g04770,Mp6g04770,,,,U,,U,U,1.419875188,0.044695394,0.608157969,-0.393438577,,C2,,,,,,,,,
Mp4g12490,Mp4g12490,Mp4g12490,,,,,D,,,-0.479747581,-1.582371372,-0.486649777,-0.821785506,,C6,,,,,,,,,
Mp3g22950,Mp3g22950,Mp3g22950,,,,U,,U,U,1.688358465,-0.03430434,1.028134077,-0.120396252,,C2,,,,,,,,,
Mp7g09660,Mp7g09660,Mp7g09660,,,,U,U,,U,1.488815865,1.146666992,0.114751715,1.022173948,,C4,,,,,,,,,
Mp6g01410,Mp6g01410,Mp6g01410,,,,,D,D,D,-0.673636426,-1.088068341,-0.990742387,-0.932001672,,C6,,,,,,,,,
Mp1g01840,Mp1g01840,Mp1g01840,,,,,D,,D,-0.627955854,-2.013207376,1.450694528,-0.611402055,,C8,,,,,,,,,
Mp1g07460,Mp1g07460,Mp1g07460,,,,,D,,,0.004617501,-0.598704711,-1.430628978,1.187718994,,C1,,,,,,,,,
Mp6g15280,Mp6g15280,Mp6g15280,,,,U,,,U,1.654826116,0.512201086,0.056245261,1.028082295,,C4,,,,,,,,,
Mp8g00320,Mp8g00320,Mp8g00320,,,,,U,,,0.433286939,2.180535387,0.010553344,-0.076002925,,C5,,,,,,,,,
Mp1g16820,Mp1g16820,Mp1g16820,,,,,D,,,1.146116187,-1.627535718,0.847337054,-1.436504812,,C2,,,,,,,,,
Mp2g17410,Mp2g17410,Mp2g17410,,,,U,U,U,U,1.733167673,0.354116208,0.406353338,0.418592815,chr2.18628717.18629016,C2,Promoter,up,up,up,,1.329066258,0.82903181,1.294241963,-0.034097389
Mp4g13780,Mp4g13780,Mp4g13780,,,,,,D,,-0.55303949,-0.088126484,-1.953959676,-0.583426397,,C1,,,,,,,,,
Mp7g06550,Mp7g06550,Mp7g06550,MpWRKY10,WRKY,"transcription factor, WRKY",,,D,,-0.600894114,-0.195629856,-1.651968205,-0.906844722,,C1,,,,,,,,,
Mp6g09250,Mp6g09250,Mp6g09250,,,,U,,,,1.593217735,0.906216231,0.557908938,-1.431513413,,C2,,,,,,,,,
Mp1g20250,Mp1g20250,Mp1g20250,,,,,U,U,,0.428578766,1.683001123,-0.121024445,0.49699056,chr1.20745675.20745837,C5,Promoter,,down,down,,0.045047567,-1.299579977,-0.548542527,-0.205010652
Mp2g10260,Mp2g10260,Mp2g10260,,,,U,,,,1.30232057,-0.075195405,0.807068752,-1.226344212,chr2.10509696.10509936,C2,3' UTR,up,up,up,up,1.42965999,0.069898195,1.71895243,-0.141813385
Mp1g05260,Mp1g05260,Mp1g05260,,,,,,,U,0.707625198,0.569416955,-0.384153377,1.478196437,,C4,,,,,,,,,
Mp7g11020,Mp7g11020,Mp7g11020,,,,D,D,D,D,-0.961388785,-0.945055939,-0.990242474,-0.357881553,,C6,,,,,,,,,
Mp8g08650,Mp8g08650,Mp8g08650,,,,U,,U,,1.693181299,-0.223320618,1.013420381,-0.21818675,,C2,,,,,,,,,
Mp7g03770,Mp7g03770,Mp7g03770,,,,D,D,D,D,-0.939601286,-0.902434588,-1.108551259,-0.879605367,,C6,,,,,,,,,
Mp2g21130,Mp2g21130,Mp2g21130,,,,U,U,U,U,1.376014327,-0.00540776,1.924714611,0.2098055,,C3,,,,,,,,,
Mp3g17260,Mp3g17260,Mp3g17260,MpBHLH7,bHLH,"transcription factor, bHLH",U,,U,,1.402574433,-0.667069606,2.110230475,-0.594742179,,C2,,,,,,,,,
Mp4g11950,Mp4g11950,Mp4g11950,,,,,U,,,-0.620543455,1.806580529,0.365190519,-0.662897541,,C5,,,,,,,,,
Mp2g04400,Mp2g04400,Mp2g04400,,,,,,U,U,-0.467845695,-0.70202915,1.683282342,0.735401345,chr2.4603324.4603675,C8,3' UTR,up,,up,,1.235271669,-0.224635509,2.019038483,-0.23813255
Mp3g15370,Mp3g15370,Mp3g15370,,,,,U,,,1.081938039,0.869698066,0.483409648,0.808600577,,C4,,,,,,,,,
Mp8g17810,Mp8g17810,Mp8g17810,,,,D,D,,,-1.261411742,-1.118979141,0.373524723,-0.00527713,,C7,,,,,,,,,
Mp7g11000,Mp7g11000,Mp7g11000,,,,D,D,D,,-0.878359734,-1.21605069,-0.583903265,0.169752797,,C1,,,,,,,,,
Mp1g09755,Mp1g09755,Mp1g09755,,,,D,D,D,D,-1.139510711,-0.627978447,-0.95286079,-0.46794919,,C1,,,,,,,,,
Mp6g05520,Mp6g05520,Mp6g05520,,,,U,,U,,1.463809241,0.14378011,1.205578913,-0.374346777,,C2,,,,,,,,,
Mp5g10100,Mp5g10100,Mp5g10100,,,,U,,U,,1.453127213,-1.032692559,1.289394521,-0.504239563,chr5.11355753.11355870,C3,Promoter,,,up,up,0.496308442,0.700378394,1.583223862,0.526109604
Mp7g17880,Mp7g17880,Mp7g17880,,,,U,,,U,1.665234545,0.345678561,-0.666034907,1.003015314,,C4,,,,,,,,,
Mp3g11520,Mp3g11520,Mp3g11520,,,,D,D,D,,-1.18633322,-0.221410113,-1.558466272,-0.202002184,chr3.11092578.11092752,C1,"Exon (Mp3g11520.1/Mp3g11520, exon 1 of 1)",,,up,up,1.477446745,-0.305247389,1.608970863,0.268950706
Mp5g21870,Mp5g21870,Mp5g21870,,,,,D,U,,0.751949406,-2.359661417,1.367188011,-0.160200052,,C2,,,,,,,,,
Mp1g24470,Mp1g24470,Mp1g24470,,,,U,,,U,0.56080425,0.261812766,0.596668604,0.791618948,chr1.25164773.25165424,C3,3' UTR,up,up,up,up,0.494388894,1.063841756,1.16166858,0.639051881
Mp4g01320,Mp4g01320,Mp4g01320,,,,D,D,,,-0.705819127,-1.968476748,-0.294285206,-0.204386239,,C1,,,,,,,,,
Mp7g02760,Mp7g02760,Mp7g02760,,,,D,,D,D,-1.535904423,0.620125047,-1.133559743,-1.026518292,,C6,,,,,,,,,
Mp7g07990,Mp7g07990,Mp7g07990,,,,U,U,U,U,0.028152185,1.945183863,0.54954782,0.769304134,,C4,,,,,,,,,
Mp3g00840,Mp3g00840,Mp3g00840,,,,D,D,D,D,-0.600030058,-1.439923213,-0.536670086,-1.356383734,,C6,,,,,,,,,
Mp4g04280,Mp4g04280,Mp4g04280,,,,,D,,,-0.314587888,-0.996791691,-1.104429917,0.793820976,,C1,,,,,,,,,
Mp1g18650,Mp1g18650,Mp1g18650,,,,U,U,U,U,1.615265487,0.271788564,0.909298056,0.195240257,chr1.18979804.18981419,C2,3' UTR,up,up,up,,1.076738836,0.654459462,1.223756842,0.739931739
Mp3g02720,Mp3g02720,Mp3g02720,,,,,U,,U,0.045911627,2.204529303,-0.162382889,1.43317837,,C5,,,,,,,,,
Mp2g00990,Mp2g00990,Mp2g00990,,,,,,,U,1.508501721,-0.299599167,0.466386781,1.457799633,,C4,,,,,,,,,
Mp5g13250,Mp5g13250,Mp5g13250,,,,,D,,,-0.795156243,-1.184904894,-0.235354341,-0.431196928,chr5.14547796.14548329,C1,3' UTR,up,up,up,up,0.58888095,1.063538469,0.768151939,1.045826954
Mp8g19020,Mp8g19020,Mp8g19020,,,,D,D,D,U,-0.98549829,-0.666159397,-0.137728216,0.838418716,,C7,,,,,,,,,
Mp6g03790,Mp6g03790,Mp6g03790,,,,,,D,,0.069571156,-0.01062747,-1.595151764,0.714927779,,C7,,,,,,,,,
Mp8g15840,Mp8g15840,Mp8g15840,,,,D,D,D,D,-0.901724959,-0.974467426,-1.518018085,0.022794496,chr8.17853202.17853341,C1,3' UTR,,up,,up,-0.437270307,1.122896613,-0.756149948,1.504853415
Mp8g15640,Mp8g15640,Mp8g15640,,,,,U,U,U,0.315099694,0.877164756,1.190532262,0.816126294,,C4,,,,,,,,,
Mp5g15290,Mp5g15290,Mp5g15290,,,,D,D,,,-0.465147448,-0.891949379,-0.366921076,-0.622105921,,C1,,,,,,,,,
Mp2g26170,Mp2g26170,Mp2g26170,,,,D,D,D,,-0.981347324,-0.70861681,-1.141252161,-0.52749583,,C1,,,,,,,,,
Mp3g07260,Mp3g07260,Mp3g07260,,,,,D,,,-0.703794761,-2.036408734,-0.527910229,-0.866593684,,C1,,,,,,,,,
Mp6g15620,Mp6g15620,Mp6g15620,,,,D,D,D,,-0.931301785,-0.519142092,-1.828676273,-0.144952459,,C1,,,,,,,,,
Mp7g00860,Mp7g00860,Mp7g00860,MpERF10,AP2/ERF,"transcription factor, AP2/ERF",,D,D,,-1.097606779,-2.332795802,-0.764601564,1.020869397,,C1,,,,,,,,,
Mp2g18670,Mp2g18670,Mp2g18670,,,,,,D,,-0.596002628,-0.160335979,-1.603378171,0.225746655,chr2.20082850.20083637,C1,Promoter,,,down,down,-0.536867604,0.307404482,-1.343154285,-1.22155383
Mp2g06620,Mp2g06620,Mp2g06620,,,,,D,D,,1.539669999,-0.849631276,-1.428805953,-0.239698515,chr2.6788002.6788160,C1,Promoter,,,up,up,0.998302367,0.238271273,0.848677262,0.876844451
Mp6g12900,Mp6g12900,Mp6g12900,,,,,,,U,1.17212097,0.608887604,-0.222184179,1.56089497,,C4,,,,,,,,,
Mp2g02750,Mp2g02750,Mp2g02750,,,,D,D,D,,-0.835592985,-0.583105091,-1.65260351,-0.263587176,,C1,,,,,,,,,
Mp4g04160,Mp4g04160,Mp4g04160,,,,D,D,D,D,-1.237159275,-0.30639093,-1.131231236,-0.903761624,,C1,,,,,,,,,
Mp5g13490,Mp5g13490,Mp5g13490,,,,,D,D,,-0.724945006,-1.159735846,-1.127475474,-1.091662778,,C6,,,,,,,,,
Mp6g15580,Mp6g15580,Mp6g15580,,,,U,U,U,U,1.185818569,1.185686746,0.430733369,0.86240111,,C4,,,,,,,,,
Mp7g19040,Mp7g19040,Mp7g19040,,,,,U,U,U,-0.145730171,1.960601133,-0.395509853,0.799666509,,C5,,,,,,,,,
Mp6g01490,Mp6g01490,Mp6g01490,,,,,U,,,1.337773939,0.540459583,0.993284315,0.628419245,,C3,,,,,,,,,
Mp1g24140,Mp1g24140,Mp1g24140,MpHD12,HD,"transcription factor, HD",D,,D,,-1.542506955,-0.056935332,-1.491388338,0.185940326,,C1,,,,,,,,,
