shared.name,interaction,source,target,MI,pvalue,weight,presence,source_TF,target_TF,presence_rna,presence_rna_revised
Mp2g07130 (interacts with) Mp1g02260,interacts with,Mp2g07130,Mp1g02260,1.018144615,0.049115235,0.073025322,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp2g15260,interacts with,Mp2g00890,Mp2g15260,0.963174015,4.77781991630177e-05,0.033364694,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp5g14320,interacts with,Mp2g07130,Mp5g14320,1.009195069,0.00525517,0.068032529,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp8g06260,interacts with,Mp2g00890,Mp8g06260,0.89442775,0.000519722,0.033152118,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp4g10330,interacts with,Mp2g07130,Mp4g10330,0.954606124,0.049115235,0.06348347,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp2g02120,interacts with,Mp2g00890,Mp2g02120,0.994748167,4.10292818320279e-06,0.033131734,source,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp2g04400,interacts with,Mp2g07130,Mp2g04400,0.950486653,0.00525517,0.062258621,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp1g23760,interacts with,Mp2g00890,Mp1g23760,0.999389962,1.80950454620188e-09,0.033076564,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp5g05730,interacts with,Mp2g07130,Mp5g05730,0.91740961,0.000519722,0.062140819,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp2g02820,interacts with,Mp2g00890,Mp2g02820,0.953677007,0.00525517,0.032762565,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp8g04890,interacts with,Mp2g07130,Mp8g04890,0.91361885,0,0.060866608,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp2g12890,interacts with,Mp2g00890,Mp2g12890,0.973814787,4.10292818320279e-06,0.032641625,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp2g14870,interacts with,Mp2g07130,Mp2g14870,0.827337504,0.049115235,0.059435826,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp2g15510,interacts with,Mp2g00890,Mp2g15510,1.034408465,0.049115235,0.032443235,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp2g06140,interacts with,Mp2g07130,Mp2g06140,0.963810128,4.77781991630177e-05,0.053203491,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp7g02500,interacts with,Mp2g00890,Mp7g02500,1.01559099,0.000519722,0.032384064,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp7g19220,interacts with,Mp2g07130,Mp7g19220,0.908069722,0.049115235,0.051529726,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp5g11490,interacts with,Mp2g00890,Mp5g11490,0.880614018,4.77781991630177e-05,0.032291158,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp3g14380,interacts with,Mp2g07130,Mp3g14380,0.960291905,4.10292818320279e-06,0.051508376,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp2g08510,interacts with,Mp2g00890,Mp2g08510,0.896353083,4.77781991630177e-05,0.032205902,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp7g02900,interacts with,Mp2g07130,Mp7g02900,0.982737138,0.049115235,0.048066406,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp7g19700,interacts with,Mp2g00890,Mp7g19700,0.897872844,0.00525517,0.032006129,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp7g02340,interacts with,Mp2g07130,Mp7g02340,1.069707279,0.049115235,0.040066986,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp4g20960,interacts with,Mp2g00890,Mp4g20960,1.033374843,1.80950454620188e-09,0.031909954,RNA-seq,bHLH,NA,source,source
Mp2g07130 (interacts with) Mp8g04750,interacts with,Mp2g07130,Mp8g04750,0.931549507,0.000519722,0.038486016,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp5g24330,interacts with,Mp2g00890,Mp5g24330,0.896448233,0.00525517,0.031783315,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp6g07910,interacts with,Mp2g00890,Mp6g07910,1.074162091,0,0.031776683,RNA-seq,bHLH,NA,source,source
Mp4g00380 (interacts with) Mp5g10690,interacts with,Mp4g00380,Mp5g10690,1.035473295,0.049115235,0.088956958,,AP2/ERF,NA,,
Mp2g00890 (interacts with) Mp2g13670,interacts with,Mp2g00890,Mp2g13670,1.072933797,0,0.031748126,RNA-seq,bHLH,NA,source,source
Mp4g00380 (interacts with) Mp2g09820,interacts with,Mp4g00380,Mp2g09820,0.948847423,3.30563580508425e-07,0.084467981,,AP2/ERF,NA,,
Mp2g00890 (interacts with) Mp6g15110,interacts with,Mp2g00890,Mp6g15110,0.997422652,0.000519722,0.031698846,RNA-seq,bHLH,NA,source,source
Mp4g00380 (interacts with) Mp5g15110,interacts with,Mp4g00380,Mp5g15110,0.888155321,4.10292818320279e-06,0.076090356,,AP2/ERF,NA,,
Mp2g00890 (interacts with) Mp3g14030,interacts with,Mp2g00890,Mp3g14030,1.004299037,0.049115235,0.031449887,RNA-seq,bHLH,NA,source,source
Mp4g00380 (interacts with) Mp2g12220,interacts with,Mp4g00380,Mp2g12220,0.900819626,4.10292818320279e-06,0.072435821,,AP2/ERF,NA,,
Mp2g00890 (interacts with) Mp7g03770,interacts with,Mp2g00890,Mp7g03770,1.035648792,0,0.031330388,RNA-seq,bHLH,NA,source,source
Mp8g11560 (interacts with) Mp4g09980,interacts with,Mp8g11560,Mp4g09980,0.980588926,0.049115235,0.081158807,,ASL/LBD,NA,,
Mp2g00890 (interacts with) Mp3g15740,interacts with,Mp2g00890,Mp3g15740,0.981454169,0.000519722,0.031323385,RNA-seq,bHLH,NA,source,source
Mp8g11560 (interacts with) Mp2g13880,interacts with,Mp8g11560,Mp2g13880,1.02848319,2.50863130268897e-08,0.077066981,,ASL/LBD,NA,,
Mp2g00890 (interacts with) Mp7g10970,interacts with,Mp2g00890,Mp7g10970,0.950568186,1.80950454620188e-09,0.031140313,RNA-seq,bHLH,NA,source,source
Mp8g11560 (interacts with) Mp6g05730,interacts with,Mp8g11560,Mp6g05730,0.898323677,0.000519722,0.075900129,,ASL/LBD,NA,,
Mp2g00890 (interacts with) Mp5g03560,interacts with,Mp2g00890,Mp5g03560,1.039398086,0,0.030979683,RNA-seq,bHLH,NA,source,source
Mp8g11560 (interacts with) Mp7g01840,interacts with,Mp8g11560,Mp7g01840,0.823137942,0.00525517,0.068468098,,ASL/LBD,NA,,
Mp2g00890 (interacts with) Mp3g21280,interacts with,Mp2g00890,Mp3g21280,0.899695197,0,0.030951683,RNA-seq,bHLH,NA,source,source
Mp8g11560 (interacts with) Mp8g01820,interacts with,Mp8g11560,Mp8g01820,0.958946409,0.000519722,0.064061914,,ASL/LBD,NA,,
Mp2g00890 (interacts with) Mp1g25620,interacts with,Mp2g00890,Mp1g25620,0.900151466,4.10292818320279e-06,0.030785175,RNA-seq,bHLH,NA,source,source
Mp2g00890 (interacts with) Mp5g03900,interacts with,Mp2g00890,Mp5g03900,1.077499994,0,0.030636728,RNA-seq,bHLH,NA,source,source
Mp5g06970 (interacts with) Mp7g17110,interacts with,Mp5g06970,Mp7g17110,1.030656102,0,0.100591746,,AP2/ERF,NA,,
Mp2g00890 (interacts with) Mp2g13850,interacts with,Mp2g00890,Mp2g13850,0.891356661,0.00525517,0.030402998,RNA-seq,bHLH,NA,source,source
Mp5g06970 (interacts with) Mp5g09760,interacts with,Mp5g06970,Mp5g09760,0.945100861,0.000519722,0.098153266,,AP2/ERF,NA,,
Mp2g00890 (interacts with) Mp6g14990,interacts with,Mp2g00890,Mp6g14990,1.029292167,0,0.030022875,RNA-seq,bHLH,NA,source,source
Mp5g06970 (interacts with) Mp7g03880,interacts with,Mp5g06970,Mp7g03880,0.991376134,0,0.096098778,,AP2/ERF,NA,,
Mp7g06550 (interacts with) Mp8g08840,interacts with,Mp7g06550,Mp8g08840,1.039720771,0.049115235,0.064225585,RNA-seq,WRKY,NA,source,source
Mp5g06970 (interacts with) Mp5g21920,interacts with,Mp5g06970,Mp5g21920,1.06932296,0.000519722,0.092585892,,AP2/ERF,NA,,
Mp7g06550 (interacts with) Mp1g24430,interacts with,Mp7g06550,Mp1g24430,1.032015001,4.10292818320279e-06,0.064052491,RNA-seq,WRKY,NA,source,source
Mp5g06970 (interacts with) Mp3g12400,interacts with,Mp5g06970,Mp3g12400,1.02566529,0,0.091081083,,AP2/ERF,NA,,
Mp7g06550 (interacts with) Mp3g01130,interacts with,Mp7g06550,Mp3g01130,0.967661411,1.2337530996831e-10,0.060999678,RNA-seq,WRKY,NA,source,source
Mp5g06970 (interacts with) Mp7g15000,interacts with,Mp5g06970,Mp7g15000,1.108700186,0,0.090175673,,AP2/ERF,NA,,
Mp7g06550 (interacts with) Mp8g09220,interacts with,Mp7g06550,Mp8g09220,1.057805958,0,0.059785621,RNA-seq,WRKY,NA,source,source
Mp5g06970 (interacts with) Mp3g14660,interacts with,Mp5g06970,Mp3g14660,0.982629273,0.000519722,0.086285555,,AP2/ERF,NA,,
Mp7g06550 (interacts with) Mp8g07850,interacts with,Mp7g06550,Mp8g07850,1.064383106,0.00525517,0.052354254,RNA-seq,WRKY,NA,source,source
Mp5g06970 (interacts with) Mp5g13860,interacts with,Mp5g06970,Mp5g13860,0.995335229,0.000519722,0.082549108,,AP2/ERF,NA,,
Mp7g06550 (interacts with) Mp8g01290,interacts with,Mp7g06550,Mp8g01290,0.988814294,4.10292818320279e-06,0.05168174,RNA-seq,WRKY,NA,source,source
Mp5g06970 (interacts with) Mp5g05380,interacts with,Mp5g06970,Mp5g05380,0.924209201,0.00525517,0.082384797,,AP2/ERF,NA,,
Mp7g06550 (interacts with) Mp6g16980,interacts with,Mp7g06550,Mp6g16980,0.901430111,0.049115235,0.048042543,RNA-seq,WRKY,NA,source,source
Mp5g06970 (interacts with) Mp2g18580,interacts with,Mp5g06970,Mp2g18580,0.963872258,1.80950454620188e-09,0.081649388,,AP2/ERF,NA,,
Mp7g06550 (interacts with) Mp2g21420,interacts with,Mp7g06550,Mp2g21420,0.899475148,0.000519722,0.046647223,RNA-seq,WRKY,NA,source,source
Mp5g06970 (interacts with) Mp6g13210,interacts with,Mp5g06970,Mp6g13210,0.94356712,4.77781991630177e-05,0.081235661,,AP2/ERF,NA,,
Mp7g06550 (interacts with) Mp3g23440,interacts with,Mp7g06550,Mp3g23440,1.064876932,4.77781991630177e-05,0.045651086,RNA-seq,WRKY,NA,source,source
Mp5g06970 (interacts with) Mp2g02920,interacts with,Mp5g06970,Mp2g02920,0.996649915,2.50863130268897e-08,0.077665049,,AP2/ERF,NA,,
Mp7g06550 (interacts with) Mp4g12490,interacts with,Mp7g06550,Mp4g12490,1.077173462,0.00525517,0.043510237,RNA-seq,WRKY,NA,source,source
Mp5g06970 (interacts with) Mp3g14380,interacts with,Mp5g06970,Mp3g14380,0.848289125,3.30563580508425e-07,0.07634388,,AP2/ERF,NA,,
Mp7g06550 (interacts with) Mp2g24920,interacts with,Mp7g06550,Mp2g24920,1.007300075,0.000519722,0.038526557,source,WRKY,NA,source,source
Mp5g06970 (interacts with) Mp1g07510,interacts with,Mp5g06970,Mp1g07510,0.984256384,3.30563580508425e-07,0.071823112,,AP2/ERF,NA,,
Mp7g06550 (interacts with) Mp6g09900,interacts with,Mp7g06550,Mp6g09900,0.944582421,0.049115235,0.036851493,RNA-seq,WRKY,NA,source,source
Mp5g06970 (interacts with) Mp7g05750,interacts with,Mp5g06970,Mp7g05750,1.047373923,4.77781991630177e-05,0.07072625,,AP2/ERF,NA,,
Mp7g06550 (interacts with) Mp8g03330,interacts with,Mp7g06550,Mp8g03330,1.022544667,0.00525517,0.036396964,RNA-seq,WRKY,NA,source,source
Mp5g06970 (interacts with) Mp2g16920,interacts with,Mp5g06970,Mp2g16920,0.997776892,4.77781991630177e-05,0.06905609,,AP2/ERF,NA,,
Mp7g06550 (interacts with) Mp8g04250,interacts with,Mp7g06550,Mp8g04250,1.012180859,0.049115235,0.035885246,RNA-seq,WRKY,NA,source,source
Mp5g06970 (interacts with) Mp1g09290,interacts with,Mp5g06970,Mp1g09290,0.941280081,1.80950454620188e-09,0.066281426,,AP2/ERF,NA,,
Mp7g06550 (interacts with) Mp4g13500,interacts with,Mp7g06550,Mp4g13500,1.050621774,0.000519722,0.031752679,RNA-seq,WRKY,NA,source,source
Mp5g06970 (interacts with) Mp2g21420,interacts with,Mp5g06970,Mp2g21420,1.020461438,4.10292818320279e-06,0.062099492,,AP2/ERF,NA,,
Mp3g17260 (interacts with) Mp3g19080,interacts with,Mp3g17260,Mp3g19080,0.927417738,3.30563580508425e-07,0.053592488,source,bHLH,NA,source,source
Mp5g06970 (interacts with) Mp8g02530,interacts with,Mp5g06970,Mp8g02530,0.845569728,4.10292818320279e-06,0.060628185,,AP2/ERF,NA,,
Mp3g17260 (interacts with) Mp7g19310,interacts with,Mp3g17260,Mp7g19310,0.9472066,0.00525517,0.047099707,RNA-seq,bHLH,NA,source,source
Mp5g06970 (interacts with) Mp2g05780,interacts with,Mp5g06970,Mp2g05780,0.988814294,4.10292818320279e-06,0.059606705,,AP2/ERF,NA,,
Mp3g17260 (interacts with) Mp2g10040,interacts with,Mp3g17260,Mp2g10040,0.910509833,0.049115235,0.044007337,RNA-seq,bHLH,NA,source,source
Mp5g06970 (interacts with) Mp3g00790,interacts with,Mp5g06970,Mp3g00790,0.976725632,4.77781991630177e-05,0.058794836,,AP2/ERF,NA,,
Mp3g17260 (interacts with) Mp6g08200,interacts with,Mp3g17260,Mp6g08200,0.778279373,4.77781991630177e-05,0.041378471,RNA-seq,bHLH,NA,source,source
Mp5g06970 (interacts with) Mp3g22960,interacts with,Mp5g06970,Mp3g22960,0.801393022,0.049115235,0.058140102,,AP2/ERF,NA,,
Mp3g17260 (interacts with) Mp6g20700,interacts with,Mp3g17260,Mp6g20700,0.857313862,0.049115235,0.038840397,source,bHLH,NA,source,source
Mp5g06970 (interacts with) Mp6g06010,interacts with,Mp5g06970,Mp6g06010,0.943380414,0.049115235,0.057502525,,AP2/ERF,NA,,
Mp3g17260 (interacts with) Mp1g06880,interacts with,Mp3g17260,Mp1g06880,0.953416149,0.049115235,0.036959603,RNA-seq,bHLH,NA,source,source
Mp5g06970 (interacts with) Mp4g01480,interacts with,Mp5g06970,Mp4g01480,0.843869261,0.00525517,0.057408436,,AP2/ERF,NA,,
Mp3g17260 (interacts with) Mp6g02870,interacts with,Mp3g17260,Mp6g02870,0.803727344,4.77781991630177e-05,0.036507586,source,bHLH,NA,source,source
Mp5g06970 (interacts with) Mp8g02920,interacts with,Mp5g06970,Mp8g02920,0.869908409,0.00525517,0.056310188,,AP2/ERF,NA,,
Mp3g17260 (interacts with) Mp5g09430,interacts with,Mp3g17260,Mp5g09430,0.852806316,4.77781991630177e-05,0.036037032,RNA-seq,bHLH,NA,source,source
Mp5g06970 (interacts with) Mp3g22550,interacts with,Mp5g06970,Mp3g22550,0.901141958,0.00525517,0.052210561,,AP2/ERF,NA,,
Mp3g17260 (interacts with) Mp5g10100,interacts with,Mp3g17260,Mp5g10100,0.93720284,0.049115235,0.033690465,source,bHLH,NA,source,source
Mp5g06970 (interacts with) Mp8g14650,interacts with,Mp5g06970,Mp8g14650,0.937095308,2.50863130268897e-08,0.041322308,,AP2/ERF,NA,,
Mp7g00860 (interacts with) Mp8g12010,interacts with,Mp7g00860,Mp8g12010,0.827771049,0.00525517,0.057260865,,AP2/ERF,NA,,
Mp5g06970 (interacts with) Mp6g08270,interacts with,Mp5g06970,Mp6g08270,0.888351131,0.049115235,0.036959809,,AP2/ERF,NA,,
Mp7g00860 (interacts with) Mp7g17020,interacts with,Mp7g00860,Mp7g17020,0.970218186,1.80950454620188e-09,0.049448727,,AP2/ERF,AP2/ERF,,
Mp5g06970 (interacts with) Mp6g19640,interacts with,Mp5g06970,Mp6g19640,0.891784705,0,0.031293712,,AP2/ERF,NA,,
Mp7g00860 (interacts with) Mp1g09100,interacts with,Mp7g00860,Mp1g09100,0.918192399,4.77781991630177e-05,0.045790204,,AP2/ERF,NA,,
Mp4g12230 (interacts with) Mp1g01040,interacts with,Mp4g12230,Mp1g01040,0.921622013,0.00525517,0.107876294,RNA-seq,HSF,NA,source,source
Mp7g00860 (interacts with) Mp3g14230,interacts with,Mp7g00860,Mp3g14230,0.925245051,0.00525517,0.043993911,,AP2/ERF,NA,,
Mp4g12230 (interacts with) Mp6g10990,interacts with,Mp4g12230,Mp6g10990,0.876082377,0,0.107399598,RNA-seq,HSF,NA,source,source
Mp7g00860 (interacts with) Mp2g21800,interacts with,Mp7g00860,Mp2g21800,0.961026458,3.30563580508425e-07,0.035880427,,AP2/ERF,NA,,
Mp4g12230 (interacts with) Mp8g01740,interacts with,Mp4g12230,Mp8g01740,1.025833286,0,0.097804522,RNA-seq,HSF,NA,source,source
Mp1g24140 (interacts with) Mp6g09590,interacts with,Mp1g24140,Mp6g09590,0.945120946,0.049115235,0.06453701,,HD,NA,,
Mp4g12230 (interacts with) Mp8g10500,interacts with,Mp4g12230,Mp8g10500,1.074714861,0,0.087634164,RNA-seq,HSF,NA,source,source
Mp1g24140 (interacts with) Mp3g07470,interacts with,Mp1g24140,Mp3g07470,0.934003584,0.00525517,0.048012586,,HD,NA,,
Mp4g12230 (interacts with) Mp3g23380,interacts with,Mp4g12230,Mp3g23380,0.954205702,1.2337530996831e-10,0.074416136,RNA-seq,HSF,NA,source,source
Mp1g24140 (interacts with) Mp8g05020,interacts with,Mp1g24140,Mp8g05020,0.961186616,1.2337530996831e-10,0.045354923,,HD,NA,,
Mp4g12230 (interacts with) Mp4g17000,interacts with,Mp4g12230,Mp4g17000,0.8935965,4.10292818320279e-06,0.073401482,,HSF,NA,,
Mp1g24140 (interacts with) Mp5g12390,interacts with,Mp1g24140,Mp5g12390,0.91574973,0.00525517,0.044614215,,HD,NA,,
Mp4g12230 (interacts with) Mp2g22010,interacts with,Mp4g12230,Mp2g22010,0.823169045,0.00525517,0.068932603,RNA-seq,HSF,NA,source,source
Mp1g24140 (interacts with) Mp8g10150,interacts with,Mp1g24140,Mp8g10150,1.022853278,0,0.043937,,HD,NA,,
Mp4g12230 (interacts with) Mp5g00690,interacts with,Mp4g12230,Mp5g00690,0.960296018,0.00525517,0.063696918,source,HSF,NA,source,source
Mp1g24140 (interacts with) Mp8g02150,interacts with,Mp1g24140,Mp8g02150,1.059845699,4.77781991630177e-05,0.043100377,,HD,NA,,
Mp4g12230 (interacts with) Mp6g09300,interacts with,Mp4g12230,Mp6g09300,0.84103684,0.000519722,0.060322358,RNA-seq,HSF,NA,source,source
Mp1g24140 (interacts with) Mp7g06000,interacts with,Mp1g24140,Mp7g06000,1.039720771,0,0.040496582,,HD,NA,,
Mp4g12230 (interacts with) Mp2g02170,interacts with,Mp4g12230,Mp2g02170,0.881306649,4.10292818320279e-06,0.059299375,,HSF,NA,,
Mp4g12230 (interacts with) Mp7g05260,interacts with,Mp4g12230,Mp7g05260,0.895971626,0.00525517,0.05910143,RNA-seq,HSF,NA,source,source
Mp1g24140 (interacts with) Mp7g09270,interacts with,Mp1g24140,Mp7g09270,0.979951733,0.049115235,0.039217621,,HD,NA,,
Mp4g12230 (interacts with) Mp3g00790,interacts with,Mp4g12230,Mp3g00790,0.99572985,0.00525517,0.05869368,RNA-seq,HSF,NA,source,source
Mp1g24140 (interacts with) Mp4g15430,interacts with,Mp1g24140,Mp4g15430,1.07502098,0.00525517,0.039202249,,HD,NA,,
Mp4g12230 (interacts with) Mp2g23350,interacts with,Mp4g12230,Mp2g23350,0.866946614,0.000519722,0.058632459,RNA-seq,HSF,NA,source,source
Mp1g24140 (interacts with) Mp5g08100,interacts with,Mp1g24140,Mp5g08100,0.99524165,0.049115235,0.036973555,,HD,NA,,
Mp4g12230 (interacts with) Mp2g22600,interacts with,Mp4g12230,Mp2g22600,0.91957219,0.00525517,0.056593532,source,HSF,NA,source,source
Mp1g24140 (interacts with) Mp6g20100,interacts with,Mp1g24140,Mp6g20100,1.032309704,4.77781991630177e-05,0.036684809,,HD,NA,,
Mp4g12230 (interacts with) Mp6g01310,interacts with,Mp4g12230,Mp6g01310,0.973689498,2.50863130268897e-08,0.0556039,,HSF,NA,,
Mp1g24140 (interacts with) Mp7g18420,interacts with,Mp1g24140,Mp7g18420,0.832186419,0.000519722,0.036676144,,HD,NA,,
Mp4g12230 (interacts with) Mp7g02340,interacts with,Mp4g12230,Mp7g02340,0.923963727,3.30563580508425e-07,0.054976468,RNA-seq,HSF,NA,source,source
Mp1g24140 (interacts with) Mp3g24640,interacts with,Mp1g24140,Mp3g24640,1.025262063,0.049115235,0.036672884,,HD,NA,,
Mp4g12230 (interacts with) Mp2g17910,interacts with,Mp4g12230,Mp2g17910,0.924396647,3.30563580508425e-07,0.052390204,source,HSF,NA,source,source
Mp1g24140 (interacts with) Mp8g08900,interacts with,Mp1g24140,Mp8g08900,0.980872756,1.2337530996831e-10,0.035578815,,HD,NA,,
Mp4g12230 (interacts with) Mp3g12400,interacts with,Mp4g12230,Mp3g12400,0.856031327,4.10292818320279e-06,0.04477203,RNA-seq,HSF,NA,source,source
Mp1g24140 (interacts with) Mp2g16350,interacts with,Mp1g24140,Mp2g16350,1.036814516,0.049115235,0.03524758,,HD,BBX,,
Mp5g20660 (interacts with) Mp7g18170,interacts with,Mp5g20660,Mp7g18170,0.99294017,4.10292818320279e-06,0.10824941,,GRAS,NA,,
Mp1g24140 (interacts with) Mp8g00600,interacts with,Mp1g24140,Mp8g00600,0.990027858,0.049115235,0.034985769,,HD,NA,,
Mp5g20660 (interacts with) Mp4g05170,interacts with,Mp5g20660,Mp4g05170,1.013813721,4.77781991630177e-05,0.105753529,,GRAS,NA,,
Mp1g24140 (interacts with) Mp8g08930,interacts with,Mp1g24140,Mp8g08930,1.019306976,1.80950454620188e-09,0.034487177,,HD,NA,,
Mp5g20660 (interacts with) Mp8g16790,interacts with,Mp5g20660,Mp8g16790,1.041463083,0,0.101998027,,GRAS,NA,,
Mp1g24140 (interacts with) Mp2g02750,interacts with,Mp1g24140,Mp2g02750,1.076442742,4.77781991630177e-05,0.034443624,,HD,NA,,
Mp5g20660 (interacts with) Mp4g23700,interacts with,Mp5g20660,Mp4g23700,1.047632214,3.30563580508425e-07,0.099534563,,GRAS,NA,,
Mp1g24140 (interacts with) Mp2g21300,interacts with,Mp1g24140,Mp2g21300,1.022746701,0,0.033886826,,HD,NA,,
Mp5g20660 (interacts with) Mp6g17450,interacts with,Mp5g20660,Mp6g17450,1.041631709,0.000519722,0.099091565,,GRAS,NA,,
Mp1g24140 (interacts with) Mp1g18650,interacts with,Mp1g24140,Mp1g18650,1.011101898,0.000519722,0.033873369,,HD,NA,,
