seqnames	start	end	width	strand	Peak	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	distanceToTSS (log10)
chr1	421074	423803	2730	*	tak1-hs-merge_peak_34	Exon (Mp1g00260.1/Mp1g00260, exon 1 of 2)	2	423220	424042	823	1	Mp1g00260	0	0
chr1	428371	428919	549	*	tak1-hs-merge_peak_35	Promoter	2	429811	432222	2412	1	Mp1g00280	-892	-0.276921132065774
chr1	429080	430109	1030	*	tak1-hs-merge_peak_36	Exon (Mp1g00280.1/Mp1g00280, exon 1 of 1)	2	429811	432222	2412	1	Mp1g00280	0	0
chr1	430814	431911	1098	*	tak1-hs-merge_peak_37	Exon (Mp1g00280.1/Mp1g00280, exon 1 of 1)	2	429811	432222	2412	1	Mp1g00280	1003	0.301680949293576
chr1	433837	435335	1499	*	tak1-hs-merge_peak_38	Exon (Mp1g00290.1/Mp1g00290, exon 1 of 12)	2	434801	442223	7423	1	Mp1g00290	0	0
chr1	442941	443469	529	*	tak1-hs-merge_peak_39	Exon (Mp1g00300.1/Mp1g00300, exon 1 of 2)	2	442919	444765	1847	1	Mp1g00300	22	0.00945089579869393
chr1	445924	446783	860	*	tak1-hs-merge_peak_40	Exon (Mp1g00310.1/Mp1g00310, exon 1 of 1)	2	444766	448394	3629	1	Mp1g00310	1158	0.334051440346892
chr1	457629	458088	460	*	tak1-hs-merge_peak_41	Exon (Mp1g00320.3/Mp1g00320, exon 1 of 3)	2	457952	461638	3687	1	Mp1g00320	0	0
chr1	459709	460428	720	*	tak1-hs-merge_peak_42	Exon (Mp1g00320.3/Mp1g00320, exon 2 of 3)	2	457952	461638	3687	1	Mp1g00320	1757	0.440436766105774
chr1	475403	476179	777	*	tak1-hs-merge_peak_43	Exon (Mp1g00340.1/Mp1g00340, exon 1 of 16)	2	466858	475520	8663	2	Mp1g00340	0	0
chr1	480146	480401	256	*	tak1-hs-merge_peak_44	Exon (Mp1g00350.1/Mp1g00350, exon 1 of 8)	2	480141	483146	3006	1	Mp1g00350	5	0.00216606175650763
chr1	487575	487765	191	*	tak1-hs-merge_peak_45	Promoter	2	483653	487146	3494	2	Mp1g00360	-429	-0.15503222879097
chr1	488132	489629	1498	*	tak1-hs-merge_peak_46	Promoter	2	483653	487146	3494	2	Mp1g00360	-986	-0.297979244159362
chr1	497067	497253	187	*	tak1-hs-merge_peak_47	Exon (Mp1g00370.1/Mp1g00370, exon 1 of 13)	2	489706	497268	7563	2	Mp1g00370	15	0.00646604224923168
chr1	507574	508113	540	*	tak1-hs-merge_peak_48	Exon (Mp1g00380.1/Mp1g00380, exon 1 of 2)	2	507792	510585	2794	1	Mp1g00380	0	0
chr1	510771	511082	312	*	tak1-hs-merge_peak_49	Promoter	2	511411	513087	1677	1	Mp1g00390	-329	-0.123524980942732
chr1	511938	513082	1145	*	tak1-hs-merge_peak_50	Exon (Mp1g00390.1/Mp1g00390, exon 1 of 1)	2	511411	513087	1677	1	Mp1g00390	527	0.183839037056421
chr1	515090	515372	283	*	tak1-hs-merge_peak_51	Distal Intergenic	2	511411	513087	1677	1	Mp1g00390	3679	0.67015304519218
chr1	519249	519672	424	*	tak1-hs-merge_peak_52	Exon (Mp1g00400.1/Mp1g00400, exon 1 of 6)	2	515455	519546	4092	2	Mp1g00400	0	0
chr1	520291	520550	260	*	tak1-hs-merge_peak_53	Promoter	2	515455	519546	4092	2	Mp1g00400	-745	-0.241795431295199
chr1	525291	525770	480	*	tak1-hs-merge_peak_54	Exon (Mp1g00410.1/Mp1g00410, exon 1 of 5)	2	521894	525335	3442	2	Mp1g00410	0	0
chr1	529481	529939	459	*	tak1-hs-merge_peak_55	Exon (Mp1g00420.1/Mp1g00420, exon 1 of 9)	2	526204	529634	3431	2	Mp1g00420	0	0
chr1	534074	534710	637	*	tak1-hs-merge_peak_56	Exon (Mp1g00430.1/Mp1g00430, exon 1 of 6)	2	531467	534441	2975	2	Mp1g00430	0	0
chr1	534866	535109	244	*	tak1-hs-merge_peak_57	Promoter	2	531467	534441	2975	2	Mp1g00430	-425	-0.153814864344529
chr1	539720	540862	1143	*	tak1-hs-merge_peak_58	Distal Intergenic	2	541644	544553	2910	2	Mp1g00440	3691	0.671265432947158
chr1	540999	541172	174	*	tak1-hs-merge_peak_59	Distal Intergenic	2	541644	544553	2910	2	Mp1g00440	3381	0.641573253178175
chr1	542614	543332	719	*	tak1-hs-merge_peak_60	Exon (Mp1g00440.1/Mp1g00440, exon 1 of 1)	2	541644	544553	2910	2	Mp1g00440	1221	0.346548558548474
chr1	544252	544814	563	*	tak1-hs-merge_peak_61	Exon (Mp1g00440.1/Mp1g00440, exon 1 of 1)	2	541644	544553	2910	2	Mp1g00440	0	0
chr1	560797	561061	265	*	tak1-hs-merge_peak_62	Promoter	2	561607	564010	2404	1	Mp1g00460	-546	-0.189209489582306
chr1	561201	561717	517	*	tak1-hs-merge_peak_63	Exon (Mp1g00460.1/Mp1g00460, exon 1 of 4)	2	561607	564010	2404	1	Mp1g00460	0	0
chr1	565726	565995	270	*	tak1-hs-merge_peak_64	Exon (Mp1g00470.1/Mp1g00470, exon 1 of 3)	2	565967	568017	2051	1	Mp1g00470	0	0
chr1	566675	566912	238	*	tak1-hs-merge_peak_65	Exon (Mp1g00470.1/Mp1g00470, exon 2 of 3)	2	565967	568017	2051	1	Mp1g00470	708	0.232487866352986
chr1	571541	572089	549	*	tak1-hs-merge_peak_66	Distal Intergenic	2	565967	568017	2051	1	Mp1g00470	5574	0.817829699745606
chr1	573488	573937	450	*	tak1-hs-merge_peak_67	Distal Intergenic	2	578946	583689	4744	1	Mp1g00480	-5009	-0.778802204013239
chr1	578681	579210	530	*	tak1-hs-merge_peak_68	Exon (Mp1g00480.1/Mp1g00480, exon 1 of 10)	2	578946	583689	4744	1	Mp1g00480	0	0
chr1	586001	586960	960	*	tak1-hs-merge_peak_69	Distal Intergenic	2	587149	589656	2508	2	Mp1g00490	2696	0.567731962548069
chr1	589443	590828	1386	*	tak1-hs-merge_peak_70	Exon (Mp1g00490.1/Mp1g00490, exon 1 of 1)	2	587149	589656	2508	2	Mp1g00490	0	0
chr1	595251	597349	2099	*	tak1-hs-merge_peak_71	Exon (Mp1g00500.1/Mp1g00500, exon 1 of 2)	2	596944	598069	1126	1	Mp1g00500	0	0
chr1	597481	597662	182	*	tak1-hs-merge_peak_72	Exon (Mp1g00500.1/Mp1g00500, exon 2 of 2)	2	596944	598069	1126	1	Mp1g00500	537	0.186673867499745
chr1	598031	598309	279	*	tak1-hs-merge_peak_73	Exon (Mp1g00500.1/Mp1g00500, exon 2 of 2)	2	596944	598069	1126	1	Mp1g00500	1087	0.319522449065454
chr1	598704	599125	422	*	tak1-hs-merge_peak_74	Distal Intergenic	2	596944	598069	1126	1	Mp1g00500	1760	0.440909082065218
chr1	599520	600013	494	*	tak1-hs-merge_peak_75	Distal Intergenic	2	596944	598069	1126	1	Mp1g00500	2576	0.55339751012388
chr1	609962	610660	699	*	tak1-hs-merge_peak_76	Exon (Mp1g00510.1/Mp1g00510, exon 1 of 2)	2	607990	610177	2188	2	Mp1g00510	0	0
chr1	622500	622912	413	*	tak1-hs-merge_peak_77	Exon (Mp1g00530.1/Mp1g00530, exon 1 of 4)	2	619632	622747	3116	2	Mp1g00530	0	0
chr1	630356	630615	260	*	tak1-hs-merge_peak_78	Distal Intergenic	2	631306	632748	1443	2	Mp1g00540	2133	0.495960394881705
chr1	632724	632890	167	*	tak1-hs-merge_peak_79	Exon (Mp1g00540.1/Mp1g00540, exon 1 of 4)	2	631306	632748	1443	2	Mp1g00540	0	0
chr1	633332	634204	873	*	tak1-hs-merge_peak_80	Exon (Mp1g00550.1/Mp1g00550, exon 12 of 12)	2	631306	632748	1443	2	Mp1g00540	-584	-0.199755177253475
chr1	639764	640838	1075	*	tak1-hs-merge_peak_81	Exon (Mp1g00550.1/Mp1g00550, exon 1 of 12)	2	633799	640088	6290	2	Mp1g00550	0	0
chr1	641391	642384	994	*	tak1-hs-merge_peak_82	Exon (Mp1g00560.1/Mp1g00560, exon 1 of 10)	2	642154	647568	5415	1	Mp1g00560	0	0
chr1	647467	649214	1748	*	tak1-hs-merge_peak_83	Exon (Mp1g00560.1/Mp1g00560, exon 10 of 10)	2	642154	647568	5415	1	Mp1g00560	5313	0.800235789327354
chr1	670273	670542	270	*	tak1-hs-merge_peak_84	Distal Intergenic	2	671825	675291	3467	2	Mp1g00580	4749	0.759592308645975
chr1	674147	675923	1777	*	tak1-hs-merge_peak_85	Exon (Mp1g00580.1/Mp1g00580, exon 1 of 2)	2	671825	675291	3467	2	Mp1g00580	0	0
chr1	679264	679501	238	*	tak1-hs-merge_peak_86	Distal Intergenic	2	682517	683075	559	1	Mp1g00590	-3016	-0.603793704136963
chr1	681003	681204	202	*	tak1-hs-merge_peak_87	Promoter	2	682517	683075	559	1	Mp1g00590	-1313	-0.364175632770619
chr1	681953	683184	1232	*	tak1-hs-merge_peak_88	Exon (Mp1g00590.1/Mp1g00590, exon 1 of 2)	2	682517	683075	559	1	Mp1g00590	0	0
chr1	690106	691211	1106	*	tak1-hs-merge_peak_89	Exon (Mp1g00610.1/Mp1g00610, exon 1 of 1)	2	689990	690832	843	1	Mp1g00610	116	0.04766419460156
chr1	693080	693997	918	*	tak1-hs-merge_peak_90	Distal Intergenic	2	689990	690832	843	1	Mp1g00610	3090	0.611723308007342
chr1	696800	698741	1942	*	tak1-hs-merge_peak_91	Promoter	2	699802	703203	3402	1	Mp1g00620	-1061	-0.314077991779213
chr1	699126	700408	1283	*	tak1-hs-merge_peak_92	Exon (Mp1g00620.1/Mp1g00620, exon 1 of 4)	2	699802	703203	3402	1	Mp1g00620	0	0
chr1	703589	704691	1103	*	tak1-hs-merge_peak_93	Exon (Mp1g00630.1/Mp1g00630, exon 1 of 6)	2	704649	708058	3410	1	Mp1g00630	0	0
chr1	714212	714776	565	*	tak1-hs-merge_peak_94	Exon (Mp1g00640.3/Mp1g00640, exon 1 of 13)	2	714512	721860	7349	1	Mp1g00640	0	0
chr1	728343	728470	128	*	tak1-hs-merge_peak_95	Promoter	2	728501	731154	2654	1	Mp1g00650	-31	-0.0132586652835165
chr1	728623	728744	122	*	tak1-hs-merge_peak_96	Exon (Mp1g00650.1/Mp1g00650, exon 1 of 3)	2	728501	731154	2654	1	Mp1g00650	122	0.0499928569201426
chr1	733706	733924	219	*	tak1-hs-merge_peak_97	Exon (Mp1g00660.1/Mp1g00660, exon 3 of 4)	2	734553	734633	81	1	Mp1g00673a	-629	-0.211921084308509
chr1	734392	735049	658	*	tak1-hs-merge_peak_98	Exon (Mp1g00673a.1/Mp1g00673a, exon 1 of 1)	2	734553	734633	81	1	Mp1g00673a	0	0
chr1	738002	738132	131	*	tak1-hs-merge_peak_99	Promoter	2	739177	739201	25	2	Mp1g00675	1069	0.315760490665735
chr1	739667	740100	434	*	tak1-hs-merge_peak_100	Promoter	2	739177	739201	25	2	Mp1g00675	-466	-0.166133970305109
chr1	740711	740922	212	*	tak1-hs-merge_peak_101	Distal Intergenic	2	739177	739201	25	2	Mp1g00675	-1510	-0.399673721481038
chr1	744968	745228	261	*	tak1-hs-merge_peak_102	Exon (Mp1g00680.1/Mp1g00680, exon 1 of 12)	2	740924	745086	4163	2	Mp1g00680	0	0
chr1	751093	751422	330	*	tak1-hs-merge_peak_103	Exon (Mp1g00690.1/Mp1g00690, exon 1 of 8)	2	751207	755063	3857	1	Mp1g00690	0	0
chr1	755552	756283	732	*	tak1-hs-merge_peak_104	Distal Intergenic	2	751207	755063	3857	1	Mp1g00690	4345	0.727947709544797
chr1	757109	757842	734	*	tak1-hs-merge_peak_105	Distal Intergenic	2	751207	755063	3857	1	Mp1g00690	5902	0.838974954955468
chr1	760207	761174	968	*	tak1-hs-merge_peak_106	Distal Intergenic	2	764121	767293	3173	1	Mp1g00700	-2947	-0.596267126395515
chr1	761471	761752	282	*	tak1-hs-merge_peak_107	Distal Intergenic	2	764121	767293	3173	1	Mp1g00700	-2369	-0.52750101098112
chr1	763061	764109	1049	*	tak1-hs-merge_peak_108	Promoter	2	764121	767293	3173	1	Mp1g00700	-12	-0.00518051250378031
chr1	766807	767153	347	*	tak1-hs-merge_peak_109	Exon (Mp1g00700.1/Mp1g00700, exon 1 of 1)	2	764121	767293	3173	1	Mp1g00700	2686	0.566555330883055
chr1	768134	768867	734	*	tak1-hs-merge_peak_110	Distal Intergenic	2	764121	767293	3173	1	Mp1g00700	4013	0.700097704613054
chr1	770265	770972	708	*	tak1-hs-merge_peak_111	Distal Intergenic	2	771459	774012	2554	2	Mp1g00710	3040	0.606381365110605
chr1	773827	774443	617	*	tak1-hs-merge_peak_112	Exon (Mp1g00710.1/Mp1g00710, exon 1 of 7)	2	771459	774012	2554	2	Mp1g00710	0	0
chr1	793972	795455	1484	*	tak1-hs-merge_peak_113	Exon (Mp1g00740.1/Mp1g00740, exon 1 of 1)	2	794020	794355	336	1	Mp1g00740	0	0
chr1	823688	824238	551	*	tak1-hs-merge_peak_114	Distal Intergenic	2	825832	830976	5145	2	Mp1g00760	6738	0.888628725385226
chr1	825694	826359	666	*	tak1-hs-merge_peak_115	Exon (Mp1g00760.1/Mp1g00760, exon 3 of 3)	2	825832	830976	5145	2	Mp1g00760	4617	0.749504423876142
chr1	826558	828262	1705	*	tak1-hs-merge_peak_116	Exon (Mp1g00760.1/Mp1g00760, exon 2 of 3)	2	825832	830976	5145	2	Mp1g00760	2714	0.569841899403762
chr1	828530	828713	184	*	tak1-hs-merge_peak_117	Intron (Mp1g00760.1/Mp1g00760, intron 1 of 2)	2	825832	830976	5145	2	Mp1g00760	2263	0.513617073787875
chr1	829018	830243	1226	*	tak1-hs-merge_peak_118	Intron (Mp1g00760.1/Mp1g00760, intron 1 of 2)	2	825832	830976	5145	2	Mp1g00760	733	0.238798562713917
chr1	836829	838627	1799	*	tak1-hs-merge_peak_119	Exon (Mp1g00770.2/Mp1g00770, exon 1 of 2)	2	833612	837027	3416	2	Mp1g00770	0	0
chr1	841526	843436	1911	*	tak1-hs-merge_peak_120	Promoter	2	841118	841351	234	2	Mp1g00780	-175	-0.0700378666077551
chr1	844554	845026	473	*	tak1-hs-merge_peak_121	Promoter	2	845296	846961	1666	1	Mp1g00790	-270	-0.103803720955957
chr1	845157	845312	156	*	tak1-hs-merge_peak_122	Exon (Mp1g00790.1/Mp1g00790, exon 1 of 2)	2	845296	846961	1666	1	Mp1g00790	0	0
chr1	847342	849505	2164	*	tak1-hs-merge_peak_123	Distal Intergenic	2	845296	846961	1666	1	Mp1g00790	2046	0.483729899000024
chr1	850575	851039	465	*	tak1-hs-merge_peak_124	Distal Intergenic	2	845296	846961	1666	1	Mp1g00790	5279	0.797890483058349
chr1	856173	856363	191	*	tak1-hs-merge_peak_125	Promoter	2	857542	859403	1862	1	Mp1g00800	-1179	-0.338257230246256
chr1	856483	858547	2065	*	tak1-hs-merge_peak_126	Exon (Mp1g00800.1/Mp1g00800, exon 1 of 1)	2	857542	859403	1862	1	Mp1g00800	0	0
chr1	862574	863139	566	*	tak1-hs-merge_peak_127	Exon (Mp1g00810.1/Mp1g00810, exon 1 of 3)	2	859731	862697	2967	2	Mp1g00810	0	0
chr1	866674	866828	155	*	tak1-hs-merge_peak_128	Distal Intergenic	2	859731	862697	2967	2	Mp1g00810	-3977	-0.696967640744023
chr1	874065	874990	926	*	tak1-hs-merge_peak_129	Exon (Mp1g00830.1/Mp1g00830, exon 1 of 13)	2	867199	874443	7245	2	Mp1g00820	0	0
chr1	882972	883335	364	*	tak1-hs-merge_peak_130	Exon (Mp1g00840.1/Mp1g00840, exon 1 of 20)	2	883052	892724	9673	1	Mp1g00840	0	0
chr1	892852	894204	1353	*	tak1-hs-merge_peak_131	Downstream (<=300bp)	2	898378	907978	9601	1	Mp1g00850	-4174	-0.713826424380525
chr1	894678	895146	469	*	tak1-hs-merge_peak_132	Distal Intergenic	2	898378	907978	9601	1	Mp1g00850	-3232	-0.626545659027129
chr1	897952	899052	1101	*	tak1-hs-merge_peak_133	Exon (Mp1g00850.2/Mp1g00850, exon 1 of 21)	2	898378	907978	9601	1	Mp1g00850	0	0
chr1	908234	908426	193	*	tak1-hs-merge_peak_134	Downstream (<=300bp)	2	898378	907978	9601	1	Mp1g00850	9856	1.03566983465168
chr1	909400	909952	553	*	tak1-hs-merge_peak_135	Distal Intergenic	2	898378	907978	9601	1	Mp1g00850	11022	1.0799767236326
chr1	919089	919558	470	*	tak1-hs-merge_peak_136	Distal Intergenic	2	937126	937488	363	1	Mp1g00870	-17568	-1.26876512744786
chr1	935321	937716	2396	*	tak1-hs-merge_peak_137	Exon (Mp1g00870.1/Mp1g00870, exon 1 of 1)	2	937126	937488	363	1	Mp1g00870	0	0
chr1	950885	951474	590	*	tak1-hs-merge_peak_138	Exon (Mp1g00890.1/Mp1g00890, exon 1 of 1)	2	951040	951503	464	2	Mp1g00890	29	0.0124153747624329
chr1	965918	966142	225	*	tak1-hs-merge_peak_139	Exon (Mp1g00910.2/Mp1g00910, exon 1 of 4)	2	963478	966128	2651	2	Mp1g00910	0	0
chr1	997298	997609	312	*	tak1-hs-merge_peak_140	Distal Intergenic	2	997691	1000652	2962	2	Mp1g00920	3043	0.606703741333674
chr1	997751	997886	136	*	tak1-hs-merge_peak_141	Exon (Mp1g00920.3/Mp1g00920, exon 2 of 2)	2	997691	1000652	2962	2	Mp1g00920	2766	0.575880315680646
chr1	1000044	1001386	1343	*	tak1-hs-merge_peak_142	Exon (Mp1g00920.3/Mp1g00920, exon 1 of 2)	2	997691	1000652	2962	2	Mp1g00920	0	0
chr1	1001577	1001910	334	*	tak1-hs-merge_peak_143	Promoter	2	997691	1000652	2962	2	Mp1g00920	-925	-0.28443073384452
chr1	1004963	1007570	2608	*	tak1-hs-merge_peak_144	Distal Intergenic	2	997691	1000652	2962	2	Mp1g00920	-4311	-0.725176301419137
chr1	1007747	1008227	481	*	tak1-hs-merge_peak_145	Distal Intergenic	2	997691	1000652	2962	2	Mp1g00920	-7095	-0.908216853089392
chr1	1021870	1022352	483	*	tak1-hs-merge_peak_146	Distal Intergenic	2	1022677	1027237	4561	2	Mp1g00930	4885	0.769746467179453
chr1	1027143	1027377	235	*	tak1-hs-merge_peak_147	Exon (Mp1g00930.1/Mp1g00930, exon 1 of 7)	2	1022677	1027237	4561	2	Mp1g00930	0	0
chr1	1068949	1069456	508	*	tak1-hs-merge_peak_148	Exon (Mp1g00980.1/Mp1g00980, exon 3 of 3)	2	1068814	1071371	2558	2	Mp1g00980	1915	0.464638559095033
chr1	1070370	1070924	555	*	tak1-hs-merge_peak_149	Exon (Mp1g00980.1/Mp1g00980, exon 1 of 3)	2	1068814	1071371	2558	2	Mp1g00980	447	0.160468531119037
chr1	1071931	1072365	435	*	tak1-hs-merge_peak_150	Promoter	2	1068814	1071371	2558	2	Mp1g00980	-560	-0.193124598354462
chr1	1075333	1076514	1182	*	tak1-hs-merge_peak_151	Exon (Mp1g00990.1/Mp1g00990, exon 1 of 3)	2	1072677	1076155	3479	2	Mp1g00990	0	0
chr1	1123887	1124005	119	*	tak1-hs-merge_peak_152	Distal Intergenic	2	1115523	1118871	3349	2	Mp1g01000	-5016	-0.779307827583586
chr1	1129326	1129663	338	*	tak1-hs-merge_peak_153	Exon (Mp1g01010.1/Mp1g01010, exon 1 of 4)	2	1126569	1129566	2998	2	Mp1g01010	0	0
chr1	1131935	1132608	674	*	tak1-hs-merge_peak_154	Exon (Mp1g01020.1/Mp1g01020, exon 1 of 10)	2	1132398	1136858	4461	1	Mp1g01020	0	0
chr1	1142761	1144501	1741	*	tak1-hs-merge_peak_155	Distal Intergenic	2	1139153	1142415	3263	1	Mp1g01030	3608	0.663512470415156
chr1	1145434	1146098	665	*	tak1-hs-merge_peak_156	Distal Intergenic	2	1149319	1154570	5252	1	Mp1g01040	-3221	-0.625415352154408
chr1	1148157	1149738	1582	*	tak1-hs-merge_peak_157	Exon (Mp1g01040.1/Mp1g01040, exon 1 of 9)	2	1149319	1154570	5252	1	Mp1g01040	0	0
chr1	1154582	1155481	900	*	tak1-hs-merge_peak_158	Downstream (<=300bp)	2	1149319	1154570	5252	1	Mp1g01040	5263	0.796782411701308
chr1	1183944	1184870	927	*	tak1-hs-merge_peak_159	Promoter	2	1185752	1187221	1470	1	Mp1g01050	-882	-0.274619619091238
chr1	1195861	1196082	222	*	tak1-hs-merge_peak_160	Distal Intergenic	2	1193737	1194162	426	2	Mp1g01070	-1699	-0.431202884556517
chr1	1205424	1205739	316	*	tak1-hs-merge_peak_161	Exon (Mp1g01080.1/Mp1g01080, exon 1 of 14)	2	1197009	1205511	8503	2	Mp1g01080	0	0
chr1	1208435	1208750	316	*	tak1-hs-merge_peak_162	Exon (Mp1g01090.1/Mp1g01090, exon 1 of 5)	2	1208542	1213903	5362	1	Mp1g01090	0	0
chr1	1235663	1235796	134	*	tak1-hs-merge_peak_163	Promoter	2	1235811	1241404	5594	1	Mp1g01100	-15	-0.00646604224923168
chr1	1241466	1243558	2093	*	tak1-hs-merge_peak_164	Downstream (<=300bp)	2	1235811	1241404	5594	1	Mp1g01100	5655	0.823148059810694
chr1	1245471	1245698	228	*	tak1-hs-merge_peak_165	Distal Intergenic	2	1235811	1241404	5594	1	Mp1g01100	9660	1.02775720469055
chr1	1246100	1246423	324	*	tak1-hs-merge_peak_166	Distal Intergenic	2	1235811	1241404	5594	1	Mp1g01100	10289	1.05265547303953
chr1	1248386	1248590	205	*	tak1-hs-merge_peak_167	Distal Intergenic	2	1235811	1241404	5594	1	Mp1g01100	12575	1.13273983826088
chr1	1249897	1252009	2113	*	tak1-hs-merge_peak_168	Distal Intergenic	2	1235811	1241404	5594	1	Mp1g01100	14086	1.17857410337993
chr1	1252160	1253381	1222	*	tak1-hs-merge_peak_169	Distal Intergenic	2	1235811	1241404	5594	1	Mp1g01100	16349	1.23927444702326
chr1	1261242	1262325	1084	*	tak1-hs-merge_peak_170	Distal Intergenic	2	1279114	1283588	4475	1	Mp1g01110	-16789	-1.25015153511661
chr1	1263358	1265130	1773	*	tak1-hs-merge_peak_171	Distal Intergenic	2	1279114	1283588	4475	1	Mp1g01110	-13984	-1.17562776436718
