chr	abs_summit	pileup
chr1	1485898	45
chr1	1488596	46
chr1	1510193	50
chr1	1515820	39
chr1	1524351	58
chr1	1528138	39
chr1	1529343	32
chr1	1537142	61
chr1	1543886	27
chr1	1549030	57
chr1	1554834	27
chr1	1563295	37
chr1	1596981	30
chr1	1597528	30
chr1	1597901	43
chr1	1605631	53
chr1	1608319	48
chr1	1609703	55
chr1	1610239	38
chr1	1613506	51
chr1	1616671	39
chr1	1622729	36
chr1	1625447	49
chr1	1630822	42
chr1	1631799	40
chr1	1638365	52
chr1	1640846	68
chr1	1672719	54
chr1	1679066	50
chr1	1685290	67
chr1	1686100	43
chr1	1688494	32
chr1	1700255	35
chr1	1706258	37
chr1	1706989	38
chr1	1709059	31
chr1	1722568	34
chr1	1734503	49
chr1	1737399	51
chr1	1737897	68
chr1	1738618	37
chr1	1749789	45
chr1	1755474	30
chr1	1756424	51
chr1	1762376	33
chr1	1767146	30
chr1	1773968	41
chr1	1775064	71
chr1	1775484	42
chr1	1776248	49
chr1	1782219	68
chr1	1791363	47
chr1	1794808	46
chr1	1803855	50
chr1	1812224	34
chr1	1813214	66
chr1	1817260	35
chr1	1818263	54
chr1	1820451	33
chr1	1828887	53
chr1	1834520	33
chr1	1839852	88
chr1	1843836	65
chr1	1845441	34
chr1	1855229	34
chr1	1855672	34
chr1	1861974	43
chr1	1865712	51
chr1	1871502	182
chr1	1880896	26
chr1	1883823	37
chr1	1897213	33
chr1	1897761	52
chr1	1901299	41
chr1	1905353	56
chr1	1914760	50
chr1	1915910	36
chr1	1923294	61
chr1	1925286	33
chr1	1932869	70
chr1	1937960	52
chr1	1943388	51
chr1	1956070	29
chr1	1968299	27
chr1	1969215	26
chr1	1970499	35
chr1	1985474	27
chr1	1992758	36
chr1	2001136	33
chr1	2004667	67
chr1	2006433	53
chr1	2007455	39
chr1	2010145	36
chr1	2014212	34
chr1	2014932	43
chr1	2015915	44
chr1	2017740	38
chr1	2020414	38
chr1	2026371	55
chr1	2031676	31
chr1	2032662	64
chr1	2045732	55
chr1	2053790	45
chr1	2057581	32
chr1	2074060	53
chr1	2078911	49
chr1	2079674	44
chr1	2086713	38
chr1	2090958	43
chr1	2093407	33
chr1	2096099	38
chr1	2102029	72
chr1	2105451	34
chr1	2106351	55
chr1	2107937	39
chr1	2122486	40
chr1	2123441	40
chr1	2133058	29
chr1	2138688	39
chr1	2143856	33
chr1	2154619	45
chr1	2156848	45
chr1	2159811	45
chr1	2163727	62
chr1	2168181	45
chr1	2169312	38
chr1	2174442	74
chr1	2185276	41
chr1	2186995	38
chr1	2189851	38
chr1	2196135	34
chr1	2198905	36
chr1	2203279	26
chr1	2212131	44
chr1	2220987	35
chr1	2221558	35
chr1	2224685	47
chr1	2225228	59
chr1	2257075	31
chr1	2263626	51
chr1	2272043	43
chr1	2278023	51
chr1	2278635	49
chr1	2279122	42
chr1	2280328	69
chr1	2284681	62
chr1	2300825	44
chr1	2301203	56
chr1	2303333	43
chr1	2303864	51
chr1	2309616	33
chr1	2317429	52
chr1	2318327	46
chr1	2325043	49
chr1	2333566	37
chr1	2334733	36
chr1	2336398	34
chr1	2341102	38
chr1	2341842	62
chr1	2349806	47
chr1	2351244	73
chr1	2352007	46
chr1	2361263	50
chr1	2363003	33
chr1	2370972	49
chr1	2372788	41
chr1	2377374	45
chr1	2392962	32
chr1	2395784	41
chr1	2398294	51
chr1	2399019	45
chr1	2403154	60
chr1	2412148	184
chr1	2413329	184
chr1	2413837	181
chr1	2416096	184
chr1	2423486	60
chr1	2426285	60
chr1	2443999	34
chr1	2456113	36
chr1	2456531	47
chr1	2457046	63
chr1	2462515	83
chr1	2475139	28
chr1	2476435	38
chr1	2482003	28
chr1	2484267	80
chr1	2488846	35
chr1	2495455	35
chr1	2501968	27
chr1	2509540	37
chr1	2512299	30
chr1	2517193	39
chr1	2518271	48
chr1	2523465	34
chr1	2529092	52
chr1	2533044	62
chr1	2535506	50
chr1	2536672	35
chr1	2537980	37
chr1	2538963	49
chr1	2543091	61
chr1	2549970	31
chr1	2551775	37
chr1	2573113	26
chr1	2578235	42
chr1	2578831	55
chr1	2581186	32
chr1	2584279	46
chr1	2585445	26
chr1	2586147	23
chr1	2595086	38
chr1	2602185	41
chr1	2603169	44
chr1	2608520	58
chr1	2610642	48
chr1	2617766	29
chr1	2626211	49
chr1	2628131	39
chr1	2630499	62
chr1	2631439	43
chr1	2633544	48
chr1	2643355	61
chr1	2643962	43
chr1	2648852	35
chr1	2652297	39
chr1	2659101	80
chr1	2660369	62
chr1	2671986	36
chr1	2673166	39
chr1	2679337	62
chr1	2680405	44
chr1	2681814	48
chr1	2686012	36
chr1	2690913	39
chr1	2694641	29
chr1	2696226	40
chr1	2709573	25
chr1	2719639	26
chr1	2720623	30
chr1	2724303	28
chr1	2733913	28
chr1	2746278	25
chr1	2757341	43
chr1	2757703	32
chr1	2758241	31
chr1	2775395	42
chr1	2780478	35
chr1	2808101	38
chr1	2814512	40
chr1	2815692	49
chr1	2816283	36
chr1	2822490	39
chr1	2825347	35
chr1	2829966	56
chr1	2837347	58
chr1	2839037	46
chr1	2839386	42
chr1	2840686	49
chr1	2844006	35
chr1	2859464	69
chr1	2870990	45
chr1	2872889	33
chr1	2873404	42
chr1	2881652	44
chr1	2890055	33
chr1	2890636	42
chr1	2895068	41
chr1	2897404	40
chr1	2906124	35
chr1	2915227	47
chr1	2923711	55
chr1	2935944	37
chr1	2938521	64
chr1	2941587	43
chr1	2945829	34
chr1	2956855	51
chr1	2959374	47
chr1	2961948	42
chr1	2965145	53
chr1	2971354	55
chr1	2973609	66
chr1	2980476	47
chr1	2983472	43
chr1	2984876	66
chr1	2985669	71
chr1	2987587	70
chr1	2996051	44
chr1	2996692	60
chr1	3002887	39
chr1	3005641	59
chr1	3008603	42
chr1	3010802	43
chr1	3014001	42
chr1	3025638	41
chr1	3026963	39
chr1	3027699	64
chr1	3029177	49
chr1	3033692	43
chr1	3046873	40
chr1	3047561	66
chr1	3048165	49
chr1	3052670	38
chr1	3053636	54
chr1	3056317	38
chr1	3057738	38
chr1	3064738	36
chr1	3069229	45
chr1	3070936	39
chr1	3072550	34
chr1	3078888	31
chr1	3084684	30
chr1	3085655	28
chr1	3098704	32
chr1	3105232	52
chr1	3106170	32
chr1	3115553	32
chr1	3118983	72
chr1	3119900	52
chr1	3122850	57
chr1	3127730	50
chr1	3136817	40
chr1	3140770	33
chr1	3144646	35
chr1	3157590	34
chr1	3159799	44
chr1	3161171	47
chr1	3161676	37
chr1	3168155	42
chr1	3171616	40
chr1	3186080	28
chr1	3191408	31
chr1	3196226	75
chr1	3197746	55
chr1	3204248	61
chr1	3209293	43
chr1	3209579	30
chr1	3213761	45
chr1	3214735	39
chr1	3222421	63
chr1	3224779	46
chr1	3225945	37
chr1	3226376	42
chr1	3229527	45
chr1	3233697	81
chr1	3237144	43
chr1	3247440	29
chr1	3248894	32
chr1	3253731	29
chr1	3261187	41
chr1	3269848	26
chr1	3275813	41
chr1	3276594	53
chr1	3278140	40
chr1	3285963	35
chr1	3305464	39
chr1	3313695	67
chr1	3321842	51
chr1	3325795	38
chr1	3328905	62
chr1	3333579	77
chr1	3335123	54
chr1	3336687	54
chr1	3337686	56
chr1	3344748	34
chr1	3358544	41
chr1	3359624	35
chr1	3368897	34
chr1	3369473	47
chr1	3370347	48
chr1	3371926	41
chr1	3376138	45
chr1	3378331	58
chr1	3381971	40
chr1	3388756	49
chr1	3389956	50
chr1	3392881	32
chr1	3398351	52
chr1	3399633	31
chr1	3408115	49
chr1	3414175	50
chr1	3415496	35
chr1	3418803	39
chr1	3426193	49
chr1	3427210	46
chr1	3427644	44
chr1	3437882	32
chr1	3461868	35
chr1	3473328	25
chr1	3476915	38
chr1	3479759	45
chr1	3480348	46
chr1	3488824	34
chr1	3502849	46
chr1	3509499	30
chr1	3510057	45
chr1	3517480	34
chr1	3518258	62
chr1	3523242	71
chr1	3527236	56
chr1	3529399	50
chr1	3531380	36
chr1	3531983	39
chr1	3532366	45
chr1	3533118	49
chr1	3538451	53
chr1	3547946	47
chr1	3563762	38
chr1	3572006	40
chr1	3577199	40
chr1	3585758	49
chr1	3593275	36
chr1	3595356	37
chr1	3600311	42
chr1	3608484	39
chr1	3610325	112
chr1	3612115	36
chr1	3618277	50
chr1	3618607	24
chr1	3618864	27
chr1	3635785	64
chr1	3649805	59
chr1	3651608	42
chr1	3654561	33
chr1	3662117	38
chr1	3663086	44
chr1	3671690	30
chr1	3678405	42
chr1	3681716	44
chr1	3685702	49
chr1	3687125	53
chr1	3693792	40
chr1	3703890	43
chr1	3711864	49
chr1	3715078	55
chr1	3715802	49
chr1	3723045	39
chr1	3736430	33
chr1	3746702	27
chr1	3756392	28
chr1	3759672	49
chr1	3775932	38
chr1	3780247	47
chr1	3782316	48
chr1	3788384	49
chr1	3794809	32
chr1	3795470	35
chr1	3795908	47
chr1	3798499	34
chr1	3811777	37
chr1	3816158	40
chr1	3822752	35
chr1	3823205	58
chr1	3825968	41
chr1	3837992	35
chr1	3851467	41
chr1	3853979	45
chr1	3862286	27
chr1	3869183	184
chr1	3878949	183
chr1	3888553	41
chr1	3893487	59
chr1	3900118	73
chr1	3906331	75
chr1	3906691	58
chr1	3908638	62
chr1	3912711	38
chr1	3917932	36
chr1	3925830	49
chr1	3926956	66
chr1	3934063	32
chr1	3944461	32
chr1	3945831	60
chr1	3952234	53
chr1	3954347	48
chr1	3962367	55
chr1	3966816	46
chr1	3967163	54
chr1	3977346	33
chr1	3993557	34
chr1	3996820	31
chr1	3997749	39
chr1	4004243	35
chr1	4005862	31
chr1	4007396	34
chr1	4011393	41
chr1	4013679	35
chr1	4024518	50
chr1	4026536	49
chr1	4027775	42
chr1	4038536	35
chr1	4039132	39
chr1	4040411	45
chr1	4042899	64
chr1	4052691	47
chr1	4057706	39
chr1	4060694	37
chr1	4068751	34
chr1	4069097	35
chr1	4071033	58
chr1	4080580	39
chr1	4081565	43
chr1	4084184	48
chr1	4094029	41
chr1	4095240	48
chr1	4098456	45
chr1	4099819	35
chr1	4101760	41
chr1	4108622	29
chr1	4109286	38
chr1	4116586	41
chr1	4117378	39
chr1	4126304	52
chr1	4129727	137
chr1	4130790	55
chr1	4134480	29
chr1	4140396	30
chr1	4142438	56
chr1	4145609	30
chr1	4147201	53
chr1	4151773	50
chr1	4153964	37
chr1	4165501	46
chr1	4166051	36
chr1	4167416	42
chr1	4167798	37
chr1	4171198	54
chr1	4178274	48
chr1	4189322	49
chr1	4190781	63
chr1	4192705	49
chr1	4195707	35
chr1	4201499	32
chr1	4205839	38
chr1	4207270	52
chr1	4212063	68
chr1	4227518	28
chr1	4230637	32
chr1	4233178	37
chr1	4238258	51
chr1	4240078	56
chr1	4245123	33
chr1	4249792	39
chr1	4258049	41
chr1	4259354	32
chr1	4264024	44
chr1	4264344	35
chr1	4265344	28
chr1	4266535	49
chr1	4273391	36
chr1	4282740	43
chr1	4288517	62
chr1	4289617	41
chr1	4311180	45
chr1	4317569	42
chr1	4319663	43
chr1	4320980	51
chr1	4321610	50
chr1	4325630	40
chr1	4332488	36
chr1	4333113	38
chr1	4339375	36
chr1	4348865	112
chr1	4356716	24
chr1	4357283	26
chr1	4364697	26
chr1	4368638	59
chr1	4369124	26
chr1	4369784	49
chr1	4370138	47
chr1	4390576	21
chr1	4391107	62
chr1	4391474	41
chr1	4397085	35
chr1	4399355	55
chr1	4401375	34
chr1	4403092	31
chr1	4403492	39
chr1	4408255	53
chr1	4412571	31
chr1	4424922	63
chr1	4429617	55
chr1	4430936	64
chr1	4455266	37
chr1	4464850	36
chr1	4465622	33
chr1	4473564	35
chr1	4495880	53
chr1	4501819	86
chr1	4508447	46
chr1	4517122	40
chr1	4523362	34
chr1	4532073	32
chr1	4535133	38
chr1	4542548	32
chr1	4546162	25
chr1	4558014	35
chr1	4558533	32
chr1	4562218	64
chr1	4566290	45
chr1	4567627	35
chr1	4572839	55
chr1	4573157	40
chr1	4577004	50
chr1	4577785	42
chr1	4578557	37
chr1	4591405	42
chr1	4597976	63
chr1	4599470	41
chr1	4614370	26
chr1	4615365	31
chr1	4619059	36
chr1	4630382	36
chr1	4636498	52
chr1	4638439	40
chr1	4638733	34
chr1	4639859	40
chr1	4642893	63
chr1	4650205	31
chr1	4651818	55
chr1	4659684	31
chr1	4661905	38
chr1	4665804	45
chr1	4678777	70
chr1	4681790	61
chr1	4689858	60
chr1	4697519	41
chr1	4698486	30
chr1	4698823	42
chr1	4702211	46
chr1	4708827	64
chr1	4714774	40
chr1	4731853	50
chr1	4732978	39
chr1	4742757	42
chr1	4743735	32
chr1	4744325	57
chr1	4752329	54
chr1	4754469	38
chr1	4756217	45
chr1	4764270	36
chr1	4767690	40
chr1	4771356	46
chr1	4776865	29
chr1	4782645	60
chr1	4784034	30
chr1	4788803	47
chr1	4797885	38
chr1	4798515	32
chr1	4799390	41
chr1	4808075	63
chr1	4809671	65
chr1	4812682	34
chr1	4818576	29
chr1	4819358	44
chr1	4822411	54
chr1	4829863	41
chr1	4831164	33
chr1	4832171	39
chr1	4848437	33
chr1	4849082	29
chr1	4851970	40
chr1	4855880	55
chr1	4861426	49
chr1	4869125	47
chr1	4874305	29
chr1	4878457	48
chr1	4880301	35
chr1	4881984	43
chr1	4887995	56
chr1	4892795	54
chr1	4904087	42
chr1	4913267	39
chr1	4913738	32
chr1	4916346	36
chr1	4920740	46
chr1	4932056	62
chr1	4934910	39
chr1	4940686	61
chr1	4957498	64
chr1	4959124	34
chr1	4959815	36
chr1	4960170	33
chr1	4979492	38
chr1	4984690	42
chr1	4985075	44
chr1	4989360	46
chr1	4991315	45
chr1	4993851	54
chr1	5002005	58
chr1	5004960	44
chr1	5015784	70
chr1	5017897	38
chr1	5022589	39
chr1	5025089	38
chr1	5025934	36
chr1	5033511	33
chr1	5036163	36
chr1	5036615	36
chr1	5045340	43
chr1	5046732	39
chr1	5062308	49
chr1	5067261	78
chr1	5073298	35
chr1	5073920	38
chr1	5078067	47
chr1	5079979	36
chr1	5083857	53
chr1	5084911	40
chr1	5100803	57
chr1	5102010	34
chr1	5104830	37
chr1	5107070	38
chr1	5114068	59
chr1	5114749	42
chr1	5122213	30
chr1	5125787	40
chr1	5127103	41
chr1	5148876	42
chr1	5151499	55
chr1	5156066	137
chr1	5156715	154
chr1	5157440	46
chr1	5158712	40
chr1	5166760	27
chr1	5167011	39
chr1	5170460	30
chr1	5176127	42
chr1	5181372	42
chr1	5181812	54
chr1	5185063	56
chr1	5185511	38
chr1	5188042	44
chr1	5195404	48
chr1	5204225	42
chr1	5205675	47
chr1	5215341	44
chr1	5217571	41
chr1	5218897	47
chr1	5221233	67
chr1	5223687	53
chr1	5225603	57
chr1	5226917	37
chr1	5240434	36
chr1	5240808	46
chr1	5242636	39
chr1	5251861	43
chr1	5261027	49
chr1	5264562	39
chr1	5269348	47
chr1	5276289	56
chr1	5280746	49
chr1	5285246	38
chr1	5288308	22
chr1	5290058	29
chr1	5298408	37
chr1	5298876	34
chr1	5301330	67
chr1	5305012	25
chr1	5314823	44
chr1	5316677	44
chr1	5318440	42
chr1	5318866	45
chr1	5322121	44
chr1	5324411	42
chr1	5325831	39
chr1	5328562	70
chr1	5329960	60
chr1	5330737	53
chr1	5331993	48
chr1	5332611	47
chr1	5342216	24
chr1	5343637	28
chr1	5352457	32
chr1	5354183	26
chr1	5354523	21
chr1	5356276	38
chr1	5369701	55
chr1	5373917	59
chr1	5374475	69
chr1	5382604	39
chr1	5386481	47
chr1	5393156	48
chr1	5409166	45
chr1	5420071	32
chr1	5429878	29
chr1	5433370	40
chr1	5437290	65
chr1	5441906	32
chr1	5449794	27
chr1	5457490	43
chr1	5467061	35
chr1	5482439	35
chr1	5483458	50
chr1	5485513	42
chr1	5491642	57
chr1	5493209	49
chr1	5495532	38
chr1	5496068	29
chr1	5506358	28
chr1	5515314	46
chr1	5518006	40
chr1	5527724	90
chr1	5529353	48
chr1	5529806	52
chr1	5534368	64
chr1	5537928	50
chr1	5542922	35
chr1	5550461	43
chr1	5554496	68
chr1	5557720	144
chr1	5562571	39
chr1	5563891	46
chr1	5564947	61
chr1	5565918	35
chr1	5570511	36
chr1	5571016	38
chr1	5573432	38
chr1	5578865	45
chr1	5581842	49
chr1	5585673	46
chr1	5590845	40
chr1	5593101	39
chr1	5601303	54
chr1	5604177	48
chr1	5605307	24
chr1	5620309	43
chr1	5621748	74
chr1	5627434	43
chr1	5641612	47
chr1	5647507	44
chr1	5649082	46
chr1	5651928	38
chr1	5654379	37
chr1	5661991	30
chr1	5662580	49
chr1	5667638	39
chr1	5668743	35
chr1	5677811	31
chr1	5685152	48
chr1	5693774	32
chr1	5707435	59
chr1	5708037	37
chr1	5709200	37
chr1	5716238	45
chr1	5721267	54
chr1	5727494	31
chr1	5729980	25
chr1	5731844	61
chr1	5733063	88
chr1	5733689	81
chr1	5750519	41
chr1	5765553	184
chr1	5773467	43
chr1	5774828	45
chr1	5775266	55
chr1	5775813	45
chr1	5779937	47
chr1	5782064	42
chr1	5782442	83
chr1	5789121	29
chr1	5791740	40
chr1	5792080	27
chr1	5803489	39
chr1	5804201	68
chr1	5815327	40
chr1	5817485	52
chr1	5846026	53
chr1	5854480	40
chr1	5857119	68
chr1	5865302	21
chr1	5867683	30
chr1	5872421	30
chr1	5874994	35
chr1	5879624	44
chr1	5883244	38
chr1	5884422	34
chr1	5884822	63
chr1	5887520	39
chr1	5889112	53
chr1	5889567	48
chr1	5909983	33
chr1	5916791	38
chr1	5921227	62
chr1	5922580	48
chr1	5929022	44
chr1	5945403	87
chr1	5946721	43
chr1	5958214	36
chr1	5959215	36
chr1	5959526	48
chr1	5963735	41
chr1	5967532	52
chr1	5972366	49
chr1	5973335	30
chr1	5981904	54
chr1	5986121	56
chr1	5986972	48
chr1	5987472	42
chr1	5989554	51
chr1	5990193	48
chr1	5993606	47
chr1	6000570	39
chr1	6001047	41
chr1	6002724	32
chr1	6008595	59
chr1	6012251	40
chr1	6013549	30
chr1	6014653	44
chr1	6019164	48
chr1	6019788	48
chr1	6028565	50
chr1	6029247	53
chr1	6036101	38
chr1	6041675	50
chr1	6043427	45
chr1	6044442	38
chr1	6064116	34
chr1	6065746	46
chr1	6072579	39
chr1	6073167	42
chr1	6075300	45
chr1	6075899	35
chr1	6077442	63
chr1	6078957	64
chr1	6081073	64
chr1	6084330	60
chr1	6088341	38
chr1	6090373	45
chr1	6096309	44
chr1	6097934	45
chr1	6100103	41
chr1	6112810	42
chr1	6114035	41
chr1	6116201	40
chr1	6123803	27
chr1	6126345	45
chr1	6129782	40
chr1	6133246	41
chr1	6136387	37
chr1	6137496	45
chr1	6138864	41
chr1	6148216	40
chr1	6153236	55
chr1	6161661	58
chr1	6165510	38
chr1	6166046	50
chr1	6176795	36
chr1	6181913	39
chr1	6182306	40
chr1	6184065	36
chr1	6185141	37
chr1	6190581	33
chr1	6199422	22
chr1	6209364	29
chr1	6210665	53
chr1	6211615	28
chr1	6222520	29
chr1	6225885	31
chr1	6228975	34
chr1	6236255	76
chr1	6242795	55
chr1	6249647	71
chr1	6253081	53
chr1	6254794	50
chr1	6255575	46
chr1	6264131	49
chr1	6275688	59
chr1	6276706	70
chr1	6278116	40
chr1	6283327	46
chr1	6284403	62
chr1	6285470	56
chr1	6287593	51
chr1	6292325	32
chr1	6298872	28
chr1	6301109	61
chr1	6305752	47
chr1	6307353	45
chr1	6308596	48
chr1	6313593	37
chr1	6326111	63
chr1	6330337	48
chr1	6333246	38
chr1	6339759	37
chr1	6353301	27
chr1	6355051	42
chr1	6362106	55
chr1	6362584	42
chr1	6363560	38
chr1	6366497	44
chr1	6370917	39
chr1	6386334	42
chr1	6387516	38
chr1	6395192	81
chr1	6400324	25
chr1	6402049	36
chr1	6410712	27
chr1	6421382	40
chr1	6427579	27
chr1	6435535	28
chr1	6443305	52
chr1	6445751	45
chr1	6446588	59
chr1	6460453	48
chr1	6463205	41
chr1	6475975	49
chr1	6477454	41
chr1	6479368	43
chr1	6484453	52
chr1	6486621	39
chr1	6487820	63
chr1	6493872	37
chr1	6497601	46
chr1	6498731	31
chr1	6501672	43
chr1	6502769	52
chr1	6505738	180
chr1	6507242	44
chr1	6510383	43
chr1	6515199	40
chr1	6526112	39
chr1	6527586	42
chr1	6531651	39
chr1	6533409	40
chr1	6537083	37
chr1	6538373	36
chr1	6539750	30
chr1	6541347	33
chr1	6566028	57
chr1	6567977	45
chr1	6571345	66
chr1	6574119	38
chr1	6576985	33
chr1	6579511	79
chr1	6585185	27
chr1	6592099	33
chr1	6595937	31
chr1	6605221	53
chr1	6609919	55
chr1	6622038	36
chr1	6623828	45
chr1	6629735	41
chr1	6639357	28
chr1	6647908	62
chr1	6656064	39
chr1	6660192	33
chr1	6664742	39
chr1	6674196	39
chr1	6674997	63
chr1	6677060	42
chr1	6684360	31
chr1	6685318	48
chr1	6686697	65
chr1	6687850	57
chr1	6694425	52
chr1	6700346	73
chr1	6706743	32
chr1	6709897	46
chr1	6713847	43
chr1	6716144	57
chr1	6719616	45
chr1	6728049	26
chr1	6735792	49
chr1	6746322	41
chr1	6751417	43
chr1	6762003	37
chr1	6763587	33
chr1	6764801	43
chr1	6769345	68
chr1	6772124	33
chr1	6773301	34
chr1	6775158	25
chr1	6775558	57
chr1	6776571	24
chr1	6785277	65
chr1	6786285	35
chr1	6795460	38
chr1	6805496	44
chr1	6809056	37
chr1	6814599	47
chr1	6815907	48
chr1	6816641	50
chr1	6818873	32
chr1	6824042	70
chr1	6830789	58
chr1	6831161	30
chr1	6832881	80
chr1	6835044	39
chr1	6838234	38
chr1	6841492	54
chr1	6841883	79
chr1	6843106	41
chr1	6847686	43
chr1	6848686	50
chr1	6852500	44
chr1	6853120	39
chr1	6853800	44
chr1	6858627	60
chr1	6858994	56
chr1	6863990	38
chr1	6866703	50
chr1	6880366	48
chr1	6881254	70
chr1	6882004	47
chr1	6883106	60
chr1	6892045	38
chr1	6897562	37
chr1	6906658	29
chr1	6912460	37
chr1	6919893	61
chr1	6925293	54
chr1	6927055	54
chr1	6938085	31
chr1	6946104	52
chr1	6949054	35
chr1	6957382	36
chr1	6959175	50
chr1	6964516	167
chr1	6967467	47
chr1	6974155	38
chr1	6983385	41
chr1	6993155	44
chr1	7004906	27
chr1	7018760	52
chr1	7019761	46
chr1	7024541	42
chr1	7030259	54
chr1	7031176	42
chr1	7035204	33
chr1	7035971	59
chr1	7048421	29
chr1	7053631	62
chr1	7062527	68
chr1	7063174	36
chr1	7080551	50
chr1	7083696	39
chr1	7088950	30
chr1	7104937	53
chr1	7105774	32
chr1	7106206	31
chr1	7113773	48
chr1	7119633	55
chr1	7120958	37
chr1	7127783	33
