peak	cluster
chr4.16024637.16024722	C1
chr4.16113457.16114280	C3
chr4.16551525.16551617	C2
chr4.16599798.16600574	C3
chr4.16657580.16657669	C1
chr4.16798645.16798741	C2
chr4.17116702.17117056	C1
chr4.18077727.18077901	C4
chr4.18280277.18280509	C3
chr4.18366470.18366539	C4
chr4.18886077.18886203	C4
chr4.19376166.19376613	C3
chr4.19607282.19607515	C1
chr4.20061569.20061675	C3
chr4.20247875.20248035	C1
chr4.20684283.20684347	C1
chr4.20721395.20721594	C1
chr4.21096445.21096557	C1
chr4.21794870.21795172	C5
chr4.22635311.22635485	C5
chr4.22685401.22685465	C4
chr4.22703701.22703893	C5
chr4.23299440.23299521	C5
chr4.23678559.23679577	C4
chr4.23680440.23680725	C4
chr4.23699977.23700069	C1
chr4.23927925.23928328	C3
chr4.23974272.23974462	C4
chr4.24722342.24722410	C1
chr4.24722509.24722611	C1
chr4.24733587.24733686	C2
chr4.25118323.25118595	C1
chr4.26219675.26219945	C4
chr4.26269243.26269436	C1
chr4.26696345.26696461	C3
chr4.26740246.26740317	C1
chr4.26866910.26867441	C5
chr5.72403.72612	C5
chr5.796124.796221	C1
chr5.1260862.1260968	C1
chr5.1302900.1302962	C1
chr5.2473874.2473947	C3
chr5.2576788.2576864	C1
chr5.2845922.2846092	C4
chr5.3152194.3152676	C1
chr5.3152821.3153289	C1
chr5.3153534.3153919	C1
chr5.3489335.3489585	C1
chr5.3498331.3498402	C4
chr5.4768166.4768245	C1
chr5.4954409.4954527	C4
chr5.5104616.5104965	C5
chr5.5664570.5664655	C3
chr5.5779437.5779548	C3
chr5.6197098.6197192	C2
chr5.6396594.6397006	C3
chr5.7116260.7116507	C1
chr5.7124302.7124491	C1
chr5.7124554.7124840	C1
chr5.7124929.7125001	C1
chr5.7147103.7147888	C1
chr5.7148105.7148223	C1
chr5.7148298.7148400	C1
chr5.7630845.7630966	C1
chr5.7632229.7632369	C1
chr5.7676555.7676836	C1
chr5.7676930.7677029	C1
chr5.7677150.7677344	C1
chr5.8166492.8166555	C1
chr5.8743657.8743816	C5
chr5.8850760.8851569	C1
chr5.8956033.8956340	C3
chr5.9487484.9487554	C3
chr5.9662102.9662240	C3
chr5.9929362.9929478	C4
chr5.10299240.10299886	C1
chr5.10621241.10621321	C1
chr5.10748518.10748606	C1
chr5.11534726.11534821	C1
chr5.11700055.11700145	C1
chr5.12313741.12313810	C3
chr5.12702471.12702688	C3
chr5.12977266.12977378	C3
chr5.13175307.13175520	C2
chr5.14064066.14064243	C1
chr5.14065446.14065538	C1
chr5.14065691.14065879	C1
chr5.14247496.14247656	C1
chr5.14333881.14333972	C3
chr5.14501207.14501275	C3
chr5.14609462.14609626	C5
chr5.15945466.15945538	C3
chr5.15945667.15945740	C3
chr5.15945802.15947127	C3
chr5.15947847.15948099	C1
chr5.16035191.16035448	C1
chr5.16847947.16848031	C1
chr5.16867211.16867295	C2
chr5.16875375.16875465	C1
chr5.17303572.17303658	C4
chr5.17487266.17487444	C1
chr5.17537925.17538142	C3
chr5.17595428.17595559	C1
chr5.17739922.17739996	C2
chr5.17744520.17744607	C3
chr5.17918350.17918492	C4
chr5.18584121.18584198	C1
chr5.18966980.18967155	C3
chr5.19773854.19773936	C3
chr5.19927398.19927537	C4
chr5.20217945.20218211	C3
chr5.20317884.20318014	C2
chr5.21270655.21271042	C3
chr5.21901254.21901355	C5
chr5.22767256.22768169	C5
chr5.23098107.23098182	C1
chr5.23540751.23540995	C1
chr5.24503619.24503709	C5
chr5.24811924.24811993	C1
chr5.24889839.24890115	C5
chr5.25192794.25192911	C5
chr5.25982419.25982503	C3
chr5.26154854.26154919	C3
chr5.26307722.26308319	C1
chr6.66185.66357	C1
chr6.818755.818940	C1
chr6.2079118.2079198	C1
chr6.2616903.2616977	C1
chr6.2631658.2631856	C1
chr6.4109967.4110052	C3
chr6.4553552.4553619	C4
chr6.4560716.4561020	C3
chr6.5306478.5306667	C3
chr6.5428558.5428790	C3
chr6.5463189.5463282	C3
chr6.6129442.6129507	C1
chr6.6582465.6582612	C5
chr6.7264171.7264268	C1
chr6.7265584.7265858	C1
chr6.7376378.7376606	C3
chr6.7473229.7473442	C3
chr6.7983215.7983427	C5
chr6.8359214.8359440	C3
chr6.8689146.8689666	C3
chr6.8689742.8690233	C3
chr6.9807362.9807424	C1
chr6.11773711.11773801	C1
chr6.12117920.12117996	C3
chr6.12379388.12379462	C3
chr6.12379772.12379942	C3
chr6.13087521.13087853	C3
chr6.13728676.13728862	C4
chr6.14134418.14135020	C3
chr6.15265557.15265624	C1
chr6.15411244.15411372	C3
chr6.15422736.15422845	C4
chr6.15463800.15463938	C3
chr6.15603366.15603444	C4
chr6.16801490.16801555	C2
chr6.16805898.16806109	C5
chr6.16818225.16818725	C3
chr6.17137275.17137341	C1
chr6.17332407.17332840	C4
chr6.17333026.17333222	C4
chr6.18380151.18380427	C3
chr6.18632124.18632236	C3
chr6.18775801.18775875	C1
chr6.19094148.19094318	C1
chr6.19274981.19275104	C5
chr6.19363595.19363658	C1
chr6.19543539.19543618	C2
chr6.20644037.20644345	C1
chr6.20718845.20719175	C3
chr6.20735818.20735915	C4
chr6.21109297.21109642	C4
chr6.21566565.21566753	C3
chr6.21806332.21806510	C1
chr6.22678282.22678478	C1
chr7.776185.776333	C4
chr7.960765.960828	C1
chr7.975849.975967	C1
chr7.976066.976252	C1
chr7.980034.980102	C4
chr7.980207.980377	C4
chr7.2583745.2583822	C1
chr7.2583978.2584049	C1
chr7.2585148.2585261	C1
chr7.2585520.2586447	C1
chr7.2586744.2587252	C2
chr7.2613602.2613680	C4
chr7.2831450.2831553	C3
chr7.2993943.2994533	C5
chr7.3002953.3003042	C4
chr7.3065519.3065598	C4
chr7.3501523.3501591	C5
chr7.3505629.3506013	C1
chr7.4080325.4080395	C3
chr7.4946884.4946996	C1
chr7.4953099.4953191	C1
chr7.5266548.5266638	C4
chr7.5586024.5586711	C1
chr7.5598722.5598792	C1
chr7.6340120.6340191	C1
chr7.6837657.6837895	C1
chr7.6900585.6900680	C1
chr7.6900875.6900941	C1
chr7.6969135.6969259	C1
chr7.7391325.7391443	C5
chr7.7401046.7401197	C3
chr7.7979876.7979988	C4
chr7.8181261.8181426	C4
chr7.8816431.8816511	C4
chr7.8817366.8817605	C4
chr7.10250416.10250496	C4
chr7.12078906.12079175	C3
chr7.12300963.12301038	C4
chr7.12327270.12327713	C3
chr7.12855395.12855475	C5
chr7.13090843.13090929	C4
chr7.13675574.13675926	C4
chr7.14227745.14227989	C3
chr7.14264153.14264243	C3
chr7.15003658.15003806	C1
chr7.15596975.15597154	C1
chr7.16067597.16067961	C4
chr7.16482562.16482625	C4
chr7.16493086.16493161	C1
chr7.17101699.17101995	C4
chr7.17191798.17191892	C2
chr7.17257842.17258186	C5
chr7.17298580.17298915	C1
chr7.17299631.17299702	C1
chr7.17955225.17955522	C3
chr7.17955657.17956061	C3
chr7.18303706.18303806	C3
chr7.18951935.18952013	C5
chr7.19911061.19911139	C4
chr7.19911263.19911384	C4
chr7.19911696.19911849	C4
chr7.19912095.19912514	C4
chr7.20694549.20695066	C3
chr7.20817395.20817582	C1
chr7.20930220.20930710	C5
chr7.20963043.20963137	C3
chr7.21172510.21172790	C1
chr7.21172896.21173016	C1
chr7.21433825.21433934	C4
chr7.21435215.21435419	C3
chr7.21441826.21442001	C3
chr7.21559871.21559964	C5
chr7.21560165.21560451	C5
chr8.144305.144411	C1
chr8.244485.244565	C3
chr8.326247.326471	C1
chr8.1008527.1008603	C4
chr8.1810053.1810263	C1
chr8.2761743.2762169	C4
chr8.2910716.2910857	C1
chr8.3001511.3001697	C5
chr8.3493721.3493821	C1
chr8.3621522.3621708	C4
chr8.4258921.4258987	C3
chr8.6186799.6186969	C3
chr8.6264469.6264557	C4
chr8.6825250.6825482	C4
chr8.7254225.7254342	C3
chr8.7471167.7471324	C4
chr8.7951147.7951216	C4
chr8.8742116.8742266	C3
chr8.8834764.8834830	C3
chr8.10082310.10082404	C1
chr8.10225690.10225827	C3
chr8.11102807.11102879	C3
chr8.11338420.11338484	C1
chr8.11437684.11437765	C5
chr8.11791661.11791727	C3
chr8.11797837.11797920	C3
chr8.11798089.11798273	C4
chr8.11853794.11853945	C1
chr8.11938174.11938359	C3
chr8.12097074.12097154	C3
chr8.12102770.12102867	C3
chr8.12232714.12233716	C3
chr8.12328526.12329141	C5
chr8.12391897.12392002	C4
chr8.12677164.12677304	C1
chr8.12850718.12850788	C2
chr8.13036750.13036929	C1
chr8.13894555.13894981	C1
chr8.13956239.13956326	C1
chr8.14384912.14385234	C2
chr8.14879155.14879236	C5
chr8.15313774.15313845	C1
chr8.15679193.15679321	C1
chr8.17488085.17488165	C1
chr8.17929414.17929506	C3
chr8.18187760.18188060	C5
chr8.18393418.18393493	C4
chr8.19371373.19371479	C1
chr8.19431705.19431912	C1
chr8.19616751.19616972	C3
chr8.20234818.20234905	C3
chr8.20280162.20280395	C1
chr8.20845362.20845488	C1
chr8.21310530.21311466	C2
chrV.1869354.1869489	C2
chrV.3844415.3844488	C2
chrV.4042998.4043069	C5
chrV.4189325.4189532	C2
chrV.4714256.4714379	C3
