site1_chrom	site1_start	site1_end	site1_name	site1_score	site1_strand	site2_chrom	site2_start	site2_end	site2_name	site2_score	site2_strand	site_distance	site_orientation	feature	feat_strand	feat_start	feat_end	query_name	distance	feat_anchor	feat_ovl_peak	peak_ovl_feat	relative_location	transcript_id	gene_id	site1_TF	site2_TF
3	2490992	2490999	C3_C2C2YABBY_21	1.84358	+	3	2491085	2491091	C3_ABI3VP1_7	1.93557	-	86	convergent			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
3	2491005	2491012	C3_C2C2YABBY_21	1.81325	-	3	2491062	2491068	C3_ABI3VP1_7	1.93396	+	50	divergent			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
3	2491005	2491012	C3_C2C2YABBY_21	1.81325	-	3	2491085	2491091	C3_ABI3VP1_7	1.93557	-	73	TF2-TF1			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
6	49692425	49692432	C3_C2C2YABBY_21	2.88979	+	6	49692458	49692464	C3_ABI3VP1_7	2.71316	+	26	TF1-TF2			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
6	49692425	49692432	C3_C2C2YABBY_21	2.88979	+	6	49692470	49692476	C3_ABI3VP1_7	2.16714	+	38	TF1-TF2			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
1	85181649	85181655	C3_C2H2_40	2.03901	+	1	85181703	85181709	C3_ABI3VP1_7	2.45776	+	48	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
1	85181676	85181682	C3_C2H2_40	2.21744	+	1	85181703	85181709	C3_ABI3VP1_7	2.45776	+	21	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
10	65980107	65980113	C3_C2H2_40	1.26583	+	10	65980146	65980152	C3_ABI3VP1_7	1.26583	+	33	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	2490585	2490591	C3_C2H2_40	1.57495	+	11	2490618	2490624	C3_ABI3VP1_7	1.76547	+	27	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	53805056	53805062	C3_C2H2_40	2.1859	-	11	53805102	53805108	C3_ABI3VP1_7	2.46175	-	40	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	53805056	53805062	C3_C2H2_40	2.1859	-	11	53805114	53805120	C3_ABI3VP1_7	2.67101	-	52	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	53805056	53805062	C3_C2H2_40	2.1859	-	11	53805159	53805165	C3_ABI3VP1_7	2.56168	-	97	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	53805102	53805108	C3_C2H2_40	2.46175	-	11	53805114	53805120	C3_ABI3VP1_7	2.67101	-	6	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	53805102	53805108	C3_C2H2_40	2.46175	-	11	53805159	53805165	C3_ABI3VP1_7	2.56168	-	51	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	53805114	53805120	C3_C2H2_40	2.67101	-	11	53805159	53805165	C3_ABI3VP1_7	2.56168	-	39	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	53805144	53805150	C3_C2H2_40	2.54601	+	11	53805159	53805165	C3_ABI3VP1_7	2.56168	-	9	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	57256643	57256649	C3_C2H2_40	3.24357	+	11	57256655	57256661	C3_ABI3VP1_7	3.05298	+	6	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	57257033	57257039	C3_C2H2_40	3.61174	-	11	57257116	57257122	C3_ABI3VP1_7	3.1406	+	77	divergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	57257068	57257074	C3_C2H2_40	2.79072	+	11	57257116	57257122	C3_ABI3VP1_7	3.1406	+	42	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	57257512	57257518	C3_C2H2_40	3.00599	+	11	57257613	57257619	C3_ABI3VP1_7	2.57796	-	95	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
12	6081547	6081553	C3_C2H2_40	2.70304	-	12	6081582	6081588	C3_ABI3VP1_7	2.46869	+	29	divergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
2	48792148	48792154	C3_C2H2_40	2.55373	-	2	48792197	48792203	C3_ABI3VP1_7	2.55882	-	43	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
2	48792148	48792154	C3_C2H2_40	2.55373	-	2	48792243	48792249	C3_ABI3VP1_7	2.48327	-	89	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
2	48792243	48792249	C3_C2H2_40	2.48327	-	2	48792286	48792292	C3_ABI3VP1_7	2.56375	-	37	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
2	51085940	51085946	C3_C2H2_40	2.05408	+	2	51086040	51086046	C3_ABI3VP1_7	2.83731	-	94	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
2	51086154	51086160	C3_C2H2_40	2.37095	+	2	51086191	51086197	C3_ABI3VP1_7	1.92565	-	31	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
2	51086330	51086336	C3_C2H2_40	2.68717	+	2	51086419	51086425	C3_ABI3VP1_7	2.03575	-	83	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
3	2490980	2490986	C3_C2H2_40	1.89862	+	3	2491062	2491068	C3_ABI3VP1_7	1.93396	+	76	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
3	2490980	2490986	C3_C2H2_40	1.89862	+	3	2491085	2491091	C3_ABI3VP1_7	1.93557	-	99	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
3	2490992	2490998	C3_C2H2_40	1.84358	+	3	2491062	2491068	C3_ABI3VP1_7	1.93396	+	64	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
3	2490992	2490998	C3_C2H2_40	1.84358	+	3	2491085	2491091	C3_ABI3VP1_7	1.93557	-	87	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
3	2491006	2491012	C3_C2H2_40	1.81325	-	3	2491062	2491068	C3_ABI3VP1_7	1.93396	+	50	divergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
3	2491006	2491012	C3_C2H2_40	1.81325	-	3	2491085	2491091	C3_ABI3VP1_7	1.93557	-	73	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
3	2491062	2491068	C3_C2H2_40	1.93396	+	3	2491085	2491091	C3_ABI3VP1_7	1.93557	-	17	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
6	49692425	49692431	C3_C2H2_40	2.88979	+	6	49692458	49692464	C3_ABI3VP1_7	2.71316	+	27	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
6	49692425	49692431	C3_C2H2_40	2.88979	+	6	49692470	49692476	C3_ABI3VP1_7	2.16714	+	39	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
6	49692458	49692464	C3_C2H2_40	2.71316	+	6	49692470	49692476	C3_ABI3VP1_7	2.16714	+	6	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
6	50057858	50057864	C3_C2H2_40	1.86923	+	6	50057932	50057938	C3_ABI3VP1_7	1.95806	-	68	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
7	270734	270740	C3_C2H2_40	2.01627	+	7	270741	270747	C3_ABI3VP1_7	1.94965	+	1	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
1	72693493	72693499	C3_ARF_6	2.5437	-	1	72693527	72693533	C3_AP2EREBP_62	2.52929	+	28	divergent			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	72693493	72693499	C3_ARF_6	2.5437	-	1	72693540	72693546	C3_AP2EREBP_62	2.43037	+	41	divergent			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	78804298	78804304	C3_ARF_6	1.73804	+	1	78804328	78804334	C3_AP2EREBP_62	1.74438	-	24	convergent			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	78804416	78804422	C3_ARF_6	1.8157	+	1	78804470	78804476	C3_AP2EREBP_62	1.61397	-	48	convergent			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	79839185	79839191	C3_ARF_6	1.92432	-	1	79839217	79839223	C3_AP2EREBP_62	2.08685	-	26	TF2-TF1			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	79839185	79839191	C3_ARF_6	1.92432	-	1	79839255	79839261	C3_AP2EREBP_62	2.15253	+	64	divergent			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	79839231	79839237	C3_ARF_6	2.08685	+	1	79839255	79839261	C3_AP2EREBP_62	2.15253	+	18	TF1-TF2			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	79839231	79839237	C3_ARF_6	2.08685	+	1	79839337	79839343	C3_AP2EREBP_62	2.27628	+	100	TF1-TF2			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	79839270	79839276	C3_ARF_6	2.15253	-	1	79839337	79839343	C3_AP2EREBP_62	2.27628	+	61	divergent			NA	NA		NA		NA	NA				ARF	AP2EREBP
2	48792269	48792275	C3_ARF_6	2.40759	-	2	48792325	48792331	C3_AP2EREBP_62	2.166	+	50	divergent			NA	NA		NA		NA	NA				ARF	AP2EREBP
7	66694593	66694599	C3_ARF_6	1.00026	+	7	66694626	66694632	C3_AP2EREBP_62	1.07061	+	27	TF1-TF2			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	72693494	72693500	C3_NLP_20	2.54905	+	1	72693527	72693533	C3_AP2EREBP_62	2.52929	+	27	TF1-TF2			NA	NA		NA		NA	NA				NLP	AP2EREBP
1	72693494	72693500	C3_NLP_20	2.54905	+	1	72693540	72693546	C3_AP2EREBP_62	2.43037	+	40	TF1-TF2			NA	NA		NA		NA	NA				NLP	AP2EREBP
1	78804412	78804418	C3_NLP_20	1.8157	-	1	78804470	78804476	C3_AP2EREBP_62	1.61397	-	52	TF2-TF1			NA	NA		NA		NA	NA				NLP	AP2EREBP
1	79839186	79839192	C3_NLP_20	1.89976	+	1	79839217	79839223	C3_AP2EREBP_62	2.08685	-	25	convergent			NA	NA		NA		NA	NA				NLP	AP2EREBP
1	79839186	79839192	C3_NLP_20	1.89976	+	1	79839255	79839261	C3_AP2EREBP_62	2.15253	+	63	TF1-TF2			NA	NA		NA		NA	NA				NLP	AP2EREBP
1	79839233	79839239	C3_NLP_20	2.08685	+	1	79839255	79839261	C3_AP2EREBP_62	2.15253	+	16	TF1-TF2			NA	NA		NA		NA	NA				NLP	AP2EREBP
1	79839233	79839239	C3_NLP_20	2.08685	+	1	79839337	79839343	C3_AP2EREBP_62	2.27628	+	98	TF1-TF2			NA	NA		NA		NA	NA				NLP	AP2EREBP
1	79839271	79839277	C3_NLP_20	2.15253	+	1	79839337	79839343	C3_AP2EREBP_62	2.27628	+	60	TF1-TF2			NA	NA		NA		NA	NA				NLP	AP2EREBP
11	10982381	10982387	C3_NLP_20	1.75879	-	11	10982437	10982443	C3_AP2EREBP_62	2.04833	+	50	divergent			NA	NA		NA		NA	NA				NLP	AP2EREBP
12	6081521	6081527	C3_NLP_20	2.47108	-	12	6081584	6081590	C3_AP2EREBP_62	2.42714	+	57	divergent			NA	NA		NA		NA	NA				NLP	AP2EREBP
7	66697747	66697753	C3_NLP_20	1.12178	-	7	66697767	66697773	C3_AP2EREBP_62	1.28542	+	14	divergent			NA	NA		NA		NA	NA				NLP	AP2EREBP
1	72693492	72693498	C3_Trihelix_1	2.5437	-	1	72693527	72693533	C3_AP2EREBP_62	2.52929	+	29	divergent			NA	NA		NA		NA	NA				Trihelix	AP2EREBP
1	72693492	72693498	C3_Trihelix_1	2.5437	-	1	72693540	72693546	C3_AP2EREBP_62	2.43037	+	42	divergent			NA	NA		NA		NA	NA				Trihelix	AP2EREBP
1	72693526	72693532	C3_Trihelix_1	2.54233	-	1	72693540	72693546	C3_AP2EREBP_62	2.43037	+	8	divergent			NA	NA		NA		NA	NA				Trihelix	AP2EREBP
1	79839218	79839224	C3_Trihelix_1	2.08685	+	1	79839255	79839261	C3_AP2EREBP_62	2.15253	+	31	TF1-TF2			NA	NA		NA		NA	NA				Trihelix	AP2EREBP
1	79839254	79839260	C3_Trihelix_1	2.15253	-	1	79839337	79839343	C3_AP2EREBP_62	2.27628	+	77	divergent			NA	NA		NA		NA	NA				Trihelix	AP2EREBP
11	2490619	2490625	C3_Trihelix_1	1.76547	-	11	2490626	2490632	C3_AP2EREBP_62	1.65793	+	1	divergent			NA	NA		NA		NA	NA				Trihelix	AP2EREBP
1	72693488	72693494	C3_WRKY_8	2.5437	+	1	72693527	72693533	C3_AP2EREBP_62	2.52929	+	33	TF1-TF2			NA	NA		NA		NA	NA				WRKY	AP2EREBP
1	72693488	72693494	C3_WRKY_8	2.5437	+	1	72693540	72693546	C3_AP2EREBP_62	2.43037	+	46	TF1-TF2			NA	NA		NA		NA	NA				WRKY	AP2EREBP
1	72693526	72693532	C3_WRKY_8	2.54233	+	1	72693540	72693546	C3_AP2EREBP_62	2.43037	+	8	TF1-TF2			NA	NA		NA		NA	NA				WRKY	AP2EREBP
1	79839218	79839224	C3_WRKY_8	2.08685	-	1	79839255	79839261	C3_AP2EREBP_62	2.15253	+	31	divergent			NA	NA		NA		NA	NA				WRKY	AP2EREBP
1	79839254	79839260	C3_WRKY_8	2.15253	+	1	79839337	79839343	C3_AP2EREBP_62	2.27628	+	77	TF1-TF2			NA	NA		NA		NA	NA				WRKY	AP2EREBP
11	2490619	2490625	C3_WRKY_8	1.76547	+	11	2490626	2490632	C3_AP2EREBP_62	1.65793	+	1	TF1-TF2			NA	NA		NA		NA	NA				WRKY	AP2EREBP
1	78804328	78804334	C3_AP2EREBP_62	1.74438	-	1	78804416	78804422	C3_ARF_6	1.8157	+	82	divergent			NA	NA		NA		NA	NA				AP2EREBP	ARF
1	79839217	79839223	C3_AP2EREBP_62	2.08685	-	1	79839231	79839237	C3_ARF_6	2.08685	+	8	divergent			NA	NA		NA		NA	NA				AP2EREBP	ARF
1	79839217	79839223	C3_AP2EREBP_62	2.08685	-	1	79839270	79839276	C3_ARF_6	2.15253	-	47	TF2-TF1			NA	NA		NA		NA	NA				AP2EREBP	ARF
1	79839255	79839261	C3_AP2EREBP_62	2.15253	+	1	79839270	79839276	C3_ARF_6	2.15253	-	9	convergent			NA	NA		NA		NA	NA				AP2EREBP	ARF
1	79839255	79839261	C3_AP2EREBP_62	2.15253	+	1	79839337	79839343	C3_ARF_6	2.27628	-	76	convergent			NA	NA		NA		NA	NA				AP2EREBP	ARF
11	54595590	54595596	C3_AP2EREBP_62	2.34734	-	11	54595638	54595644	C3_ARF_6	2.19807	-	42	TF2-TF1	transcript	+	54595384	54611037	query_1	209	start	1	3e-04	PeakInsideFeature	Solyc11T002134.2.ITAG5.0	Solyc11G002134.ITAG5.0	AP2EREBP	ARF
12	4634976	4634982	C3_AP2EREBP_62	0.99245	+	12	4635016	4635022	C3_ARF_6	1.49642	-	34	convergent			NA	NA		NA		NA	NA				AP2EREBP	ARF
12	6081584	6081590	C3_AP2EREBP_62	2.42714	+	12	6081628	6081634	C3_ARF_6	2.19554	-	38	convergent			NA	NA		NA		NA	NA				AP2EREBP	ARF
7	66694626	66694632	C3_AP2EREBP_62	1.07061	+	7	66694709	66694715	C3_ARF_6	1.52709	+	77	TF1-TF2			NA	NA		NA		NA	NA				AP2EREBP	ARF
7	66694626	66694632	C3_AP2EREBP_62	1.07061	+	7	66694729	66694735	C3_ARF_6	2.17843	-	97	convergent			NA	NA		NA		NA	NA				AP2EREBP	ARF
1	78804329	78804335	C3_Trihelix_1	1.74438	+	1	78804416	78804422	C3_ARF_6	1.8157	+	81	TF1-TF2			NA	NA		NA		NA	NA				Trihelix	ARF
1	79839218	79839224	C3_Trihelix_1	2.08685	+	1	79839231	79839237	C3_ARF_6	2.08685	+	7	TF1-TF2			NA	NA		NA		NA	NA				Trihelix	ARF
1	79839218	79839224	C3_Trihelix_1	2.08685	+	1	79839270	79839276	C3_ARF_6	2.15253	-	46	convergent			NA	NA		NA		NA	NA				Trihelix	ARF
1	79839254	79839260	C3_Trihelix_1	2.15253	-	1	79839270	79839276	C3_ARF_6	2.15253	-	10	TF2-TF1			NA	NA		NA		NA	NA				Trihelix	ARF
1	79839254	79839260	C3_Trihelix_1	2.15253	-	1	79839337	79839343	C3_ARF_6	2.27628	-	77	TF2-TF1			NA	NA		NA		NA	NA				Trihelix	ARF
11	54595591	54595597	C3_Trihelix_1	2.34734	+	11	54595638	54595644	C3_ARF_6	2.19807	-	41	convergent	transcript	+	54595384	54611037	query_1	210	start	1	3e-04	PeakInsideFeature	Solyc11T002134.2.ITAG5.0	Solyc11G002134.ITAG5.0	Trihelix	ARF
12	4634975	4634981	C3_Trihelix_1	0.99245	-	12	4635016	4635022	C3_ARF_6	1.49642	-	35	TF2-TF1			NA	NA		NA		NA	NA				Trihelix	ARF
12	6081583	6081589	C3_Trihelix_1	2.46869	-	12	6081628	6081634	C3_ARF_6	2.19554	-	39	TF2-TF1			NA	NA		NA		NA	NA				Trihelix	ARF
7	66694625	66694631	C3_Trihelix_1	1.07061	-	7	66694709	66694715	C3_ARF_6	1.52709	+	78	divergent			NA	NA		NA		NA	NA				Trihelix	ARF
7	66694625	66694631	C3_Trihelix_1	1.07061	-	7	66694729	66694735	C3_ARF_6	2.17843	-	98	TF2-TF1			NA	NA		NA		NA	NA				Trihelix	ARF
1	78804329	78804335	C3_WRKY_8	1.74438	-	1	78804416	78804422	C3_ARF_6	1.8157	+	81	divergent			NA	NA		NA		NA	NA				WRKY	ARF
1	79839218	79839224	C3_WRKY_8	2.08685	-	1	79839231	79839237	C3_ARF_6	2.08685	+	7	divergent			NA	NA		NA		NA	NA				WRKY	ARF
1	79839218	79839224	C3_WRKY_8	2.08685	-	1	79839270	79839276	C3_ARF_6	2.15253	-	46	TF2-TF1			NA	NA		NA		NA	NA				WRKY	ARF
1	79839254	79839260	C3_WRKY_8	2.15253	+	1	79839270	79839276	C3_ARF_6	2.15253	-	10	convergent			NA	NA		NA		NA	NA				WRKY	ARF
1	79839254	79839260	C3_WRKY_8	2.15253	+	1	79839337	79839343	C3_ARF_6	2.27628	-	77	convergent			NA	NA		NA		NA	NA				WRKY	ARF
11	54595591	54595597	C3_WRKY_8	2.34734	-	11	54595638	54595644	C3_ARF_6	2.19807	-	41	TF2-TF1	transcript	+	54595384	54611037	query_1	210	start	1	3e-04	PeakInsideFeature	Solyc11T002134.2.ITAG5.0	Solyc11G002134.ITAG5.0	WRKY	ARF
12	4634975	4634981	C3_WRKY_8	0.99245	+	12	4635016	4635022	C3_ARF_6	1.49642	-	35	convergent			NA	NA		NA		NA	NA				WRKY	ARF
12	6081583	6081589	C3_WRKY_8	2.46869	+	12	6081628	6081634	C3_ARF_6	2.19554	-	39	convergent			NA	NA		NA		NA	NA				WRKY	ARF
7	66694625	66694631	C3_WRKY_8	1.07061	+	7	66694709	66694715	C3_ARF_6	1.52709	+	78	TF1-TF2			NA	NA		NA		NA	NA				WRKY	ARF
7	66694625	66694631	C3_WRKY_8	1.07061	+	7	66694729	66694735	C3_ARF_6	2.17843	-	98	convergent			NA	NA		NA		NA	NA				WRKY	ARF
10	65980107	65980113	C3_ABI3VP1_7	1.26583	+	10	65980146	65980153	C3_C2C2YABBY_21	1.26583	+	33	TF1-TF2			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
11	12313280	12313286	C3_ABI3VP1_7	0.94451	-	11	12313299	12313306	C3_C2C2YABBY_21	1.2399	-	13	TF2-TF1			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
11	53805102	53805108	C3_ABI3VP1_7	2.46175	-	11	53805144	53805151	C3_C2C2YABBY_21	2.54601	+	36	divergent			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
11	53805114	53805120	C3_ABI3VP1_7	2.67101	-	11	53805144	53805151	C3_C2C2YABBY_21	2.54601	+	24	divergent			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
11	56485297	56485303	C3_ABI3VP1_7	2.18504	+	11	56485305	56485312	C3_C2C2YABBY_21	1.98279	+	2	TF1-TF2			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
11	57256860	57256866	C3_ABI3VP1_7	3.1901	-	11	57256903	57256910	C3_C2C2YABBY_21	3.00112	+	37	divergent			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
11	57257033	57257039	C3_ABI3VP1_7	3.61174	-	11	57257068	57257075	C3_C2C2YABBY_21	2.79072	+	29	divergent			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
11	57257512	57257518	C3_ABI3VP1_7	3.00599	+	11	57257612	57257619	C3_C2C2YABBY_21	2.61163	-	94	convergent			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
11	57257613	57257619	C3_ABI3VP1_7	2.57796	-	11	57257629	57257636	C3_C2C2YABBY_21	2.44478	+	10	divergent			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
2	7657236	7657242	C3_ABI3VP1_7	2.11769	+	2	7657316	7657323	C3_C2C2YABBY_21	1.65944	-	74	convergent			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
2	48792197	48792203	C3_ABI3VP1_7	2.55882	-	2	48792285	48792292	C3_C2C2YABBY_21	2.49989	-	82	TF2-TF1			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
2	48792243	48792249	C3_ABI3VP1_7	2.48327	-	2	48792285	48792292	C3_C2C2YABBY_21	2.49989	-	36	TF2-TF1			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
2	51085940	51085946	C3_ABI3VP1_7	2.05408	+	2	51086039	51086046	C3_C2C2YABBY_21	2.73129	-	93	convergent			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
2	51086154	51086160	C3_ABI3VP1_7	2.37095	+	2	51086190	51086197	C3_C2C2YABBY_21	1.98384	-	30	convergent			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
6	50057932	50057938	C3_ABI3VP1_7	1.95806	-	6	50057980	50057987	C3_C2C2YABBY_21	2.07669	+	42	divergent			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
7	41143885	41143891	C3_ABI3VP1_7	0.74616	-	7	41143934	41143941	C3_C2C2YABBY_21	1.50272	+	43	divergent			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
9	51174115	51174121	C3_ABI3VP1_7	1.42674	-	9	51174218	51174225	C3_C2C2YABBY_21	1.6497	+	97	divergent			NA	NA		NA		NA	NA				ABI3VP1	C2C2YABBY
1	79489782	79489788	C3_C2H2_40	1.45995	-	1	79489874	79489881	C3_C2C2YABBY_21	1.7043	-	86	TF2-TF1	transcript	-	79485751	79489648	query_1	-137	start	0	0	Upstream	Solyc01T002705.1.ITAG5.0	Solyc01G002705.ITAG5.0	C2H2	C2C2YABBY
1	85181649	85181655	C3_C2H2_40	2.03901	+	1	85181676	85181683	C3_C2C2YABBY_21	2.21744	+	21	TF1-TF2			NA	NA		NA		NA	NA				C2H2	C2C2YABBY
10	65980107	65980113	C3_C2H2_40	1.26583	+	10	65980146	65980153	C3_C2C2YABBY_21	1.26583	+	33	TF1-TF2			NA	NA		NA		NA	NA				C2H2	C2C2YABBY
11	53805056	53805062	C3_C2H2_40	2.1859	-	11	53805144	53805151	C3_C2C2YABBY_21	2.54601	+	82	divergent			NA	NA		NA		NA	NA				C2H2	C2C2YABBY
11	53805102	53805108	C3_C2H2_40	2.46175	-	11	53805144	53805151	C3_C2C2YABBY_21	2.54601	+	36	divergent			NA	NA		NA		NA	NA				C2H2	C2C2YABBY
11	53805114	53805120	C3_C2H2_40	2.67101	-	11	53805144	53805151	C3_C2C2YABBY_21	2.54601	+	24	divergent			NA	NA		NA		NA	NA				C2H2	C2C2YABBY
11	56485297	56485303	C3_C2H2_40	2.18504	+	11	56485305	56485312	C3_C2C2YABBY_21	1.98279	+	2	TF1-TF2			NA	NA		NA		NA	NA				C2H2	C2C2YABBY
11	57257033	57257039	C3_C2H2_40	3.61174	-	11	57257068	57257075	C3_C2C2YABBY_21	2.79072	+	29	divergent			NA	NA		NA		NA	NA				C2H2	C2C2YABBY
11	57257512	57257518	C3_C2H2_40	3.00599	+	11	57257612	57257619	C3_C2C2YABBY_21	2.61163	-	94	convergent			NA	NA		NA		NA	NA				C2H2	C2C2YABBY
2	7657236	7657242	C3_C2H2_40	2.11769	+	2	7657316	7657323	C3_C2C2YABBY_21	1.65944	-	74	convergent			NA	NA		NA		NA	NA				C2H2	C2C2YABBY
2	48792243	48792249	C3_C2H2_40	2.48327	-	2	48792285	48792292	C3_C2C2YABBY_21	2.49989	-	36	TF2-TF1			NA	NA		NA		NA	NA				C2H2	C2C2YABBY
2	51085940	51085946	C3_C2H2_40	2.05408	+	2	51086039	51086046	C3_C2C2YABBY_21	2.73129	-	93	convergent			NA	NA		NA		NA	NA				C2H2	C2C2YABBY
2	51086154	51086160	C3_C2H2_40	2.37095	+	2	51086190	51086197	C3_C2C2YABBY_21	1.98384	-	30	convergent			NA	NA		NA		NA	NA				C2H2	C2C2YABBY
