site1_chrom	site1_start	site1_end	site1_name	site1_score	site1_strand	site2_chrom	site2_start	site2_end	site2_name	site2_score	site2_strand	site_distance	site_orientation	feature	feat_strand	feat_start	feat_end	query_name	distance	feat_anchor	feat_ovl_peak	peak_ovl_feat	relative_location	transcript_id	gene_id	site1_TF	site2_TF
3	2490992	2490999	C3_C2C2YABBY_21	1.84358	+	3	2491085	2491091	C3_ABI3VP1_7	1.93557	-	86	convergent			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
3	2491005	2491012	C3_C2C2YABBY_21	1.81325	-	3	2491062	2491068	C3_ABI3VP1_7	1.93396	+	50	divergent			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
3	2491005	2491012	C3_C2C2YABBY_21	1.81325	-	3	2491085	2491091	C3_ABI3VP1_7	1.93557	-	73	TF2-TF1			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
6	49692425	49692432	C3_C2C2YABBY_21	2.88979	+	6	49692458	49692464	C3_ABI3VP1_7	2.71316	+	26	TF1-TF2			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
6	49692425	49692432	C3_C2C2YABBY_21	2.88979	+	6	49692470	49692476	C3_ABI3VP1_7	2.16714	+	38	TF1-TF2			NA	NA		NA		NA	NA				C2C2YABBY	ABI3VP1
1	85181649	85181655	C3_C2H2_40	2.03901	+	1	85181703	85181709	C3_ABI3VP1_7	2.45776	+	48	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
1	85181676	85181682	C3_C2H2_40	2.21744	+	1	85181703	85181709	C3_ABI3VP1_7	2.45776	+	21	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
10	65980107	65980113	C3_C2H2_40	1.26583	+	10	65980146	65980152	C3_ABI3VP1_7	1.26583	+	33	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	2490585	2490591	C3_C2H2_40	1.57495	+	11	2490618	2490624	C3_ABI3VP1_7	1.76547	+	27	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	53805056	53805062	C3_C2H2_40	2.1859	-	11	53805102	53805108	C3_ABI3VP1_7	2.46175	-	40	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	53805056	53805062	C3_C2H2_40	2.1859	-	11	53805114	53805120	C3_ABI3VP1_7	2.67101	-	52	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	53805056	53805062	C3_C2H2_40	2.1859	-	11	53805159	53805165	C3_ABI3VP1_7	2.56168	-	97	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	53805102	53805108	C3_C2H2_40	2.46175	-	11	53805114	53805120	C3_ABI3VP1_7	2.67101	-	6	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	53805102	53805108	C3_C2H2_40	2.46175	-	11	53805159	53805165	C3_ABI3VP1_7	2.56168	-	51	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	53805114	53805120	C3_C2H2_40	2.67101	-	11	53805159	53805165	C3_ABI3VP1_7	2.56168	-	39	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	53805144	53805150	C3_C2H2_40	2.54601	+	11	53805159	53805165	C3_ABI3VP1_7	2.56168	-	9	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	57256643	57256649	C3_C2H2_40	3.24357	+	11	57256655	57256661	C3_ABI3VP1_7	3.05298	+	6	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	57257033	57257039	C3_C2H2_40	3.61174	-	11	57257116	57257122	C3_ABI3VP1_7	3.1406	+	77	divergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	57257068	57257074	C3_C2H2_40	2.79072	+	11	57257116	57257122	C3_ABI3VP1_7	3.1406	+	42	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
11	57257512	57257518	C3_C2H2_40	3.00599	+	11	57257613	57257619	C3_ABI3VP1_7	2.57796	-	95	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
12	6081547	6081553	C3_C2H2_40	2.70304	-	12	6081582	6081588	C3_ABI3VP1_7	2.46869	+	29	divergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
2	48792148	48792154	C3_C2H2_40	2.55373	-	2	48792197	48792203	C3_ABI3VP1_7	2.55882	-	43	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
2	48792148	48792154	C3_C2H2_40	2.55373	-	2	48792243	48792249	C3_ABI3VP1_7	2.48327	-	89	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
2	48792243	48792249	C3_C2H2_40	2.48327	-	2	48792286	48792292	C3_ABI3VP1_7	2.56375	-	37	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
2	51085940	51085946	C3_C2H2_40	2.05408	+	2	51086040	51086046	C3_ABI3VP1_7	2.83731	-	94	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
2	51086154	51086160	C3_C2H2_40	2.37095	+	2	51086191	51086197	C3_ABI3VP1_7	1.92565	-	31	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
2	51086330	51086336	C3_C2H2_40	2.68717	+	2	51086419	51086425	C3_ABI3VP1_7	2.03575	-	83	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
3	2490980	2490986	C3_C2H2_40	1.89862	+	3	2491062	2491068	C3_ABI3VP1_7	1.93396	+	76	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
3	2490980	2490986	C3_C2H2_40	1.89862	+	3	2491085	2491091	C3_ABI3VP1_7	1.93557	-	99	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
3	2490992	2490998	C3_C2H2_40	1.84358	+	3	2491062	2491068	C3_ABI3VP1_7	1.93396	+	64	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
3	2490992	2490998	C3_C2H2_40	1.84358	+	3	2491085	2491091	C3_ABI3VP1_7	1.93557	-	87	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
3	2491006	2491012	C3_C2H2_40	1.81325	-	3	2491062	2491068	C3_ABI3VP1_7	1.93396	+	50	divergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
3	2491006	2491012	C3_C2H2_40	1.81325	-	3	2491085	2491091	C3_ABI3VP1_7	1.93557	-	73	TF2-TF1			NA	NA		NA		NA	NA				C2H2	ABI3VP1
3	2491062	2491068	C3_C2H2_40	1.93396	+	3	2491085	2491091	C3_ABI3VP1_7	1.93557	-	17	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
6	49692425	49692431	C3_C2H2_40	2.88979	+	6	49692458	49692464	C3_ABI3VP1_7	2.71316	+	27	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
6	49692425	49692431	C3_C2H2_40	2.88979	+	6	49692470	49692476	C3_ABI3VP1_7	2.16714	+	39	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
6	49692458	49692464	C3_C2H2_40	2.71316	+	6	49692470	49692476	C3_ABI3VP1_7	2.16714	+	6	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
6	50057858	50057864	C3_C2H2_40	1.86923	+	6	50057932	50057938	C3_ABI3VP1_7	1.95806	-	68	convergent			NA	NA		NA		NA	NA				C2H2	ABI3VP1
7	270734	270740	C3_C2H2_40	2.01627	+	7	270741	270747	C3_ABI3VP1_7	1.94965	+	1	TF1-TF2			NA	NA		NA		NA	NA				C2H2	ABI3VP1
7	654167	654174	C3_AP2EREBP_15	-1.75429	-	7	654176	654184	C3_AP2EREBP_161	-1.75429	-	2	TF2-TF1			NA	NA		NA		NA	NA				AP2EREBP	AP2EREBP
1	72693493	72693499	C3_ARF_6	2.5437	-	1	72693527	72693533	C3_AP2EREBP_62	2.52929	+	28	divergent			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	72693493	72693499	C3_ARF_6	2.5437	-	1	72693540	72693546	C3_AP2EREBP_62	2.43037	+	41	divergent			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	78804298	78804304	C3_ARF_6	1.73804	+	1	78804328	78804334	C3_AP2EREBP_62	1.74438	-	24	convergent			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	78804416	78804422	C3_ARF_6	1.8157	+	1	78804470	78804476	C3_AP2EREBP_62	1.61397	-	48	convergent			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	79839185	79839191	C3_ARF_6	1.92432	-	1	79839217	79839223	C3_AP2EREBP_62	2.08685	-	26	TF2-TF1			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	79839185	79839191	C3_ARF_6	1.92432	-	1	79839255	79839261	C3_AP2EREBP_62	2.15253	+	64	divergent			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	79839231	79839237	C3_ARF_6	2.08685	+	1	79839255	79839261	C3_AP2EREBP_62	2.15253	+	18	TF1-TF2			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	79839231	79839237	C3_ARF_6	2.08685	+	1	79839337	79839343	C3_AP2EREBP_62	2.27628	+	100	TF1-TF2			NA	NA		NA		NA	NA				ARF	AP2EREBP
1	79839270	79839276	C3_ARF_6	2.15253	-	1	79839337	79839343	C3_AP2EREBP_62	2.27628	+	61	divergent			NA	NA		NA		NA	NA				ARF	AP2EREBP
2	48792269	48792275	C3_ARF_6	2.40759	-	2	48792325	48792331	C3_AP2EREBP_62	2.166	+	50	divergent			NA	NA		NA		NA	NA				ARF	AP2EREBP
7	66694593	66694599	C3_ARF_6	1.00026	+	7	66694626	66694632	C3_AP2EREBP_62	1.07061	+	27	TF1-TF2			NA	NA		NA		NA	NA				ARF	AP2EREBP
10	220574	220582	C1_E2FDP_1	1.162	-	10	220635	220641	C2_AP2EREBP_3-C3_AP2EREBP_24	1.5825	-	53	TF2-TF1			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	220574	220582	C1_E2FDP_1	1.162	-	10	220671	220677	C2_AP2EREBP_3-C3_AP2EREBP_24	0.77437	+	89	divergent			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	220596	220604	C1_E2FDP_1	1.27336	-	10	220635	220641	C2_AP2EREBP_3-C3_AP2EREBP_24	1.5825	-	31	TF2-TF1			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	220596	220604	C1_E2FDP_1	1.27336	-	10	220671	220677	C2_AP2EREBP_3-C3_AP2EREBP_24	0.77437	+	67	divergent			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	220631	220639	C1_E2FDP_1	1.5825	-	10	220671	220677	C2_AP2EREBP_3-C3_AP2EREBP_24	0.77437	+	32	divergent			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	220653	220661	C1_E2FDP_1	1.03927	-	10	220671	220677	C2_AP2EREBP_3-C3_AP2EREBP_24	0.77437	+	10	divergent			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	220673	220681	C1_E2FDP_1	0.77437	+	10	220762	220768	C2_AP2EREBP_3-C3_AP2EREBP_24	0.75283	+	81	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	220687	220695	C1_E2FDP_1	0.83871	-	10	220762	220768	C2_AP2EREBP_3-C3_AP2EREBP_24	0.75283	+	67	divergent			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	220687	220695	C1_E2FDP_1	0.83871	-	10	220782	220788	C2_AP2EREBP_3-C3_AP2EREBP_24	0.94802	-	87	TF2-TF1			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	220778	220786	C1_E2FDP_1	0.94802	-	10	220837	220843	C2_AP2EREBP_3-C3_AP2EREBP_24	1.27241	-	51	TF2-TF1			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	220778	220786	C1_E2FDP_1	0.94802	-	10	220873	220879	C2_AP2EREBP_3-C3_AP2EREBP_24	1.42017	+	87	divergent			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	220833	220841	C1_E2FDP_1	1.26948	-	10	220873	220879	C2_AP2EREBP_3-C3_AP2EREBP_24	1.42017	+	32	divergent			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	220833	220841	C1_E2FDP_1	1.26948	-	10	220894	220900	C2_AP2EREBP_3-C3_AP2EREBP_24	1.44737	-	53	TF2-TF1			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	220855	220863	C1_E2FDP_1	1.31356	-	10	220873	220879	C2_AP2EREBP_3-C3_AP2EREBP_24	1.42017	+	10	divergent			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	220855	220863	C1_E2FDP_1	1.31356	-	10	220894	220900	C2_AP2EREBP_3-C3_AP2EREBP_24	1.44737	-	31	TF2-TF1			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	221115	221123	C1_E2FDP_1	1.1054	-	10	221155	221161	C2_AP2EREBP_3-C3_AP2EREBP_24	1.07047	+	32	divergent			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	221115	221123	C1_E2FDP_1	1.1054	-	10	221178	221184	C2_AP2EREBP_3-C3_AP2EREBP_24	1.04832	-	55	TF2-TF1			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	221309	221317	C1_E2FDP_1	1.59607	-	10	221327	221333	C2_AP2EREBP_3-C3_AP2EREBP_24	1.69235	+	10	divergent			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	221309	221317	C1_E2FDP_1	1.59607	-	10	221378	221384	C2_AP2EREBP_3-C3_AP2EREBP_24	1.66063	+	61	divergent			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	221360	221368	C1_E2FDP_1	2.06374	-	10	221378	221384	C2_AP2EREBP_3-C3_AP2EREBP_24	1.66063	+	10	divergent			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457062	457070	C1_E2FDP_1	0.82703	+	10	457117	457123	C2_AP2EREBP_3-C3_AP2EREBP_24	0.85877	+	47	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457062	457070	C1_E2FDP_1	0.82703	+	10	457152	457158	C2_AP2EREBP_3-C3_AP2EREBP_24	0.64296	+	82	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457097	457105	C1_E2FDP_1	0.89467	+	10	457117	457123	C2_AP2EREBP_3-C3_AP2EREBP_24	0.85877	+	12	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457097	457105	C1_E2FDP_1	0.89467	+	10	457152	457158	C2_AP2EREBP_3-C3_AP2EREBP_24	0.64296	+	47	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457097	457105	C1_E2FDP_1	0.89467	+	10	457174	457180	C2_AP2EREBP_3-C3_AP2EREBP_24	0.5584	+	69	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457119	457127	C1_E2FDP_1	0.85877	+	10	457152	457158	C2_AP2EREBP_3-C3_AP2EREBP_24	0.64296	+	25	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457119	457127	C1_E2FDP_1	0.85877	+	10	457174	457180	C2_AP2EREBP_3-C3_AP2EREBP_24	0.5584	+	47	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457119	457127	C1_E2FDP_1	0.85877	+	10	457209	457215	C2_AP2EREBP_3-C3_AP2EREBP_24	0.49256	+	82	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457154	457162	C1_E2FDP_1	1.26248	+	10	457174	457180	C2_AP2EREBP_3-C3_AP2EREBP_24	0.5584	+	12	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457154	457162	C1_E2FDP_1	1.26248	+	10	457209	457215	C2_AP2EREBP_3-C3_AP2EREBP_24	0.49256	+	47	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457154	457162	C1_E2FDP_1	1.26248	+	10	457231	457237	C2_AP2EREBP_3-C3_AP2EREBP_24	0.98797	+	69	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457176	457184	C1_E2FDP_1	0.5584	+	10	457209	457215	C2_AP2EREBP_3-C3_AP2EREBP_24	0.49256	+	25	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457176	457184	C1_E2FDP_1	0.5584	+	10	457231	457237	C2_AP2EREBP_3-C3_AP2EREBP_24	0.98797	+	47	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457176	457184	C1_E2FDP_1	0.5584	+	10	457266	457272	C2_AP2EREBP_3-C3_AP2EREBP_24	0.90206	+	82	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457211	457219	C1_E2FDP_1	0.49256	+	10	457231	457237	C2_AP2EREBP_3-C3_AP2EREBP_24	0.98797	+	12	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457211	457219	C1_E2FDP_1	0.49256	+	10	457266	457272	C2_AP2EREBP_3-C3_AP2EREBP_24	0.90206	+	47	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457211	457219	C1_E2FDP_1	0.49256	+	10	457288	457294	C2_AP2EREBP_3-C3_AP2EREBP_24	0.949	+	69	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457233	457241	C1_E2FDP_1	0.98797	+	10	457266	457272	C2_AP2EREBP_3-C3_AP2EREBP_24	0.90206	+	25	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457233	457241	C1_E2FDP_1	0.98797	+	10	457288	457294	C2_AP2EREBP_3-C3_AP2EREBP_24	0.949	+	47	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457268	457276	C1_E2FDP_1	1.11543	+	10	457288	457294	C2_AP2EREBP_3-C3_AP2EREBP_24	0.949	+	12	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457268	457276	C1_E2FDP_1	1.11543	+	10	457345	457351	C2_AP2EREBP_3-C3_AP2EREBP_24	0.85517	+	69	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457290	457298	C1_E2FDP_1	0.949	+	10	457345	457351	C2_AP2EREBP_3-C3_AP2EREBP_24	0.85517	+	47	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457290	457298	C1_E2FDP_1	0.949	+	10	457380	457386	C2_AP2EREBP_3-C3_AP2EREBP_24	0.68246	+	82	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457325	457333	C1_E2FDP_1	0.85517	+	10	457345	457351	C2_AP2EREBP_3-C3_AP2EREBP_24	0.85517	+	12	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457325	457333	C1_E2FDP_1	0.85517	+	10	457380	457386	C2_AP2EREBP_3-C3_AP2EREBP_24	0.68246	+	47	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457347	457355	C1_E2FDP_1	0.85517	+	10	457380	457386	C2_AP2EREBP_3-C3_AP2EREBP_24	0.68246	+	25	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457347	457355	C1_E2FDP_1	0.85517	+	10	457437	457443	C2_AP2EREBP_3-C3_AP2EREBP_24	0.93279	+	82	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457382	457390	C1_E2FDP_1	0.7557	+	10	457437	457443	C2_AP2EREBP_3-C3_AP2EREBP_24	0.93279	+	47	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457382	457390	C1_E2FDP_1	0.7557	+	10	457459	457465	C2_AP2EREBP_3-C3_AP2EREBP_24	0.93525	+	69	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457439	457447	C1_E2FDP_1	1.05463	+	10	457459	457465	C2_AP2EREBP_3-C3_AP2EREBP_24	0.93525	+	12	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457439	457447	C1_E2FDP_1	1.05463	+	10	457516	457522	C2_AP2EREBP_3-C3_AP2EREBP_24	1.33173	+	69	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457461	457469	C1_E2FDP_1	0.93525	+	10	457516	457522	C2_AP2EREBP_3-C3_AP2EREBP_24	1.33173	+	47	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457461	457469	C1_E2FDP_1	0.93525	+	10	457550	457556	C2_AP2EREBP_3-C3_AP2EREBP_24	0.98136	+	81	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457496	457504	C1_E2FDP_1	0.88804	+	10	457516	457522	C2_AP2EREBP_3-C3_AP2EREBP_24	1.33173	+	12	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457496	457504	C1_E2FDP_1	0.88804	+	10	457550	457556	C2_AP2EREBP_3-C3_AP2EREBP_24	0.98136	+	46	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457518	457526	C1_E2FDP_1	1.33173	+	10	457550	457556	C2_AP2EREBP_3-C3_AP2EREBP_24	0.98136	+	24	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457518	457526	C1_E2FDP_1	1.33173	+	10	457607	457613	C2_AP2EREBP_3-C3_AP2EREBP_24	1.77101	+	81	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457552	457560	C1_E2FDP_1	0.95199	+	10	457607	457613	C2_AP2EREBP_3-C3_AP2EREBP_24	1.77101	+	47	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457552	457560	C1_E2FDP_1	0.95199	+	10	457629	457635	C2_AP2EREBP_3-C3_AP2EREBP_24	1.20904	+	69	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457609	457617	C1_E2FDP_1	1.85097	+	10	457629	457635	C2_AP2EREBP_3-C3_AP2EREBP_24	1.20904	+	12	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457609	457617	C1_E2FDP_1	1.85097	+	10	457664	457670	C2_AP2EREBP_3-C3_AP2EREBP_24	1.18372	+	47	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457609	457617	C1_E2FDP_1	1.85097	+	10	457686	457692	C2_AP2EREBP_3-C3_AP2EREBP_24	1.26259	+	69	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457631	457639	C1_E2FDP_1	1.23425	+	10	457664	457670	C2_AP2EREBP_3-C3_AP2EREBP_24	1.18372	+	25	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457631	457639	C1_E2FDP_1	1.23425	+	10	457686	457692	C2_AP2EREBP_3-C3_AP2EREBP_24	1.26259	+	47	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457631	457639	C1_E2FDP_1	1.23425	+	10	457726	457732	C2_AP2EREBP_3-C3_AP2EREBP_24	1.62764	+	87	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457666	457674	C1_E2FDP_1	0.97726	+	10	457686	457692	C2_AP2EREBP_3-C3_AP2EREBP_24	1.26259	+	12	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457666	457674	C1_E2FDP_1	0.97726	+	10	457726	457732	C2_AP2EREBP_3-C3_AP2EREBP_24	1.62764	+	52	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457666	457674	C1_E2FDP_1	0.97726	+	10	457761	457767	C2_AP2EREBP_3-C3_AP2EREBP_24	1.52923	+	87	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457763	457771	C1_E2FDP_1	1.56004	+	10	457783	457789	C2_AP2EREBP_3-C3_AP2EREBP_24	1.58654	+	12	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457763	457771	C1_E2FDP_1	1.56004	+	10	457815	457821	C2_AP2EREBP_3-C3_AP2EREBP_24	1.90724	+	44	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457763	457771	C1_E2FDP_1	1.56004	+	10	457837	457843	C2_AP2EREBP_3-C3_AP2EREBP_24	2.09683	+	66	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457785	457793	C1_E2FDP_1	1.58654	+	10	457815	457821	C2_AP2EREBP_3-C3_AP2EREBP_24	1.90724	+	22	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457785	457793	C1_E2FDP_1	1.58654	+	10	457837	457843	C2_AP2EREBP_3-C3_AP2EREBP_24	2.09683	+	44	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
10	457817	457825	C1_E2FDP_1	1.90724	+	10	457837	457843	C2_AP2EREBP_3-C3_AP2EREBP_24	2.09683	+	12	TF1-TF2			NA	NA		NA		NA	NA				E2FDP	AP2EREBP
