output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C1_AP2EREBP_1	NA	C1_AP2EREBP_1	C_	394	16.56005	133	9.67076	48	0.46977	1.27165e-101	True
_C2_CPP_12	NA	C2_CPP_12	C_2	2138	8.40076	239	9.74242	290	-0.24271	6.90887e-103	True
_C3_C2H2_5	NA	C3_C2H2_5	C_	245	10.16969	37	11.71064	46	-0.24303	2.27746e-56	True
_C3_Trihelix_5	NA	C3_Trihelix_5	C_4-C3_AP2EREBP_64	684	15.63087	208	10.31856	89	0.44472	1.19113e-107	True
_C3_Trihelix_6	NA	C3_Trihelix_6	C_	634	14.11158	171	9.36572	76	0.37169	3.08856e-98	True
_C2_HSF_13	NA	C2_HSF_13	C_	483	6.23791	27	9.43397	60	-0.52728	1.98814e-102	True
_C2_NAC_51	NA	C2_NAC_51	C_7-C2_NAC_41-C3_NAC_52-C4_NAC_29	198	8.22051	17	10.84049	37	-0.32728	3.16973e-71	True
_C2_MYB_6	NA	C2_MYB_6	C_4-C3_MADS_17	395	8.7493	46	10.099	62	-0.24951	1.34063e-67	True
_C3_RWPRK_10	NA	C3_RWPRK_10	C_	653	8.70122	70	11.63259	125	-0.2594	9.59043e-79	True
_C2_SRS_4	NA	C2_SRS_4	C_	194	6.87452	15	7.76797	19	-0.25635	9.60246e-62	True
_C2_C2C2gata_16	NA	C2_C2C2gata_16	C_	126	9.34001	15	9.92713	18	-0.27632	2.44798e-54	True
_C2_bHLH_36	NA	C2_bHLH_36	C_6	457	10.53782	73	12.25421	95	-0.25476	3.03377e-74	True
_C1_Trihelix_10	NA	C1_Trihelix_10	C_	459	23.65606	225	12.21133	93	0.65096	1.3501e-114	True
_C1_Trihelix_1	NA	C1_Trihelix_1	C_	775	21.31517	345	11.44059	134	0.59219	2.0266e-120	True
_C2_HSF_4	NA	C2_HSF_4	C_	851	8.16009	93	9.73779	114	-0.28523	8.59086e-95	True
_C2_HSF_1	NA	C2_HSF_1	C_	524	5.44615	26	8.99355	60	-0.56015	1.72018e-113	True
_C2_NAC_9-C4_NAC_15	NA	C2_NAC_9-C4_NAC_15	C_	178	9.32588	24	11.13524	26	-0.26641	6.46242e-61	True
_C2_C2C2gata_12	NA	C2_C2C2gata_12	C_	363	8.32415	34	10.76252	47	-0.38402	1.59277e-86	True
_C2_MYB_50	NA	C2_MYB_50	C_	196	9.05562	22	11.43609	29	-0.25329	4.2187e-63	True
_C2_AP2EREBP_28-C3_AP2EREBP_59	NA	C2_AP2EREBP_28-C3_AP2EREBP_59	C_	327	17.91154	134	9.7532	38	0.63688	2.83913e-113	True
_C1_Trihelix_17	NA	C1_Trihelix_17	C_	442	22.40957	223	10.54365	53	0.88028	1.76283e-127	True
_C1_Trihelix_12	NA	C1_Trihelix_12	C_	522	23.53965	283	10.38359	72	0.98468	3.254e-133	True
_C2_C2C2dof_23	NA	C2_C2C2dof_23	C_5	462	9.44295	56	11.43486	82	-0.25864	3.39562e-71	True
_C2_C2C2dof_24	NA	C2_C2C2dof_24	C_5	290	8.53655	31	11.04468	45	-0.37825	2.0416e-83	True
_C2_MYB_19	NA	C2_MYB_19	C_5	568	9.58391	75	11.3483	91	-0.24567	1.5992e-82	True
_C2_C2C2gata_25	NA	C2_C2C2gata_25	C_	421	10.10724	62	12.26029	80	-0.2539	1.64809e-72	True
_C2_NAC_20	NA	C2_NAC_20	C_	212	6.73727	17	8.65839	27	-0.29096	1.7105e-61	True
_C1_bHLH_5	NA	C1_bHLH_5	C_	1126	14.44205	313	10.85755	163	0.33407	9.52443e-104	True
_C1_NAC_4	NA	C1_NAC_4	C_	441	14.74909	124	11.29652	68	0.34159	3.88963e-95	True
_C2_ND_4	NA	C2_ND_4	C_	387	8.87691	36	11.34257	65	-0.29392	8.47442e-71	True
_C2_Homeobox_2	NA	C2_Homeobox_2	C_	1035	8.66933	103	10.78145	173	-0.24931	2.95947e-94	True
_C2_G2like_47	NA	C2_G2like_47	C_	449	8.32327	47	10.14998	62	-0.37532	1.11537e-91	True
_C2_WRKY_13-C3_WRKY_7	NA	C2_WRKY_13-C3_WRKY_7	C_	193	9.24064	26	11.28236	32	-0.2401	8.29326e-54	True
_C2_MYBrelated_3	NA	C2_MYBrelated_3	C_	741	8.918	92	10.64023	113	-0.24628	5.42699e-84	True
_C2_G2like_1	NA	C2_G2like_1	C_	384	8.69693	40	10.8017	61	-0.31015	8.09823e-80	True
_C2_G2like_13	NA	C2_G2like_13	C_	883	7.6095	76	9.73484	119	-0.34293	4.23813e-105	True
_C2_HSF_5	NA	C2_HSF_5	C_	414	5.49507	24	8.27706	35	-0.56024	6.26206e-108	True
_C3_C2C2gata_40	NA	C3_C2C2gata_40	C_	216	7.80319	19	10.76608	31	-0.3405	3.63951e-70	True
_C2_EIL_4-C3_EIL_6	NA	C2_EIL_4-C3_EIL_6	C_7	204	6.7175	15	10.1093	25	-0.41984	1.28296e-81	True
_C2_HSF_14-C3_HSF_12	NA	C2_HSF_14-C3_HSF_12	C_7	1122	6.18536	71	9.07499	125	-0.45964	1.95758e-119	True
_C2_bZIP_5-C4_bZIP_5	NA	C2_bZIP_5-C4_bZIP_5	C_	367	11.75894	61	13.88843	94	-0.23813	1.15207e-66	True
_C1_Trihelix_7	NA	C1_Trihelix_7	C_	561	16.37378	184	11.13953	83	0.36034	9.19922e-100	True
_C1_AP2EREBP_28	NA	C1_AP2EREBP_28	C_	375	20.5877	148	11.71121	76	0.49687	6.67045e-109	True
_C1_bZIP_14	NA	C1_bZIP_14	C_	562	21.66979	251	11.8598	104	0.55844	6.89959e-116	True
_C1_Trihelix_11	NA	C1_Trihelix_11	C_	463	23.55396	220	12.69556	103	0.58321	1.04205e-112	True
_C1_Trihelix_2	NA	C1_Trihelix_2	C_	684	24.30665	366	11.27558	118	0.79944	9.24031e-133	True
_C1_Trihelix_21	NA	C1_Trihelix_21	C_	685	24.09249	357	11.76394	124	0.76815	6.9177e-135	True
_C1_AP2EREBP_37	NA	C1_AP2EREBP_37	C_	506	29.08362	326	11.80963	95	1.16349	8.06816e-141	True
_C2_ZFHD_6	NA	C2_ZFHD_6	C_	389	11.23768	60	13.62818	100	-0.25685	1.68011e-74	True
_C2_ZFHD_2	NA	C2_ZFHD_2	C_	698	9.18168	74	11.27802	115	-0.25683	2.52239e-89	True
_C2_ND_16	NA	C2_ND_16	C_	417	7.35299	35	9.27953	53	-0.38567	5.37749e-89	True
_C2_ND_31	NA	C2_ND_31	C_	284	8.2518	31	10.0172	41	-0.36066	3.55411e-82	True
_C2_HSF_6	NA	C2_HSF_6	C_	1159	6.92071	99	9.67474	154	-0.46572	2.48569e-121	True
_C2_HSF_2	NA	C2_HSF_2	C_	700	4.88434	30	8.94308	79	-0.72187	1.86052e-129	True
_C2_Trihelix_6	NA	C2_Trihelix_6	C_	291	6.65279	23	8.60124	32	-0.41291	1.76321e-93	True
_C2_BBRBPC_4	NA	C2_BBRBPC_4	C_	479	7.47083	53	9.34253	58	-0.36307	4.4817e-94	True
_C2_BSD_3	NA	C2_BSD_3	C_	599	7.6743	57	9.71357	86	-0.39005	6.94251e-97	True
_C3_Trihelix_36	NA	C3_Trihelix_36	C_	192	9.1661	22	12.05052	40	-0.34014	9.30692e-67	True
_C5_BZR_1	NA	C5_BZR_1	C_	315	12.05124	61	15.48935	98	-0.30313	3.64905e-75	True
_C1_MYBrelated_8	NA	C1_MYBrelated_8	C_	1164	16.43929	358	12.33522	226	0.34528	2.78267e-109	True
_C1_bHLH_34	NA	C1_bHLH_34	C_	252	18.48517	92	12.3545	49	0.39417	1.57729e-81	True
_C1_Homeobox_9	NA	C1_Homeobox_9	C_	359	22.79183	165	12.52079	71	0.56661	4.93156e-112	True
_C3_C2H2_76	NA	C3_C2H2_76	C_	620	17.2803	192	10.76779	98	0.34499	8.06751e-92	True
_C3_C2H2_41-C5_C2H2_8	NA	C3_C2H2_41-C5_C2H2_8	C_	250	9.23353	31	14.52911	74	-0.46966	1.01633e-86	True
_C3_Trihelix_9	NA	C3_Trihelix_9	C_	431	15.2382	134	7.52848	27	0.63489	6.5593e-115	True
_C3_bHLH_9	NA	C3_bHLH_9	C_	198	9.46455	24	11.70049	34	-0.27003	3.37434e-63	True
_C3_Trihelix_7	NA	C3_Trihelix_7	C_	431	15.2888	136	7.51689	27	0.63667	4.97169e-115	True
_C5_NAC_4	NA	C5_NAC_4	C_	299	10.41893	44	13.13728	64	-0.23962	1.6412e-66	True
_C2_bHLH_1	NA	C2_bHLH_1	C_	411	9.99261	58	12.89295	88	-0.36911	2.34558e-92	True
_C2_bHLH_3	NA	C2_bHLH_3	C_	379	11.27484	65	13.79783	86	-0.27892	4.75756e-75	True
_C2_MADS_15	NA	C2_MADS_15	C_	687	15.62505	206	10.65479	100	0.41024	1.82611e-107	True
_C2_HSF_26	NA	C2_HSF_26	C_7-C3_NAC_99	515	9.09501	57	10.59863	78	-0.25925	3.86172e-81	True
_C2_ND_25	NA	C2_ND_25	C_	189	9.34691	19	11.11453	28	-0.2403	5.98044e-57	True
_C2_BSD_4	NA	C2_BSD_4	C_	1072	9.7878	136	11.23319	189	-0.2476	2.94125e-98	True
_C2_HSF_15	NA	C2_HSF_15	C_	679	5.22955	30	8.82314	72	-0.65808	1.76903e-128	True
_C3_C2H2_112	NA	C3_C2H2_112	C_	205	12.45342	46	9.63781	33	0.34769	2.21869e-75	True
_C1_NAC_17-C2_NAC_41-C3_NAC_52-C4_NAC_29	NA	C1_NAC_17-C2_NAC_41-C3_NAC_52-C4_NAC_29	C_7-C2_NAC_41-C3_NAC_52-C4_NAC_29	495	9.52896	60	11.48537	93	-0.25825	9.55248e-80	True
_C2_C2C2gata_27-C3_C2C2gata_48-C4_C2C2gata_19	NA	C2_C2C2gata_27-C3_C2C2gata_48-C4_C2C2gata_19	C_	179	8.05634	13	10.69361	31	-0.42542	2.51643e-78	True
_C2_MYB_27	NA	C2_MYB_27	C_	150	9.52717	23	10.81513	23	-0.26132	1.06414e-48	True
_C1_WRKY_3	NA	C1_WRKY_3	C_	688	25.58526	381	10.89423	107	1.08769	2.03355e-146	True
_C1_WRKY_4	NA	C1_WRKY_4	C_	1012	24.71409	542	10.81154	163	0.97442	1.26961e-150	True
_C1_WRKY_5	NA	C1_WRKY_5	C_	598	28.38301	373	11.09218	99	1.19296	6.29037e-154	True
_C1_WRKY_6	NA	C1_WRKY_6	C_	802	28.19433	503	10.82381	115	1.26556	5.31813e-156	True
_C1_WRKY_7	NA	C1_WRKY_7	C_	685	30.59851	475	10.73483	95	1.48735	2.57258e-163	True
_C2_G2like_49	NA	C2_G2like_49	C_	133	8.36679	17	9.64292	19	-0.27686	8.91464e-51	True
_C2_G2like_11	NA	C2_G2like_11	C_	424	9.01074	54	10.26496	65	-0.24085	4.76994e-72	True
_C2_Trihelix_8-C3_Trihelix_24	NA	C2_Trihelix_8-C3_Trihelix_24	C_	206	5.68604	14	7.79506	20	-0.5111	4.1294e-91	True
_C2_Trihelix_9	NA	C2_Trihelix_9	C_	296	5.50859	17	8.12628	30	-0.51171	2.1192e-98	True
_C3_EIL_13	NA	C3_EIL_13	C_	708	16.90033	238	11.04954	97	0.42851	4.96106e-112	True
_C2_WRKY_19	NA	C2_WRKY_19	C_	286	9.13361	33	11.41801	44	-0.36211	1.63096e-82	True
_C3_G2like_30	NA	C3_G2like_30	C_	361	7.69015	34	9.28631	42	-0.30854	1.33655e-80	True
_C2_ND_33	NA	C2_ND_33	C_	480	6.16874	31	7.77964	45	-0.35234	4.45998e-91	True
_C3_FAR1_4	NA	C3_FAR1_4	C_	1477	17.70184	525	11.0783	225	0.48347	4.26898e-126	True
_C2_C2H2_56	NA	C2_C2H2_56	C_6	432	7.75439	43	9.67419	66	-0.31875	3.8516e-84	True
_C3_NAC_10	NA	C3_NAC_10	C_	477	21.99744	195	11.88177	96	0.57581	1.3086e-110	True
_C3_NLP_3	NA	C3_NLP_3	C_	901	16.6884	291	9.72115	114	0.6006	3.67957e-127	True
_C3_NLP_4	NA	C3_NLP_4	C_	518	14.8843	141	9.13367	63	0.5328	7.58792e-110	True
_C2_NAC_62	NA	C2_NAC_62	C_3	335	8.34721	42	10.2494	43	-0.28024	1.75817e-72	True
_C1_AP2EREBP_30	NA	C1_AP2EREBP_30	C_	1111	22.90166	552	10.91418	169	0.79964	4.49257e-144	True
_C1_AP2EREBP_18	NA	C1_AP2EREBP_18	C_	545	26.09682	310	11.36277	91	1.00423	8.61927e-138	True
_C1_C2C2dof_15	NA	C1_C2C2dof_15	C_	604	27.74778	368	12.01213	108	1.01926	6.50385e-144	True
_C1_AP2EREBP_14-C3_AP2EREBP_64	NA	C1_AP2EREBP_14-C3_AP2EREBP_64	C_4-C3_AP2EREBP_64	469	18.83854	198	9.15177	47	0.7724	7.24816e-122	True
_C1_bHLH_26	NA	C1_bHLH_26	C_	717	23.22174	392	10.07304	96	1.05077	5.94215e-145	True
_C1_AP2EREBP_4	NA	C1_AP2EREBP_4	C_	1263	23.08464	644	10.37292	170	0.89074	1.93342e-149	True
_C3_NLP_11	NA	C3_NLP_11	C_	900	16.67393	290	9.69648	113	0.60034	2.95255e-127	True
_C3_NLP_15	NA	C3_NLP_15	C_	474	13.52973	109	8.99101	50	0.50147	1.13949e-102	True
_C2_SBP_14-C3_SBP_14	NA	C2_SBP_14-C3_SBP_14	C_	375	9.09466	43	10.21165	47	-0.24877	2.88861e-78	True
_C2_MYB_17	NA	C2_MYB_17	C_	389	8.43044	44	11.0498	57	-0.43653	1.32178e-96	True
_C1_RWPRK_5-C3_RWPRK_16	NA	C1_RWPRK_5-C3_RWPRK_16	C_	675	18.24487	246	12.48435	138	0.41962	3.67299e-106	True
_C1_Trihelix_18	NA	C1_Trihelix_18	C_	1031	22.18747	480	11.12488	163	0.71815	1.01925e-133	True
_C1_Trihelix_13	NA	C1_Trihelix_13	C_	1059	20.65882	478	10.86298	162	0.76934	6.21234e-140	True
_C1_MADS_10	NA	C1_MADS_10	C_	561	23.34706	298	10.78993	81	0.9755	1.08965e-141	True
_C1_AP2EREBP_8	NA	C1_AP2EREBP_8	C_	920	22.67173	475	10.6464	133	0.86002	3.63836e-142	True
_C1_MADS_11	NA	C1_MADS_11	C_	819	24.02413	457	10.46519	115	1.01735	1.2585e-151	True
_C1_MADS_12	NA	C1_MADS_12	C_	1004	25.54799	579	10.85199	145	1.06763	2.36279e-156	True
_C1_ZFHD_5	NA	C1_ZFHD_5	C_	1053	26.16704	637	10.73726	147	1.15437	1.16642e-162	True
_C1_TCP_35	NA	C1_TCP_35	C_	600	22.8349	287	11.85224	104	0.63386	2.24332e-120	True
_C2_HSF_16	NA	C2_HSF_16	C_	539	6.28961	37	9.21047	60	-0.52816	1.22496e-109	True
_C1_bZIP_15	NA	C1_bZIP_15	C_	1326	20.83968	586	12.01534	242	0.53849	1.38008e-134	True
_C1_bHLH_14	NA	C1_bHLH_14	C_	1767	16.80471	584	11.53841	295	0.37042	9.9311e-123	True
_C1_bHLH_19	NA	C1_bHLH_19	C_	895	17.78821	338	10.99405	137	0.4983	8.6695e-124	True
_C1_AP2EREBP_6	NA	C1_AP2EREBP_6	C_	1429	18.0003	542	11.21432	227	0.47903	3.40191e-124	True
_C1_TCP_29	NA	C1_TCP_29	C_	694	23.08274	380	9.91376	80	0.9908	2.8322e-143	True
_C1_TCP_23	NA	C1_TCP_23	C_	1048	24.06651	562	11.20497	161	0.86455	7.74101e-142	True
_C2_HSF_30	NA	C2_HSF_30	C_	183	6.45207	13	8.89358	20	-0.4036	3.57903e-78	True
_C1_bHLH_6-C3_bHLH_11	NA	C1_bHLH_6-C3_bHLH_11	C_	391	14.76546	117	10.50478	53	0.39768	3.41853e-95	True
_C1_bHLH_24	NA	C1_bHLH_24	C_	712	19.80861	304	10.89626	102	0.72027	1.49096e-127	True
_C1_MADS_4	NA	C1_MADS_4	C_	832	16.74378	273	11.14991	134	0.4649	6.28621e-118	True
_C1_bZIP_1	NA	C1_bZIP_1	C_	1438	17.91686	543	11.43025	237	0.52366	3.48112e-134	True
_C1_bHLH_25	NA	C1_bHLH_25	C_	899	25.81134	536	10.13555	115	1.22872	3.37639e-151	True
_C1_ARID_2	NA	C1_ARID_2	C_	559	22.81425	268	10.25486	75	0.89477	1.64969e-134	True
_C2_Orphan_1	NA	C2_Orphan_1	C_	225	10.26402	30	12.90802	54	-0.2619	4.6949e-64	True
_C2_G2like_29	NA	C2_G2like_29	C_	259	9.20891	34	12.32889	53	-0.34352	4.23659e-80	True
_C3_HSF_3	NA	C3_HSF_3	C_	584	6.23569	44	9.16581	62	-0.5473	1.13453e-115	True
_C3_HSF_1	NA	C3_HSF_1	C_	474	4.97749	25	8.38875	45	-0.66091	2.27622e-115	True
_C2_MYB_21	NA	C2_MYB_21	C_	385	7.10573	23	9.08754	45	-0.25359	1.14838e-66	True
_C3_ND_2	NA	C3_ND_2	C_	457	9.33405	68	12.36327	80	-0.36702	2.08239e-89	True
_C2_C2C2YABBY_12	NA	C2_C2C2YABBY_12	C_3	347	9.3391	41	10.90422	59	-0.23987	1.0778e-74	True
_C3_C2C2gata_1-C4_C2C2gata_1	NA	C3_C2C2gata_1-C4_C2C2gata_1	C_	757	9.1273	97	13.30486	168	-0.45201	9.52905e-113	True
_C3_C2C2gata_3	NA	C3_C2C2gata_3	C_	390	8.2088	46	13.40952	89	-0.59066	4.05529e-107	True
_C2_MYBrelated_25	NA	C2_MYBrelated_25	C_2-C4_MYBrelated_10	178	10.64049	23	12.90284	36	-0.29944	1.92265e-65	True
_C2_HSF_33	NA	C2_HSF_33	C_	296	9.1267	35	11.00994	52	-0.25676	9.0661e-70	True
_C3_Trihelix_21	NA	C3_Trihelix_21	C_	908	17.36355	325	8.76596	86	0.64124	2.03893e-125	True
_C3_NAC_93	NA	C3_NAC_93	C_	574	21.7027	243	11.89268	110	0.59235	1.03132e-115	True
_C3_LOBAS2_13	NA	C3_LOBAS2_13	C_4-C3_AP2EREBP_64	712	14.5667	195	9.84571	84	0.38132	2.59497e-100	True
_C3_C2C2gata_46	NA	C3_C2C2gata_46	C_	240	9.83695	35	13.56625	57	-0.44837	3.46604e-82	True
_C2_C2C2gata_9-C3_C2C2gata_10	NA	C2_C2C2gata_9-C3_C2C2gata_10	C_7	560	8.02388	61	10.49194	79	-0.34774	1.85065e-97	True
_C3_HSF_13	NA	C3_HSF_13	C_7	273	5.49136	15	9.6581	35	-0.60561	1.25898e-100	True
_C2_HSF_17	NA	C2_HSF_17	C_7	1334	6.272	90	9.20175	159	-0.49735	3.62894e-125	True
_C1_Homeobox_2	NA	C1_Homeobox_2	C_	322	17.43268	107	12.89292	70	0.3441	1.25093e-81	True
_C2_C2H2_50-C3_C2H2_78-C4_C2H2_38-C5_C2H2_15	NA	C2_C2H2_50-C3_C2H2_78-C4_C2H2_38-C5_C2H2_15	C_	432	11.14863	69	13.83539	108	-0.31727	6.06996e-84	True
_C1_C2C2gata_1-C2_C2C2gata_1-C3_C2C2gata_2-C4_C2C2gata_2	NA	C1_C2C2gata_1-C2_C2C2gata_1-C3_C2C2gata_2-C4_C2C2gata_2	C_	919	11.00822	144	14.00618	241	-0.3216	6.7999e-101	True
_C1_ND_1-C4_ND_1	NA	C1_ND_1-C4_ND_1	C_	582	12.52087	130	15.07711	152	-0.30462	2.0039e-85	True
_C2_AP2EREBP_1-C3_AP2EREBP_1	NA	C2_AP2EREBP_1-C3_AP2EREBP_1	C_	292	18.30727	103	11.33597	45	0.4437	1.79103e-86	True
_C1_Trihelix_8	NA	C1_Trihelix_8	C_	424	19.45919	197	10.16127	44	0.71314	1.41484e-116	True
_C1_Trihelix_6	NA	C1_Trihelix_6	C_4	461	22.2697	222	12.69582	83	0.67592	9.38501e-119	True
_C1_AP2EREBP_24	NA	C1_AP2EREBP_24	C_4	1059	20.03138	449	12.30671	194	0.54673	2.63284e-125	True
_C1_SRS_3	NA	C1_SRS_3	C_	578	29.96152	398	11.47125	101	1.36304	2.98308e-148	True
_C2_Trihelix_11	NA	C2_Trihelix_11	C_	276	8.08579	19	10.19163	37	-0.31211	4.17657e-67	True
_C3_HSF_18	NA	C3_HSF_18	C_	1214	7.89961	125	9.92249	169	-0.35762	2.78583e-115	True
_C2_G2like_20	NA	C2_G2like_20	C_	330	7.84161	35	10.07883	50	-0.25844	6.65538e-64	True
_C2_AP2EREBP_29	NA	C2_AP2EREBP_29	C_	684	9.23068	84	10.66322	103	-0.24736	8.70268e-83	True
_C2_AP2EREBP_30	NA	C2_AP2EREBP_30	C_	278	8.38508	29	9.69431	33	-0.26932	1.55322e-58	True
_C3_HSF_4	NA	C3_HSF_4	C_	436	4.76775	17	8.61178	44	-0.73364	3.42913e-119	True
_C3_HSF_2	NA	C3_HSF_2	C_	1234	5.90695	73	8.99508	142	-0.55569	8.62497e-136	True
_C2_G2like_33	NA	C2_G2like_33	C_	467	8.3366	54	9.98783	67	-0.3601	3.31123e-91	True
_C1_GRF_1-C4_GRF_2-C5_GRF_2	NA	C1_GRF_1-C4_GRF_2-C5_GRF_2	C_	322	10.19592	52	12.68677	70	-0.25068	4.25908e-69	True
_C2_C2C2gata_11	NA	C2_C2C2gata_11	C_	852	8.4876	96	10.05219	114	-0.25981	6.20589e-86	True
_C3_REMB3_2	NA	C3_REMB3_2	C_	383	8.62383	46	10.09421	61	-0.23866	8.73579e-70	True
_C3_AP2EREBP_14	NA	C3_AP2EREBP_14	C_	494	16.17014	163	9.58202	51	0.48048	1.93247e-109	True
_C1_C2C2YABBY_5-C2_C2C2YABBY_9-C3_C2C2YABBY_7	NA	C1_C2C2YABBY_5-C2_C2C2YABBY_9-C3_C2C2YABBY_7	C_	884	17.56017	327	11.51965	147	0.45491	7.43382e-112	True
_C1_MYBrelated_15	NA	C1_MYBrelated_15	C_	506	19.95063	205	13.09712	106	0.44918	1.08947e-99	True
_C3_AP2EREBP_90	NA	C3_AP2EREBP_90	C_	613	16.11904	194	10.09762	76	0.4902	1.61967e-108	True
_C4_ND_3	NA	C4_ND_3	C_	652	10.79534	121	14.24366	148	-0.35043	3.0488e-99	True
_C1_TCP_20-C3_TCP_12	NA	C1_TCP_20-C3_TCP_12	C_	676	19.5113	281	13.04531	144	0.51299	7.83981e-121	True
_C1_TCP_21	NA	C1_TCP_21	C_	779	20.53061	328	12.52036	145	0.5801	6.04836e-119	True
_C4_CCAATHAP3_1	NA	C4_CCAATHAP3_1	C_	597	12.05465	120	14.99567	153	-0.33602	3.5346e-100	True
_C3_AP2EREBP_7	NA	C3_AP2EREBP_7	C_	599	16.23633	194	8.90179	60	0.50161	1.95361e-107	True
_C1_AP2EREBP_27	NA	C1_AP2EREBP_27	C_	749	14.87118	233	9.33559	92	0.39123	1.64152e-103	True
_C1_E2FDP_2	NA	C1_E2FDP_2	C_	411	19.95953	185	9.23507	46	0.79953	6.92229e-125	True
_C1_E2FDP_1	NA	C1_E2FDP_1	C_	927	25.52694	531	10.45859	128	1.12888	1.2902e-156	True
_C1_C3H_6	NA	C1_C3H_6	C_	865	18.67964	327	10.49892	128	0.61024	5.34815e-127	True
_C3_Trihelix_2	NA	C3_Trihelix_2	C_	1042	12.91587	234	9.17568	115	0.31643	4.22918e-105	True
_C2_MYB_44	NA	C2_MYB_44	C_	287	9.75064	40	12.26278	57	-0.27531	5.16875e-68	True
_C1_MYBrelated_16-C2_MYBrelated_36	NA	C1_MYBrelated_16-C2_MYBrelated_36	C_3	313	10.36523	46	12.04476	60	-0.24083	7.06115e-72	True
_C2_EIL_5-C3_EIL_9	NA	C2_EIL_5-C3_EIL_9	C_	256	9.31713	35	10.85285	45	-0.27531	3.78189e-62	True
_C3_C2C2COlike_7	NA	C3_C2C2COlike_7	C_4	153	7.9673	15	10.25227	20	-0.26216	2.1058e-56	True
_C1_C2H2_21	NA	C1_C2H2_21	C_	255	17.97102	84	11.4825	50	0.46308	7.69056e-92	True
_C3_C2H2_26	NA	C3_C2H2_26	C_	266	7.52952	17	11.45943	54	-0.40198	1.56713e-85	True
_C3_AP2EREBP_53	NA	C3_AP2EREBP_53	C_7	733	15.95405	243	9.9809	97	0.41205	3.67769e-106	True
_C3_AP2EREBP_86	NA	C3_AP2EREBP_86	C_	410	20.28661	179	9.37977	44	0.82855	2.06734e-122	True
_C3_AP2EREBP_22	NA	C3_AP2EREBP_22	C_	724	19.3405	307	9.39297	77	0.66326	2.02345e-123	True
_C3_AP2EREBP_30	NA	C3_AP2EREBP_30	C_	430	15.31945	136	7.5269	27	0.63852	4.82368e-114	True
_C3_AP2EREBP_4	NA	C3_AP2EREBP_4	C_	1679	17.75566	597	10.08357	223	0.5082	5.96095e-138	True
_C3_AP2EREBP_5	NA	C3_AP2EREBP_5	C_	569	15.23824	171	9.19078	56	0.46609	9.31198e-105	True
_C2_AP2EREBP_3-C3_AP2EREBP_24	NA	C2_AP2EREBP_3-C3_AP2EREBP_24	C_	725	19.31955	307	9.38523	77	0.66279	8.12306e-126	True
_C1_C3H_7	NA	C1_C3H_7	C_	732	24.4374	392	11.26301	122	0.90456	2.34646e-141	True
_C2_GeBP_6	NA	C2_GeBP_6	C_	604	22.85554	291	11.45793	105	0.71572	9.05626e-129	True
_C3_NLP_9	NA	C3_NLP_9	C_	411	20.2591	179	9.36966	44	0.82799	2.16852e-126	True
_C3_SBP_9	NA	C3_SBP_9	C_4	153	7.9673	15	10.25227	20	-0.26216	2.1058e-56	True
